egoid,grade,course,AcademicPeriod
10237,2.7,10928,201510
10237,3.0,20779,201710
10237,2.3,20933,201520
10237,4.0,21314,201820
10237,4.0,21747,201520
10237,4.0,24426,201620
10237,3.3,24736,201720
10237,2.7,24796,201620
10237,3.7,26019,201620
10237,3.3,26181,201720
10237,4.0,26834,201720
10237,4.0,27914,201720
10237,3.7,29375,201720
10237,3.7,29622,201620
10237,3.7,30184,201820
10237,4.0,30336,201520
10237,4.0,30555,201820
10237,4.0,30765,201820
10237,3.3,20731,201620
10237,4.0,20453,201610
10237,3.3,26666,201520
10237,3.3,20339,201520
10237,4.0,20410,201510
10237,3.3,11360,201510
10237,3.0,11637,201610
10237,3.7,11708,201610
10237,3.7,11733,201710
10237,3.3,11860,201610
10237,2.3,14051,201510
10237,3.0,15144,201510
10237,4.0,15415,201810
10237,3.3,11821,201510
10237,4.0,18104,201610
10237,3.7,19674,201810
10237,4.0,19685,201810
10237,3.7,19722,201710
10237,3.3,19807,201810
10237,3.0,20003,201810
10237,2.7,20194,201710
10237,4.0,16021,201710
10237,3.0,20305,201520
11002,4.0,21203,201620
11002,4.0,22793,201620
11002,4.0,22675,201520
11002,4.0,22219,201720
11002,4.0,21901,201520
11002,3.7,21334,201620
11002,4.0,21733,201520
11002,4.0,21405,201820
11002,4.0,23012,201720
11002,4.0,21897,201520
11002,4.0,23065,201520
11002,4.0,30331,201520
11002,4.0,23265,201620
11002,4.0,23482,201820
11002,4.0,24351,201620
11002,4.0,24729,201720
11002,3.3,24735,201720
11002,3.7,25546,201520
11002,4.0,26997,201620
11002,4.0,28403,201820
11002,4.0,31319,201720
11002,3.3,20906,201620
11002,3.7,23260,201620
11002,4.0,20392,201510
11002,4.0,23415,201820
11002,4.0,15994,201510
11002,4.0,10600,201610
11002,3.7,10676,201510
11002,4.0,10808,201710
11002,4.0,11039,201810
11002,4.0,11268,201710
11002,3.7,11269,201710
11002,4.0,11579,201610
11002,3.0,11673,201710
11002,4.0,11969,201510
11002,4.0,12088,201710
11002,3.7,10072,201710
11002,3.7,12511,201610
11002,3.7,12452,201510
11002,3.7,14887,201610
11002,4.0,14225,201510
11002,4.0,14064,201810
11002,4.0,13629,201510
11002,4.0,20374,201620
11002,3.7,13471,201610
11002,3.7,13097,201810
11002,4.0,13096,201810
11002,4.0,12922,201710
11002,4.0,13477,201610
13486,3.3,20937,201620
13486,2.7,22518,201620
13486,3.3,22900,201620
13486,3.7,23278,201620
13486,3.7,24595,201520
13486,3.0,25241,201520
13486,4.0,26064,201520
13486,2.7,26688,201620
13486,4.0,26973,201720
13486,3.3,27189,201820
13486,3.7,27209,201820
13486,3.3,27399,201820
13486,3.7,28941,201520
13486,3.7,29394,201720
13486,3.7,29622,201720
13486,3.7,29636,201720
13486,4.0,29643,201720
13486,3.3,29650,201720
13486,4.0,30341,201520
13486,3.3,30484,201520
13486,3.3,20512,201710
13486,3.7,30653,201720
13486,2.7,27392,201820
13486,4.0,29632,201720
13486,3.0,20361,201620
13486,3.7,20036,201710
13486,4.0,20477,201510
13486,3.7,3671,201700
13486,4.0,3808,201700
13486,3.7,11315,201610
13486,3.0,11729,201510
13486,4.0,12635,201510
13486,2.0,12888,201510
13486,3.7,15324,201610
13486,3.3,15473,201510
13486,4.0,15848,201810
13486,3.3,16179,201810
13486,2.7,13511,201610
13486,3.7,16283,201710
13486,3.3,16193,201810
13486,4.0,19704,201610
13486,3.3,19680,201710
13486,4.0,19654,201710
13486,4.0,19631,201710
13486,3.0,19747,201610
13486,3.7,19624,201810
13486,3.0,19081,201810
13486,3.3,17427,201510
13486,4.0,19627,201710
14279,4.0,25695,201520
14279,4.0,22519,201620
14279,4.0,22539,201720
14279,3.7,24054,201620
14279,4.0,24332,201720
14279,3.3,24495,201520
14279,3.7,24822,201820
14279,4.0,25055,201820
14279,4.0,25247,201820
14279,4.0,25859,201620
14279,3.3,21750,201520
14279,3.7,26550,201720
14279,4.0,26690,201620
14279,4.0,27413,201820
14279,3.7,27880,201820
14279,4.0,29772,201520
14279,4.0,30303,201520
14279,4.0,30335,201820
