Study Week,Begin Date,End date,Event,Beginning event date,End event date
0,20150816,20150822,Orientation week,,
1,20150823,20150829,Class begins,20150825,
2,20150830,20150905,,,
3,20150906,20150912,,,
4,20150913,20150919,,,
5,20150920,20150926,,,
6,20150927,20151003,,,
7,20151004,20151010,,,
8,20151011,20151017,,,
9,20151018,20151024,Mid-term break,20151017,20151025
10,20151025,20151031,,,
11,20151101,20151107,,,
12,20151108,20151114,,,
13,20151115,20151121,,,
14,20151122,20151128,Thanksgiving,20151125,20151129
15,20151129,20151205,,,
16,20151206,20151212,,,
17,20151213,20151219,Final exams,20151214,20151218
18,20151220,20151226,Christmas,,
19,20151227,20160102,,,
20,20160103,20160109,,,
21,20160110,20160116,Class begins,20160112,
22,20160117,20160123,,,
23,20160124,20160130,,,
24,20160131,20160206,,,
25,20160207,20160213,,,
26,20160214,20160220,,,
27,20160221,20160227,,,
28,20160228,20160305,,,
29,20160306,20160312,Mid-Term break,20160305,20160313
30,20160313,20160319,,,
31,20160320,20160326,Easter,20160325,20160328
32,20160327,20160402,,,
33,20160403,20160409,,,
34,20160410,20160416,,,
35,20160417,20160423,,,
36,20160424,20160430,,,
37,20160501,20160507,Final exams,20160502,20160506
38,20160508,20160514,,,
39,20160515,20160521,,,
40,20160522,20160528,,,
41,20160529,20160604,,,
42,20160605,20160611,,,
43,20160612,20160618,,,
44,20160619,20160625,,,
45,20160626,20160702,,,
46,20160703,20160709,,,
47,20160710,20160716,,,
48,20160717,20160723,,,
49,20160724,20160730,,,
50,20160731,20160806,,,
51,20160807,20160813,,,
52,20160814,20160820,Orientation week,,
53,20160821,20160827,Class begins,20160822,
54,20160828,20160903,,,
55,20160904,20160910,,,
56,20160911,20160917,,,
57,20160918,20160924,,,
58,20160925,20161001,,,
59,20161002,20161008,,,
60,20161009,20161015,,,
61,20161016,20161022,Mid-term break,20161015,20161023
62,20161023,20161029,,,
63,20161030,20161105,,,
64,20161106,20161112,,,
65,20161113,20161119,,,
66,20161120,20161126,Thanksgiving,20161123,20161127
67,20161127,20161203,,,
68,20161204,20161210,,,
69,20161211,20161217,Final exams,20161212,20161216
70,20161218,20161224,,,
71,20161225,20161231,Christmas,,
72,20170101,20170107,,,
73,20170108,20170114,,,
74,20170115,20170121,Class begins,20170117,
75,20170122,20170128,,,
76,20170129,20170204,,,
77,20170205,20170211,,,
78,20170212,20170218,,,
79,20170219,20170225,,,
80,20170226,20170304,,,
81,20170305,20170311,,,
82,20170312,20170318,Mid-term break,20170311,20170319
83,20170319,20170325,,,
84,20170326,20170401,,,
85,20170402,20170408,,,
86,20170409,20170415,Easter,20170414,20170417
87,20170416,20170422,,,
88,20170423,20170429,,,
89,20170430,20170506,,,
90,20170507,20170513,Final exams,20170508,20170512
91,20170514,20170520,,,
92,20170521,20170527,,,
93,20170528,20170603,,,
94,20170604,20170610,,,
95,20170611,20170617,,,
96,20170618,20170624,,,
97,20170625,20170701,,,
98,20170702,20170708,,,
99,20170709,20170715,,,
100,20170716,20170722,,,
101,20170723,20170729,,,
102,20170730,20170805,,,
103,20170806,20170812,,,
104,20170813,20170819,Orientation week,,
105,20170820,20170826,Classes begin,20170821,
106,20170827,20170902,,,
107,20170903,20170909,,,
108,20170910,20170916,,,
109,20170917,20170923,,,
110,20170924,20170930,,,
111,20171001,20171007,,,
112,20171008,20171014,fall break,20171014,20171022
113,20171015,20171021,,,
114,20171022,20171028,,,
115,20171029,20171104,,,
116,20171105,20171111,,,
117,20171112,20171118,,,
118,20171119,20171125,Thanksgiving,20171122,20171126
119,20171126,20171202,,,
120,20171203,20171209,,,
121,20171210,20171216,Final exams,20171211,20171215
122,20171217,20171223,,,
123,20171224,20171230,,,
124,20171231,20180106,,,
125,20180107,20180113,,,
126,20180114,20180120,Classes begin,20180115,
