egoid,AcademicPeriod,CourseReferenceNumber,FinalGrade
92552,201520,26443,A-
92552,201520,30358,A
92552,201610,20712,B
92552,201710,21026,A
92552,201510,11726,B
92552,201510,11864,A-
92552,201510,20451,A
92552,201810,14524,B
92552,201520,25834,B+
92552,201820,24834,P
92552,201620,23821,B-
92552,201810,17510,A
92552,201510,18034,A-
92552,201820,27824,B
92552,201520,21765,C
92552,201510,14225,B-
92552,201720,29704,B+
92552,201510,15733,A
92552,201620,29840,A-
92552,201610,20774,A-
92552,201520,21063,B-
92552,201610,10497,C
92552,201710,20137,B-
92552,201720,26799,C
92552,201620,21204,B
92552,201610,10207,B+
92552,201810,15516,B
92552,201610,20560,B+
92552,201710,19938,A
92552,201710,10132,B
92552,201620,29419,A
92552,201810,11029,C-
92552,201720,20201,A
92552,201820,27127,B-
92552,201820,22157,C
92552,201620,29418,B-
92552,201820,25378,C+
92552,201720,20205,C
73158,201520,21731,A
73158,201510,13630,A
73158,201810,18761,A
73158,201820,30314,A
73158,201820,31483,A
73158,201720,21233,A
73158,201620,21204,A
73158,201810,11564,A
73158,201620,24376,A
73158,201610,17696,A
73158,201720,21557,A-
73158,201820,23217,A-
73158,201810,18962,A
73158,201820,21766,S
73158,201810,14263,A
73158,201510,20436,A
73158,201520,30345,A
73158,201520,22152,A
73158,201520,26442,A-
73158,201710,11185,A-
73158,201610,18036,A
73158,201720,22660,A-
73158,201610,14263,A
73158,201620,20014,A
73158,201810,10886,A
73158,201610,11327,A-
73158,201520,29742,A
73158,201720,20822,A
73158,201520,21135,A-
73158,201710,21077,A
73158,201810,16414,A-
73158,201510,11729,A-
73158,201510,12154,A
73158,201510,14716,A
73158,201620,20357,A
73158,201510,18037,A
73158,201620,21323,B+
73158,201510,13329,A
73158,201820,20308,A-
73158,201520,25673,A
73158,201710,11184,A
73158,201610,11267,A
73158,201710,11665,A-
73158,201720,23757,A
73158,201610,12064,A
73158,201710,11381,A
45963,201720,22587,A
45963,201810,12479,A
45963,201620,20138,A-
45963,201610,14806,A
45963,201620,21334,A-
45963,201710,15391,B+
45963,201600,3632,A-
45963,201520,22126,A
45963,201620,23260,A-
45963,201510,19450,A
45963,201620,25673,S
45963,201620,23264,A-
45963,201720,29395,A
45963,201610,11576,A
45963,201520,21902,A-
45963,201510,15870,A-
45963,201710,12753,A
45963,201820,30150,A
45963,201510,10676,B+
45963,201620,20906,B+
45963,201520,27484,A
45963,201620,24868,A
45963,201510,14225,B+
45963,201810,17509,A
45963,201510,20414,A
45963,201720,24484,A
45963,201810,13097,A
45963,201610,11579,A-
45963,201820,31552,A
45963,201510,11969,A-
45963,201720,22278,A
45963,201820,30024,A
45963,201610,10371,A
45963,201610,13472,A
45963,201720,29561,A-
45963,201810,19153,A
45963,201520,20880,A
45963,201820,23083,S
45963,201520,30263,A
45963,201810,14514,S
45963,201710,18664,A
45963,201810,14064,A
45963,201720,29756,A
45963,201820,22869,A
45963,201610,11344,A
45963,201510,11490,A-
45963,201710,18598,A
45963,201620,21318,A
45963,201520,21897,A
45963,201810,13099,A
45963,201720,23531,A
45963,201520,23065,A
45963,201710,12773,A
22138,201810,19217,A
22138,201520,21728,A-
22138,201820,31289,A
22138,201710,11083,A-
22138,201610,10908,A-
22138,201620,26393,A-
22138,201510,20407,A
22138,201510,11489,A
22138,201820,22844,B
22138,201520,27584,A
22138,201610,19938,A
22138,201510,12087,B+
22138,201610,14806,A-
22138,201620,30378,B+
22138,201710,16454,A-
22138,201720,24708,A-
22138,201610,14448,A
22138,201620,27520,A-
22138,201720,24681,A
22138,201710,13296,A
22138,201700,2068,B
22138,201620,26335,A
22138,201710,21365,S
22138,201720,26474,A
22138,201610,15290,A
22138,201810,15907,S
22138,201620,23460,A-
22138,201510,11729,A-
22138,201610,18400,A
22138,201510,10391,A
22138,201700,3694,A
22138,201820,22800,B+
22138,201810,13444,A
22138,201600,3917,A
22138,201510,10676,B
22138,201610,17425,A
22138,201610,11742,A
22138,201720,26712,A
22138,201710,14882,B
22138,201620,29597,A-
22138,201710,11268,A-
22138,201620,23263,A
22138,201700,1171,A
22138,201620,24302,A
22138,201520,21903,A
22138,201720,22176,A
22138,201810,14729,A
22138,201820,23083,S
22138,201710,11269,A
22138,201820,30210,A
22138,201520,26931,A
22138,201520,30335,A
22138,201820,30199,A
22138,201810,19226,A
22138,201620,20088,A
22138,201600,3451,A
22138,201520,23066,A
22138,201810,15607,A
22138,201520,21897,A
22138,201610,13475,A
22138,201510,14225,A-
22138,201520,22665,A-
77941,201820,21318,A-
77941,201520,20880,A-
77941,201520,23067,C+
77941,201700,3259,A-
77941,201710,11169,C
77941,201510,13327,B
77941,201720,20559,B
77941,201510,10676,B-
77941,201610,11237,B
77941,201820,24633,B-
77941,201720,26747,C+
77941,201720,30550,A
77941,201720,26792,A-
77941,201820,20888,B
77941,201620,26167,S
77941,201520,27493,A
77941,201810,16105,C
77941,201520,30322,A
77941,201620,21127,B
77941,201610,14806,C
77941,201610,20984,A
77941,201610,13451,B-
77941,201510,11969,B
77941,201620,21200,S
77941,201510,15734,B+
77941,201710,14630,C+
77941,201620,23598,C
77941,201510,12216,B
77941,201610,10496,B-
77941,201700,3260,A
77941,201520,21903,A-
77941,201620,25206,B
77941,201610,13473,A
77941,201620,20451,C
77941,201710,11239,B
77941,201810,14879,B
77941,201710,13686,B
77941,201520,20133,C+
77941,201510,11532,B
77941,201620,29839,A
77941,201710,10821,C
77941,201820,25326,A
77941,201710,20116,A-
77941,201810,11115,A
77941,201810,18715,B-
77941,201510,20425,A
77941,201810,14500,A-
77941,201720,20659,C+
77941,201520,21897,C-
44873,201620,29735,B
44873,201510,18032,A-
44873,201720,21244,B+
44873,201810,19416,A
44873,201710,15835,A
44873,201720,27465,P
44873,201810,11549,A-
44873,201720,29840,A-
44873,201610,15337,B+
44873,201620,20191,B
44873,201710,19676,A-
44873,201520,24595,A-
44873,201520,30346,A
44873,201820,30549,A-
44873,201620,24401,B
44873,201810,18869,A
44873,201820,30869,A
44873,201710,12873,B+
44873,201510,12380,B
44873,201720,25304,B
44873,201710,10840,A-
44873,201520,25833,A-
44873,201720,29418,A-
44873,201800,3119,S
44873,201820,23410,A
44873,201620,20180,B+
44873,201720,29642,A-
44873,201710,11458,B
44873,201520,30068,A-
44873,201510,13327,C+
44873,201610,20457,A
44873,201810,14511,P
44873,201820,23689,A
44873,201710,17609,A
44873,201720,26894,B-
44873,201820,30552,P
44873,201820,24821,A
44873,201520,23557,A
44873,201620,25243,B+
44873,201520,25242,A-
44873,201610,14406,B+
44873,201810,18749,B
44873,201610,13934,B-
44873,201510,17708,A
44873,201610,12107,B+
44873,201510,14078,B
44873,201610,20920,A
44873,201510,20470,A
44873,201610,13070,C+
44873,201810,12439,B+
44873,201620,24233,B+
83005,201610,16528,S
83005,201620,29694,A
83005,201810,15690,A
83005,201610,10079,A-
83005,201620,22037,S
83005,201510,14511,A
83005,201520,29358,A-
83005,201820,30086,A
83005,201610,11866,A
83005,201820,25295,P
83005,201510,11374,A-
83005,201710,16834,A
83005,201820,27066,A
83005,201620,24385,A-
83005,201710,20724,A-
83005,201520,25670,A
83005,201610,19994,A
83005,201820,30977,B+
83005,201720,22194,A
83005,201510,14051,A
83005,201620,20443,A-
83005,201720,31146,A
83005,201710,19790,B+
83005,201810,19364,A
83005,201520,30290,A
83005,201810,19421,A
83005,201610,11653,S
83005,201520,21227,A
83005,201720,26674,A
83005,201710,17243,A
83005,201620,23310,A-
83005,201520,24141,A
83005,201810,17041,A
83005,201710,19789,B+
83005,201720,22189,A
83005,201510,20465,A
83005,201610,11432,B
83005,201710,20405,S
83005,201820,23728,S
83005,201700,2777,A
83005,201720,24706,A
83005,201510,11024,A-
83005,201520,29922,S
83005,201620,21667,A-
83005,201510,11489,A-
83005,201710,20942,A
83005,201520,23557,A
83005,201810,18847,A
83005,201620,24300,A
93699,201510,19486,B
93699,201720,25514,S
93699,201600,3386,A-
93699,201520,29034,B
93699,201600,3385,A-
93699,201810,20627,S
93699,201510,11024,B
93699,201520,24719,A
93699,201620,21831,B+
93699,201810,15639,B+
93699,201810,11573,A
93699,201610,13511,B
93699,201820,20599,B+
93699,201820,27855,A-
93699,201610,12433,A-
93699,201810,20650,S
93699,201510,16150,A-
93699,201810,15184,A
93699,201620,26822,A
93699,201820,30607,A-
93699,201720,24505,B+
93699,201710,16087,S
93699,201810,14443,B+
93699,201720,25305,A
93699,201620,20135,B-
93699,201620,20998,B
93699,201820,30550,B+
93699,201520,22693,A-
93699,201710,20169,P
93699,201520,24495,B-
93699,201710,13428,A-
93699,201610,14406,B
93699,201710,12873,A-
93699,201510,20458,A
93699,201710,19665,B+
93699,201610,13210,A
93699,201720,29851,B+
93699,201510,14209,B
93699,201510,10138,A
93699,201710,14047,B-
93699,201820,21077,A-
93699,201610,12110,B+
93699,201610,15336,B+
93699,201810,10099,B+
93699,201520,30296,A
93699,201720,20061,A-
93699,201520,25695,A
93699,201720,29598,B+
93699,201720,27146,A
93699,201810,19045,A-
93699,201620,25290,B+
93699,201620,23855,B
93699,201820,20514,A-
93699,201510,11580,S
36875,201510,19487,B
36875,201720,29814,A-
36875,201820,29845,A-
36875,201520,25972,S
36875,201620,30481,A
36875,201720,20597,B-
36875,201610,15588,A
36875,201520,25506,B+
36875,201820,27415,A
36875,201610,11130,B-
36875,201620,26427,S
36875,201510,16066,A
36875,201720,29844,B+
36875,201810,14866,B+
36875,201720,29833,A-
36875,201520,30264,A
36875,201810,15828,A
36875,201710,11804,B-
36875,201520,20175,A
36875,201620,20637,B-
36875,201520,29408,A-
36875,201520,21682,A-
36875,201510,17155,B-
36875,201820,24114,A
36875,201510,10138,A
36875,201510,16240,S
36875,201510,11375,B
36875,201810,14624,A
36875,201710,12248,B+
36875,201610,17173,A-
36875,201520,23217,A-
36875,201620,22514,A-
36875,201810,11258,P
36875,201710,11228,A
36875,201620,25434,A
36875,201610,12084,A-
36875,201720,26941,A
36875,201620,25237,B-
36875,201620,22519,A-
36875,201810,15589,A
36875,201820,30393,P
36875,201710,20135,A-
36875,201710,15885,B+
36875,201510,20450,A
36875,201820,29844,A
36875,201610,11028,A-
36875,201720,22724,A
36875,201610,12114,B
36875,201700,3217,S
84011,201510,11490,A
84011,201720,23371,S
