egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
44869,507.0,115.0,"M.D., D.O., D.D.S., or D.V.M.",no
43516,337.0,129.66666666666666,"Bachelor's degree (B.A., B.S., etc.)",no
89411,314.3333333333333,110.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
74285,253.0,123.0,"Bachelor's degree (B.A., B.S., etc.)",no
56527,180.66666666666663,123.0,"Bachelor's degree (B.A., B.S., etc.)",no
16819,402.3333333333333,129.66666666666666,"Bachelor's degree (B.A., B.S., etc.)",no
34591,215.33333333333331,118.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
89972,249.66666666666663,207.0,"Bachelor's degree (B.A., B.S., etc.)",no
92552,305.0,108.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",yes
73158,306.0,240.66666666666663,"Bachelor's degree (B.A., B.S., etc.)",no
45963,503.0,115.0,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no
90136,314.3333333333333,244.66666666666663,"Bachelor's degree (B.A., B.S., etc.)",no
46744,302.3333333333333,222.0,"Bachelor's degree (B.A., B.S., etc.)",no
77941,302.0,109.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
44873,401.0,242.0,"Bachelor's degree (B.A., B.S., etc.)",no
36540,473.3333333333333,213.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,116.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
21899,302.0,116.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
29232,337.3333333333333,123.0,"Bachelor's degree (B.A., B.S., etc.)",no
32249,346.6666666666667,117.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
45375,339.6666666666667,122.0,"Bachelor's degree (B.A., B.S., etc.)",no
25536,340.6666666666667,124.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
32037,404.6666666666667,117.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
46558,301.0,249.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
24016,404.6666666666667,119.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
52277,271.0,250.0,"Bachelor's degree (B.A., B.S., etc.)",no
93699,401.0,108.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36875,406.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",no
84011,503.0,109.66666666666669,"M.D., D.O., D.D.S., or D.V.M.",no
90646,309.0,116.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,303.0,116.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",no
88967,383.0,118.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
46701,402.0,116.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
83566,134.0,116.66666666666669,Ph.D or Ed.D.,no
21090,305.0,108.0,"Bachelor's degree (B.A., B.S., etc.)",no
69419,246.33333333333331,113.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
87032,346.3333333333333,116.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
94641,305.0,109.66666666666669,Ph.D or Ed.D.,no
82728,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
45076,405.0,116.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
58437,309.0,116.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94862,313.0,119.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
14606,304.0,116.66666666666669,"M.D., D.O., D.D.S., or D.V.M.",no
64075,402.0,116.66666666666669,"Master's Degree (M.A., M.S., MBA, etc.)",no
39787,346.6666666666667,124.0,"Bachelor's degree (B.A., B.S., etc.)",no
82376,255.33333333333331,120.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
44872,507.0,113.33333333333331,"M.D., D.O., D.D.S., or D.V.M.",no
87783,242.33333333333331,111.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
47498,336.3333333333333,107.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
57325,503.0,123.0,Other,yes
53776,316.0,218.66666666666663,"Bachelor's degree (B.A., B.S., etc.)",no
58633,316.6666666666667,116.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
27306,507.0,249.33333333333331,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,348.6666666666667,121.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
73143,314.3333333333333,120.66666666666669,"Bachelor's degree (B.A., B.S., etc.)",no
35797,313.0,123.0,"Bachelor's degree (B.A., B.S., etc.)",no
46365,511.0,240.33333333333331,"M.D., D.O., D.D.S., or D.V.M.",yes
31045,472.3333333333333,248.33333333333331,"Bachelor's degree (B.A., B.S., etc.)",no
