egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
44869,,,,,,,
43516,,,,,,,
89411,,,,,,,
74285,,,,,,,
56527,,,,,,,
16819,,,,,,,
34591,,,,,,,
89972,,,,,,,
92552,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month
73158,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
45963,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
22138,Not at all,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
90136,,,,,,,
46744,,,,,,,
77941,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Three times a week or more
44873,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
36540,,,,,,,
14527,,,,,,,
83005,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
31439,,,,,,,
21899,,,,,,,
29232,,,,,,,
32249,,,,,,,
45375,,,,,,,
25536,,,,,,,
32037,,,,,,,
90476,,,,,,,
46558,,,,,,,
24016,,,,,,,
52277,,,,,,,
93699,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
36875,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
84011,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
90646,,,,,,,
88008,,,,,,,
88967,,,,,,,
46701,,,,,,,
83566,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
21090,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
69419,,,,,,,
87032,,,,,,,
94641,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
82728,,,,,,,
45076,Not at all,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more
58437,,,,,,,
94862,,,,,,,
14606,,,,,,,
64075,,,,,,,
39787,,,,,,,
82376,,,,,,,
44872,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
87783,,,,,,,
22199,,,,,,,
47498,,,,,,,
57325,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
53776,,,,,,,
58633,,,,,,,
27306,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
80607,,,,,,,
73143,,,,,,,
35797,,,,,,,
46365,1-2 times a month,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Three times a week or more
30596,,,,,,,
31045,,,,,,,
74492,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
76791,,,,,,,
21348,,,,,,,
23287,,,,,,,
14763,,,,,,,
22066,,,,,,,
64058,,,,,,,
28247,,,,,,,
72873,,,,,,,
67544,,,,,,,
76810,,,,,,,
51760,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
