egoid,major1rc_2,major2rc_2,degreeintent_2,majorevent_2
44869,507.0,181.66666666666663,"M.D., D.O., D.D.S., or D.V.M.",no
43516,510.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",no
89411,117.0,434.3333333333333,"Master's Degree (M.A., M.S., MBA, etc.)",no
74285,110.0,128.0,J.D. (Law),no
56527,507.0,304.6666666666667,"M.D., D.O., D.D.S., or D.V.M.",no
16819,506.0,510.0,Ph.D or Ed.D.,yes
34591,109.0,128.0,J.D. (Law),no
89972,309.0,174.66666666666666,"Bachelor's degree (B.A., B.S., etc.)",no
92552,302.0,371.6666666666667,"Bachelor's degree (B.A., B.S., etc.)",yes
73158,306.0,315.3333333333333,"Bachelor's degree (B.A., B.S., etc.)",no
45963,503.0,507.0,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,507.0,110.0,Ph.D or Ed.D.,no
90136,315.6666666666667,247.66666666666663,,
46744,504.0,506.0,"Bachelor's degree (B.A., B.S., etc.)",no
77941,507.0,503.0,"M.D., D.O., D.D.S., or D.V.M.",yes
44873,401.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36540,301.0,182.33333333333331,Ph.D or Ed.D.,no
14527,510.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,126.33333333333331,"Master's Degree (M.A., M.S., MBA, etc.)",yes
21899,302.0,309.0,"Bachelor's degree (B.A., B.S., etc.)",yes
29232,308.0,100.0,Ph.D or Ed.D.,no
32249,406.0,373.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
45375,109.0,259.6666666666667,"Master's Degree (M.A., M.S., MBA, etc.)",no
25536,306.0,305.0,"Bachelor's degree (B.A., B.S., etc.)",no
32037,401.0,514.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90476,511.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
46558,301.0,309.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
24016,128.0,109.0,J.D. (Law),no
52277,110.0,111.0,Ph.D or Ed.D.,no
93699,401.0,401.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
36875,406.0,102.0,J.D. (Law),no
84011,503.0,174.0,Ph.D or Ed.D.,no
