egoid,exercise_1,clubsports_1,varsitysports_1,swimming_1
44869,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
43516,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
89411,,,,
74285,,,,
56527,,,,
16819,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
34591,,,,
89972,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a month
92552,Three times a week or more,1-2 times a week,Not at all,1-2 times a month
73158,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
45963,Three times a week or more,1-2 times a week,1-2 times a week,Less than 1-2 times a month
22138,Three times a week or more,Not at all,Not at all,1-2 times a week
90136,Three times a week or more,Three times a week or more,Not at all,Not at all
46744,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month
77941,,,,
44873,,,,
36540,Three times a week or more,1-2 times a week,1-2 times a month,1-2 times a month
14527,,,,
83005,,,,
31439,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month
21899,,,,
29232,Three times a week or more,Less than 1-2 times a month,Three times a week or more,Three times a week or more
32249,,,,
45375,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
25536,Three times a week or more,1-2 times a month,Less than 1-2 times a month,1-2 times a week
32037,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month
90476,,,,
46558,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
24016,,,,
52277,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
93699,Three times a week or more,1-2 times a month,Not at all,1-2 times a week
36875,,,,
84011,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
90646,,,,
88008,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
88967,Three times a week or more,Not at all,Three times a week or more,Less than 1-2 times a month
46701,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
83566,1-2 times a week,Not at all,Not at all,Not at all
21090,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
69419,,,,
87032,1-2 times a week,Not at all,Not at all,Not at all
94641,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month
82728,Three times a week or more,Not at all,Not at all,Not at all
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
58437,1-2 times a week,1-2 times a month,Three times a week or more,Less than 1-2 times a month
94862,,,,
14606,,,,
64075,,,,
39787,1-2 times a month,Not at all,Not at all,Not at all
82376,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
44872,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a week
87783,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
22199,,,,
47498,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month
57325,,,,
53776,Three times a week or more,Not at all,Three times a week or more,1-2 times a week
58633,1-2 times a month,Not at all,Not at all,Not at all
27306,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a week
80607,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
73143,Three times a week or more,Not at all,1-2 times a week,1-2 times a week
35797,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
46365,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month
30596,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all
31045,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
74492,,,,
76791,,,,
21348,1-2 times a week,Not at all,Not at all,Not at all
23287,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
14763,,,,
22066,Three times a week or more,1-2 times a week,Not at all,Not at all
64058,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month
28247,1-2 times a week,Not at all,Not at all,Not at all
72873,Three times a week or more,1-2 times a week,Three times a week or more,1-2 times a week
67544,,,,
76810,Three times a week or more,1-2 times a week,Not at all,Less than 1-2 times a month
51760,,,,
72806,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
98766,Three times a week or more,Three times a week or more,Not at all,1-2 times a month
23042,,,,
60997,,,,
36038,Three times a week or more,1-2 times a week,1-2 times a week,Three times a week or more
39146,Less than 1-2 times a month,Not at all,Not at all,Not at all
60963,1-2 times a week,1-2 times a month,Not at all,Less than 1-2 times a month
67918,0,1-2 times a month,Three times a week or more,Less than 1-2 times a month
34467,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
42132,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
41268,,,,
90692,,,,
32668,Three times a week or more,Less than 1-2 times a month,Not at all,Three times a week or more
24079,Three times a week or more,Three times a week or more,Three times a week or more,Less than 1-2 times a month
59673,1-2 times a week,Not at all,Not at all,1-2 times a month
74899,Three times a week or more,1-2 times a month,Three times a week or more,1-2 times a month
48891,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month
81807,1-2 times a week,1-2 times a week,Not at all,1-2 times a month
