egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
44869,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
43516,,,,,
89411,,,,,
74285,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a good deal
56527,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
16819,,,,,
34591,,,,,
89972,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
92552,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
73158,1-2 times a month,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has stayed about the same
45963,1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
22138,Not at all,Not at all,Three times a week or more,Not at all,increased a bit
90136,,,,,
46744,,,,,
77941,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
44873,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month,increased a bit
36540,,,,,
83005,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,increased a good deal
31439,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
21899,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
29232,,,,,
32249,,,,,
45375,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
25536,,,,,
32037,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
46558,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,increased a bit
24016,,,,,
52277,,,,,
93699,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
36875,,,,,
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
90646,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,
88008,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
88967,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
46701,,,,,
83566,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
21090,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
69419,,,,,
