egoid,yourelig_8
44869,
43516,
89411,
74285,
56527,
16819,
34591,
89972,
92552,Catholic
73158,Catholic
45963,Catholic
22138,No Religion
90136,
46744,
77941,Catholic
44873,Catholic
36540,
14527,
83005,Protestant
31439,
21899,
29232,
32249,
45375,
25536,
32037,
90476,
46558,
24016,
52277,
93699,No Religion
36875,Catholic
84011,Catholic
90646,
88008,
88967,
46701,
83566,Catholic
21090,Catholic
69419,
87032,
94641,No Religion
82728,
45076,Catholic
58437,
94862,
14606,
64075,
39787,
82376,
44872,Protestant
87783,
22199,
47498,
57325,Catholic
53776,Protestant
58633,
27306,Catholic
80607,
73143,
35797,
46365,Catholic
30596,
31045,
74492,Catholic
76791,
21348,
23287,
14763,
22066,
64058,
28247,
72873,
67544,
76810,
51760,Catholic
72806,No Religion
98766,
23042,
60997,
36038,Catholic
39146,
60963,
67918,Catholic
34467,Catholic
42132,
41268,
90692,
32668,
24079,
59673,
74899,Catholic
48891,
81807,
77187,
91176,
22292,
35011,
76785,
60903,
10115,
35416,
89710,
97596,Catholic
39129,Catholic
57359,No Religion
17308,Catholic
51851,
35855,
67334,
60230,
77838,
37371,
57292,
66406,
90447,
56798,
28827,
23115,
77872,
43114,
72348,Catholic
15707,
45776,
63122,
27169,
89607,No Religion
59900,
28254,
56480,
11128,
47886,
28820,Catholic
35347,
45641,
25369,
64572,
31538,
73452,
51475,Catholic
28312,
13486,Catholic
56805,
57697,
54837,
29718,
26800,
60493,Catholic
52051,
30972,
47142,
69217,
69009,
84390,Protestant
74845,
90905,
39659,
62072,
60396,
61084,
92412,Catholic
92038,Catholic
33388,
31717,
18324,
86440,Catholic
95585,Protestant
29792,
14737,Catholic
28223,
85708,
55452,
20179,
78339,
23696,
28653,Other Religion
84715,
95559,Catholic
30152,
68764,
60367,Protestant
36939,
59592,Catholic
22897,No Religion
89652,Catholic
28724,
92895,
69831,
59178,
50072,Catholic
44927,Protestant
71894,
76790,
78428,
66676,Catholic
95930,Catholic
70962,No Religion
12738,
29647,
27111,
30453,Catholic
58219,Catholic
28377,
80177,No Religion
18677,
66047,
58682,Catholic
81199,
85679,
79834,Catholic
93471,
19538,
14595,
38052,Protestant
33133,
40021,
27141,
93858,
47810,
58196,Catholic
42773,
72152,
76663,
48224,Catholic
30137,
68318,Catholic
62246,Catholic
69496,
61028,
55424,
17581,
23576,
57842,Catholic
17522,Protestant
55685,
74079,
97833,
11992,
93485,
34402,
62617,Catholic
42137,
37305,
48013,No Religion
44447,
14571,No Religion
69057,Catholic
49125,Catholic
66629,
83542,Catholic
18222,
39738,
26858,Catholic
70552,
38826,
93504,Catholic
64232,Catholic
37404,Protestant
25961,
87330,
92028,
82248,Catholic
28824,
11482,
69936,
91320,
37001,
70492,Catholic
95543,Catholic
21380,Catholic
67106,
25495,Catholic
26581,
66642,
83612,Catholic
63954,
20665,
19122,
99978,Catholic
92566,Catholic
39414,
35987,
66655,
10547,
46373,
79341,
19591,
83536,
66682,
88337,
67608,Catholic
19735,
42513,
64595,
85134,
51952,
28837,
46266,
61289,
18743,
13647,
59207,Catholic
48946,
86083,
96613,
49014,
50766,
71089,Protestant
80980,
29115,
98462,Catholic
94455,
11148,
88384,
60904,
64302,Catholic
51882,
54200,
22688,
38815,
34525,
68404,
71836,
12748,
33445,
83078,
72160,
55569,
72885,No Religion
47006,
36574,
