egoid,SelfEsteem_1_3,SelfEsteem_2_3,SelfEsteem_3_3,SelfEsteem_4_3,SelfEsteem_5_3,SelfEsteem_6_3,SelfEsteem_7_3,SelfEsteem_8_3,SelfEsteem_9_3,SelfEsteem_10_3,SelfEsteem_3,SelfReg_Exercise_1_3,SelfReg_Exercise_2_3,SelfReg_Exercise_3_3,SelfReg_Exercise_4_3,SelfReg_Exercise_5_3,SelfReg_Exercise_6_3,SelfReg_Exercise_7_3,SelfReg_Exercise_8_3,SelfReg_Exercise_9_3,SelfReg_Exercise_10_3,SelfReg_Exercise_11_3,SelfReg_Exercise_12_3,SelfReg_Exercise_13_3,SelfReg_Exercise_14_3,SelfReg_Exercise_15_3,SelfReg_Exercise_16_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,SRQE_RAI_3,lonely_1_3,lonely_2_3,lonely_3_3,lonely_4_3,lonely_5_3,lonely_6_3,lonely_7_3,lonely_8_3,lonely_9_3,lonely_10_3,lonely_11_3,lonely_12_3,lonely_13_3,lonely_14_3,lonely_15_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,SelfReg_1_3,SelfReg_3_3,SelfReg_4_3,SelfReg_5_3,SelfReg_6_3,SelfReg_7_3,SelfReg_8_3,SelfReg_9_3,SelfReg_10_3,SelfReg_11_3,SelfReg_12_3,SelfReg_13_3,selfreg_scale_3
44869,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,43.0,Not at all true,Not at all true,Not at all true,Not at all true,Somewhat true,Not at all true,Not at all true,Somewhat true,Somewhat true,3,Not at all true,3,Not at all true,Not at all true,5,5,1.0,1.0,4.0,3.25,7.5,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,0.10970155,-0.62979275,-0.54389977,Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,1.9166666
43516,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,,,,,2.4166666666666665,3.5,5.0,5.166666666666667,7.0,,,,,,,,,,,,,,,,0.0908741023333333,0.8306444860333334,0.37494413,,,,,,,,,,,,,2.250000033333333
89411,,,,,,,,,,,40.333333333333336,,,,,,,,,,,,,,,,,4.25,4.416666666666667,6.333333333333333,5.916666666666667,5.25,,,,,,,,,,,,,,,,0.7880138366666666,-0.4469587566666667,-0.0657384866666666,,,,,,,,,,,,,2.222222233333333
74285,Agree,Disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,40.0,Very true,Not at all true,5,5,6,Not at all true,Not at all true,5,5,5,Not at all true,5,5,5,6,5,2.0,3.0,5.25,5.25,8.75,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.6999776,-0.60923529,-0.69704527,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,3.25
56527,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,35.0,2,2,Somewhat true,3,Somewhat true,3,2,3,3,3,2,5,2,2,Somewhat true,5,2.0,2.5,4.25,3.5,4.75,Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,-1.5432444,0.68669868,-1.0439221,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,2.25
16819,,,,,,,,,,,28.33333333333333,,,,,,,,,,,,,,,,,1.75,3.8333333333333335,5.416666666666667,4.333333333333333,6.75,,,,,,,,,,,,,,,,0.2349670066666667,2.066629585333333,-0.20005985,,,,,,,,,,,,,2.083333366666667
34591,,,,,,,,,,,24.666666666666668,,,,,,,,,,,,,,,,,2.4166666666666665,5.083333333333333,5.416666666666667,4.75,5.0,,,,,,,,,,,,,,,,-0.1784558576666667,1.6610280860333333,-0.2098734633333333,,,,,,,,,,,,,2.2777778
89972,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neutral,Agree,32.0,6,2,5,6,6,2,2,6,6,5,2,6,Very true,2,5,6,2.0,4.25,6.0,5.25,8.25,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,-0.57983482,0.60278118,-0.50754601,Neither Agree nor Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,2.25
92552,Agree,Neutral,Strongly agree,Strongly agree,Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly agree,43.0,5,Not at all true,6,5,5,Not at all true,Not at all true,6,6,6,Not at all true,6,Somewhat true,Not at all true,Somewhat true,6,1.0,2.75,5.75,5.5,12.0,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,-1.7603319,0.25053638,0.33564624,Strongly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,1.9166666
73158,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly agree,46.0,5,5,3,3,3,Somewhat true,5,3,Somewhat true,3,5,3,6,3,3,Somewhat true,4.5,4.5,3.5,3.0,-4.0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.6999776,-0.60923529,-0.69704527,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,2.5
