egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
44869,Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,40.0,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,3.0
43516,,,,,,,,,,,34.333333333333336,,,,,,,,,,,,,2.8888889,,,,,,,3.3333334000000003
89411,,,,,,,,,,,40.66666666666666,,,,,,,,,,,,,2.194444433333333,,,,,,,3.8888889666666655
74285,,,,,,,,,,,38.66666666666666,,,,,,,,,,,,,2.6666666666666665,,,,,,,3.611111166666667
56527,,,,,,,,,,,45.66666666666666,,,,,,,,,,,,,1.5555555666666667,,,,,,,3.6666667
16819,,,,,,,,,,,31.666666666666668,,,,,,,,,,,,,2.333333333333333,,,,,,,2.944444433333333
34591,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,25.0,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,2.4166667,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,2.6666667
89972,,,,,,,,,,,42.333333333333336,,,,,,,,,,,,,2.1111111,,,,,,,3.444444466666667
92552,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,44.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667
73158,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,2.0,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
45963,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,30.0,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,3.3333333,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree,3.5
22138,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,42.0,Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,1.9166666,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Agree,2.8333333
90136,,,,,,,,,,,37.66666666666666,,,,,,,,,,,,,2.25,,,,,,,3.222222233333333
46744,,,,,,,,,,,35.333333333333336,,,,,,,,,,,,,2.6666667000000004,,,,,,,3.6111110666666666
77941,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,45.0,Neutral,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Strongly Agree,2.0,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,3.0
44873,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,41.0,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.1666667,Agree,Disagree,Agree,Disagree,Agree,Agree,3.0
36540,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,2.1388888666666666,,,,,,,3.0
14527,,,,,,,,,,,36.333333333333336,,,,,,,,,,,,,2.555555533333333,,,,,,,3.055555566666667
83005,Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,27.0,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,2.75,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.0
31439,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,39.0,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,2.9166667,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.5
21899,,,,,,,,,,,36.0,,,,,,,,,,,,,2.75,,,,,,,3.111111133333333
29232,,,,,,,,,,,33.0,,,,,,,,,,,,,3.1666666666666665,,,,,,,3.2777778333333334
32249,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,49.0,Disagree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,2.9166667,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Strongly Agree,3.5
45375,,,,,,,,,,,33.0,,,,,,,,,,,,,3.083333333333333,,,,,,,2.500000033333333
25536,,,,,,,,,,,31.33333333333333,,,,,,,,,,,,,2.1388889,,,,,,,3.055555566666667
32037,,,,,,,,,,,34.333333333333336,,,,,,,,,,,,,2.3333333,,,,,,,3.2777778000000004
90476,,,,,,,,,,,45.333333333333336,,,,,,,,,,,,,1.8333333333333333,,,,,,,3.611111133333333
46558,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0,Disagree,Disagree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,2.25,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.5
24016,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,33.0,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Neutral,2.6666667,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,3.0
52277,,,,,,,,,,,35.333333333333336,,,,,,,,,,,,,1.8055555333333333,,,,,,,3.1666667
93699,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,35.0,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,2.1666667,Neither Agree nor Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,3.0
36875,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,36.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,1.5,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,3.1666667
84011,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,33.0,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0833333,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,2.8333333
90646,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,44.0,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,2.0,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,3.5
88008,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,33.0,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,2.9166667,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333
88967,,,,,,,,,,,42.0,,,,,,,,,,,,,1.8611111,,,,,,,3.3333333666666665
46701,,,,,,,,,,,38.333333333333336,,,,,,,,,,,,,2.3611111,,,,,,,3.444444433333333
83566,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,29.0,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,2.8333333,Neither Agree nor Disagree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.3333333
21090,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,48.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,2.3333333,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,4.3333335
69419,,,,,,,,,,,41.333333333333336,,,,,,,,,,,,,1.7222222,,,,,,,3.500000033333333
87032,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,36.0,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,2.75,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667
94641,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,32.0,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,2.0,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,2.8333333
82728,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,37.0,Disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,2.1666667,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
45076,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,48.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1.4166666,Agree,Agree,Disagree,Agree,Disagree,Agree,3.6666667
58437,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,49.0,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,2.25,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,3.3333333
94862,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Agree,42.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,3.1666667
14606,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,1.1666666,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,3.8333333
64075,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,43.0,Neutral,Disagree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,2.25,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,3.8333333
39787,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,1.6666666,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
82376,,,,,,,,,,,46.333333333333336,,,,,,,,,,,,,1.4722222333333337,,,,,,,3.444444466666667
