egoid,Trust_1_5,Trust_2_5,Trust_3_5,Trust_4_5,Trust_5_5,Trust_6_5,Trust_5,lonely_1_5,lonely_2_5,lonely_3_5,lonely_4_5,lonely_5_5,lonely_6_5,lonely_7_5,lonely_8_5,lonely_9_5,lonely_10_5,lonely_11_5,lonely_12_5,lonely_13_5,lonely_14_5,lonely_15_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_1_5,SelfEff_exercise_2_5,SelfEff_exercise_3_5,SelfEff_exercise_4_5,SelfEff_exercise_5_5,SelfEff_exercise_6_5,SelfEff_exercise_7_5,SelfEff_exercise_8_5,SelfEff_exercise_9_5,SelfEff_exercise_10_5,SelfEff_exercise_11_5,SelfEff_exercise_12_5,SelfEff_exercise_13_5,SelfEff_exercise_14_5,SelfEff_exercise_15_5,SelfEff_exercise_16_5,SelfEff_exercise_17_5,SelfEff_exercise_18_5,SelfEff_exercise_scale_5
44869,Agree,Agree,Agree,Agree,Agree,Agree,3.0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,-0.78706795,0.4029946,0.18574281,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.5555556
43516,,,,,,,3.222222233333333,,,,,,,,,,,,,,,,-0.6915147033333334,0.5608005566666666,1.06065578,31.33333333333333,21.0,39.0,43.66666666666666,36.0,32.333333333333336,33.333333333333336,43.333333333333336,47.0,56.66666666666666,42.66666666666666,41.66666666666666,25.0,57.0,65.33333333333333,41.66666666666666,41.66666666666666,61.0,42.20370366666667
89411,,,,,,,3.3888888666666666,,,,,,,,,,,,,,,,0.2084806701333333,0.0639821583999999,-0.2213682766666666,57.0,52.0,69.0,42.0,56.66666666666666,61.0,53.333333333333336,47.0,48.0,55.66666666666666,52.0,46.0,37.66666666666666,66.33333333333333,69.0,37.0,46.66666666666666,44.333333333333336,52.25925833333333
74285,,,,,,,2.833333333333333,,,,,,,,,,,,,,,,-0.1709499098666666,-0.6079548199999999,-0.5774280266666667,53.333333333333336,60.333333333333336,63.0,41.66666666666666,37.333333333333336,60.333333333333336,44.66666666666666,40.66666666666666,39.66666666666666,60.66666666666666,47.66666666666666,55.333333333333336,40.333333333333336,70.0,61.66666666666666,30.0,43.0,62.0,50.71241766666666
56527,,,,,,,2.722222233333333,,,,,,,,,,,,,,,,0.1640154744666666,-0.0551920599999999,-0.6019240866666666,49.0,34.333333333333336,57.66666666666666,46.66666666666666,33.0,25.33333333333333,29.666666666666668,47.66666666666666,41.66666666666666,67.66666666666667,38.0,51.66666666666666,46.66666666666666,69.66666666666667,50.66666666666666,58.66666666666666,39.333333333333336,51.333333333333336,46.592593
16819,,,,,,,3.1666666666666665,,,,,,,,,,,,,,,,0.4627736933333333,1.0651264766666666,0.0694548533333333,42.333333333333336,37.333333333333336,46.0,37.66666666666666,35.333333333333336,55.333333333333336,43.66666666666666,38.333333333333336,39.333333333333336,80.33333333333333,50.333333333333336,39.0,28.0,57.66666666666666,66.0,50.66666666666666,43.66666666666666,58.333333333333336,47.185184666666665
34591,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,3.1666667,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,0.81352681,0.36771193,0.10367561,91.0,40.0,96.0,60.0,70.0,29.0,28.0,62.0,25.0,84.0,63.0,93.0,100.0,100.0,100.0,70.0,70.0,70.0,69.5
89972,,,,,,,2.7777777666666665,,,,,,,,,,,,,,,,-0.270439599,0.3817629933333333,-0.4395176766666666,43.66666666666666,49.333333333333336,70.0,54.333333333333336,34.333333333333336,27.33333333333333,48.66666666666666,62.333333333333336,63.333333333333336,75.0,51.66666666666666,56.0,58.0,77.66666666666667,62.333333333333336,69.33333333333333,40.0,65.0,56.018519
92552,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.5,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,-1.5315008,0.42783058,0.13895428,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0
73158,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Disagree,3.3333333,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.4706868,-0.51952112,-0.78279209,30.0,60.0,30.0,70.0,50.0,50.0,70.0,70.0,40.0,80.0,40.0,20.0,20.0,61.0,85.0,51.0,31.0,51.0,50.5
45963,Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,3.8333333,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,1.0564176,0.09799435,-1.0675098,18.0,8.0,94.0,11.0,42.0,26.0,62.0,31.0,11.0,82.0,9.0,28.0,16.0,77.0,77.0,43.0,15.0,81.0,40.611111
22138,Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,3.3333333,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,1.1645697,-0.87129599,0.39836735,73.0,73.0,100.0,40.0,46.0,72.0,54.0,36.0,40.0,94.0,30.0,33.0,81.0,66.0,34.0,24.0,17.0,39.0,52.888889
90136,,,,,,,3.2777777666666665,,,,,,,,,,,,,,,,0.1462264433333333,-0.49866637,-0.0281636533333333,64.33333333333333,64.33333333333333,88.0,37.66666666666666,75.0,44.333333333333336,86.66666666666667,44.333333333333336,69.66666666666667,83.33333333333333,58.66666666666666,55.66666666666666,50.0,84.0,81.0,55.66666666666666,41.333333333333336,70.66666666666667,64.148149
46744,,,,,,,3.499999966666666,,,,,,,,,,,,,,,,0.1464999266666666,0.8828303333333333,0.6522392039666667,28.666666666666668,33.666666666666664,33.666666666666664,42.66666666666666,38.0,16.0,20.0,49.66666666666666,42.333333333333336,75.66666666666667,52.0,50.333333333333336,42.66666666666666,60.333333333333336,72.33333333333333,61.333333333333336,52.66666666666666,57.333333333333336,37.67460366666666
77941,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,4.1666665,Somewhat Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-0.34638208,-0.66948116,-0.1719657,0.0,26.0,27.0,61.0,48.0,13.0,18.0,79.33333333333333,73.33333333333333,98.0,66.0,85.0,87.66666666666667,95.33333333333331,100.0,100.0,56.66666666666666,100.0,32.857143
44873,Agree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,3.5,Disagree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,-0.095675349,-0.81153601,0.38177595,100.0,90.0,100.0,100.0,88.0,96.0,99.0,100.0,97.0,100.0,85.0,75.0,95.0,100.0,91.0,70.0,80.0,100.0,92.555557
36540,,,,,,,3.3888888666666666,,,,,,,,,,,,,,,,-0.4234639,0.2204823489999999,-0.3168745722333333,80.33333333333333,76.33333333333333,83.33333333333333,70.66666666666667,74.66666666666667,73.0,73.33333333333333,72.66666666666667,72.0,78.66666666666667,75.0,83.66666666666667,82.0,82.66666666666667,72.0,86.0,75.66666666666667,75.66666666666667,77.09259266666666
14527,,,,,,,2.722222233333333,,,,,,,,,,,,,,,,-0.3414049666666667,1.1159654099999998,0.6814244266666666,42.0,41.0,50.333333333333336,37.66666666666666,38.333333333333336,32.333333333333336,34.0,56.66666666666666,50.333333333333336,85.66666666666667,55.66666666666666,52.0,46.66666666666666,64.0,64.33333333333333,69.66666666666667,58.333333333333336,55.0,51.88888833333334
83005,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.0,Strongly Disagree,Strongly Disagree,Disagree,Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Agree,Agree,0.68186384,-0.16078593,0.39212456,60.0,40.0,70.0,51.0,62.0,39.0,84.0,51.0,24.0,55.0,52.0,33.0,34.0,54.0,73.0,10.0,33.0,55.0,48.888889
31439,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,3.0,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,-1.5305954,0.48183995,-0.13820629,6.0,6.0,1.0,4.0,23.0,16.0,10.0,2.0,4.0,8.0,6.0,3.0,11.0,6.0,70.0,7.0,4.0,19.0,11.444445
21899,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,2.8333333,Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,0.67581314,0.37411806,0.076753482,20.0,19.0,19.0,18.0,48.0,33.0,18.0,18.0,18.0,16.0,16.0,16.0,19.0,52.0,74.0,3.0,4.0,46.0,25.388889
29232,,,,,,,3.1666666666666665,,,,,,,,,,,,,,,,-0.7976961,0.7210329833333332,1.0062499633333333,43.333333333333336,26.666666666666668,61.0,59.0,42.66666666666666,56.333333333333336,53.66666666666666,70.33333333333333,39.66666666666666,81.0,43.333333333333336,47.0,45.66666666666666,55.66666666666666,59.0,47.0,44.333333333333336,66.33333333333333,52.33333233333334
32249,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,4.0,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,0.1688177,-0.58432037,-0.7597155,21.0,80.0,50.0,32.0,80.0,82.0,47.0,36.0,55.0,65.0,50.0,17.0,11.0,50.0,64.0,78.0,65.0,68.0,52.833332
45375,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.0,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,-0.50318712,1.9663379,-1.2407986,25.0,10.0,50.0,25.0,10.0,50.0,25.0,75.0,25.0,75.0,25.0,75.0,25.0,50.0,50.0,50.0,10.0,50.0,39.166668
25536,Agree,Agree,Disagree,Agree,Disagree,Agree,3.6666667,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.99906212,-0.57564819,-0.8924318,5.0,13.0,38.0,3.0,27.0,43.0,43.0,58.0,47.0,47.0,6.0,8.0,25.0,55.0,13.0,4.0,6.0,7.0,24.888889
32037,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,3.0,Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,0.80281496,-0.71532357,-0.21727741,51.0,71.0,100.0,23.0,69.0,67.0,70.0,24.0,27.0,73.0,71.0,11.0,89.0,87.0,88.0,9.0,37.0,60.0,57.055557
90476,,,,,,,3.333333333333333,,,,,,,,,,,,,,,,0.5685121266666666,0.00068455,-0.6418343066666666,54.66666666666666,67.0,62.66666666666666,35.666666666666664,41.66666666666666,50.0,43.0,41.0,34.666666666666664,61.66666666666666,47.66666666666666,51.333333333333336,51.0,74.0,83.0,49.0,50.333333333333336,62.0,53.71024066666666
46558,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,3.3333333,Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,-0.34469497,0.10069946,0.23777704,62.0,40.0,52.0,32.0,71.0,34.0,60.0,21.0,58.0,55.0,57.0,58.0,51.0,63.0,26.0,69.0,76.0,22.0,50.388889
24016,,,,,,,2.944444433333333,,,,,,,,,,,,,,,,-0.4727146773333333,1.6709531166666665,1.32693762,50.66666666666666,35.333333333333336,39.66666666666666,44.66666666666666,43.0,41.0,45.333333333333336,44.333333333333336,27.0,68.66666666666667,33.333333333333336,31.33333333333333,44.333333333333336,67.66666666666667,67.0,47.333333333333336,42.66666666666666,45.66666666666666,45.50000033333333
52277,,,,,,,3.1666666666666665,,,,,,,,,,,,,,,,-0.8795949666666667,0.9903430466666666,0.9268452133333334,38.0,38.0,45.66666666666666,37.333333333333336,19.33333333333333,31.0,51.66666666666666,44.0,48.0,83.0,62.66666666666666,48.333333333333336,38.66666666666666,66.33333333333333,77.66666666666667,62.66666666666666,52.66666666666666,68.66666666666667,50.75925966666667
