egoid,sexorientation_3,sexcontacttype_3,sexattracttype_3
44869,Heterosexual or straight,I have not had sex,only attracted to males
43516,,,
89411,,,
74285,Heterosexual or straight,Men only,only attracted to males
56527,Gay or lesbian,Men only,mostly attracted to males
16819,,,
34591,,,
89972,Heterosexual or straight,Men only,only attracted to males
92552,Heterosexual or straight,Women only,only attracted to females
73158,Heterosexual or straight,Women only,only attracted to females
45963,Heterosexual or straight,Men only,only attracted to males
22138,Heterosexual or straight,Men only,mostly attracted to males
90136,,,
46744,,,
77941,Heterosexual or straight,Women only,only attracted to females
44873,Heterosexual or straight,I have not had sex,only attracted to males
36540,,,
83005,Heterosexual or straight,Men only,mostly attracted to males
31439,Heterosexual or straight,Men only,only attracted to males
21899,Heterosexual or straight,Women only,only attracted to females
29232,,,
32249,,,
45375,Heterosexual or straight,Women only,only attracted to females
25536,,,
32037,Heterosexual or straight,Men only,only attracted to males
46558,Heterosexual or straight,Women only,only attracted to females
24016,,,
52277,,,
93699,Heterosexual or straight,I have not had sex,only attracted to males
36875,,,
84011,Heterosexual or straight,Men only,only attracted to males
90646,Heterosexual or straight,Men only,mostly attracted to males
88008,Heterosexual or straight,Women only,only attracted to females
88967,Heterosexual or straight,Women only,only attracted to females
46701,,,
83566,Heterosexual or straight,I have not had sex,only attracted to males
21090,Heterosexual or straight,I have not had sex,only attracted to males
69419,,,
87032,Heterosexual or straight,Men only,only attracted to males
94641,Heterosexual or straight,Both men and women,only attracted to females
82728,Heterosexual or straight,I have not had sex,only attracted to males
45076,Heterosexual or straight,Men only,only attracted to males
58437,Heterosexual or straight,Women only,only attracted to females
94862,Heterosexual or straight,Women only,only attracted to females
14606,Heterosexual or straight,I have not had sex,only attracted to females
64075,Heterosexual or straight,Women only,only attracted to females
39787,Heterosexual or straight,Men only,only attracted to males
82376,Heterosexual or straight,Women only,only attracted to females
44872,Heterosexual or straight,Men only,mostly attracted to males
87783,Heterosexual or straight,Men only,only attracted to males
47498,Heterosexual or straight,Men only,only attracted to males
57325,Heterosexual or straight,Men only,mostly attracted to males
53776,,,
58633,Heterosexual or straight,I have not had sex,only attracted to males
27306,Heterosexual or straight,I have not had sex,only attracted to males
80607,Gay or lesbian,Men only,mostly attracted to males
