egoid,majorevent_7
44869,no
43516,no
89411,no
74285,no
56527,no
16819,no
34591,no
89972,no
92552,yes
73158,no
45963,no
22138,no
90136,no
46744,no
77941,no
44873,yes
36540,no
83005,no
31439,no
21899,no
29232,no
32249,no
45375,no
25536,no
32037,no
46558,no
24016,no
52277,no
93699,yes
36875,no
84011,no
90646,yes
88008,no
88967,no
46701,no
83566,no
21090,no
69419,no
87032,no
94641,no
82728,no
45076,no
58437,no
94862,no
14606,no
64075,no
39787,no
82376,no
44872,no
87783,no
47498,no
57325,yes
53776,no
58633,no
27306,yes
80607,no
73143,no
35797,no
46365,yes
31045,no
74492,no
76791,no
21348,no
23287,no
14763,no
22066,no
28247,no
72873,no
67544,no
76810,no
51760,no
72806,no
98766,no
60997,no
36038,no
39146,no
60963,no
67918,no
34467,no
42132,no
32668,no
24079,no
59673,no
74899,no
48891,no
81807,no
77187,no
91176,no
35011,no
60903,no
35416,no
89710,no
97596,no
39129,yes
57359,no
17308,no
51851,no
35855,no
67334,no
60230,no
77838,no
57292,no
66406,no
56798,no
23115,no
77872,no
43114,no
72348,no
45776,no
63122,no
27169,no
89607,no
59900,no
28254,no
56480,no
11128,no
47886,no
28820,no
35347,no
45641,no
64572,no
31538,no
73452,no
51475,no
28312,no
13486,no
56805,no
57697,no
54837,no
29718,no
26800,yes
60493,no
52051,no
30972,no
47142,no
69217,no
69009,no
84390,yes
74845,no
90905,no
39659,no
60396,no
61084,no
92412,no
92038,no
33388,no
31717,no
86440,no
95585,no
29792,no
14737,no
28223,no
55452,no
20179,no
23696,no
28653,no
84715,no
95559,no
30152,yes
68764,no
60367,yes
36939,no
59592,no
22897,no
89652,yes
28724,no
92895,no
69831,no
59178,no
50072,no
44927,no
71894,yes
76790,no
66676,yes
95930,no
70962,no
12738,no
27111,no
30453,no
80177,no
18677,no
66047,no
58682,yes
79834,yes
93471,no
19538,no
38052,no
33133,no
40021,no
27141,no
93858,no
47810,no
58196,no
42773,no
76663,no
48224,no
30137,no
68318,no
62246,no
61028,no
55424,no
17581,no
23576,no
17522,no
97833,no
93485,no
62617,no
42137,no
37305,no
48013,no
44447,no
14571,no
69057,no
66629,no
83542,no
18222,no
39738,no
26858,no
93504,no
64232,no
37404,no
25961,no
87330,no
92028,no
82248,no
28824,no
11482,no
69936,no
37001,no
70492,no
95543,no
21380,no
67106,no
25495,no
26581,no
66642,no
83612,no
63954,no
20665,no
19122,no
99978,yes
92566,no
39414,no
35987,no
66655,no
10547,no
46373,no
79341,no
19591,no
83536,no
66682,no
88337,no
67608,yes
19735,no
42513,no
51952,no
46266,no
61289,no
18743,no
59207,no
48946,no
86083,no
96613,no
49014,no
50766,no
71089,no
80980,no
29115,no
98462,yes
94455,no
11148,no
88384,no
64302,no
22688,no
38815,no
34525,no
68404,no
71836,no
12748,no
33445,no
83078,no
72160,no
55569,no
72885,no
36574,no
71193,no
44070,no
49010,no
98760,no
95374,no
71985,no
43125,no
98117,no
22989,no
24883,no
20650,no
19460,no
66815,no
89161,no
54956,no
14847,no
85453,no
19827,no
31121,no
38683,no
82918,no
43382,no
44344,yes
94215,no
80675,no
57144,no
94662,no
98700,no
33341,no
65072,no
37148,no
11910,no
75438,no
99733,no
27407,yes
14250,no
43794,no
73918,no
60216,no
28681,no
51437,yes
21932,no
29733,no
98206,no
36385,no
54030,no
67993,no
96543,no
49800,no
29296,no
11002,no
72850,no
15134,no
69124,no
34062,yes
18111,yes
42646,no
63922,no
59097,no
72912,no
91484,no
24833,no
21971,no
13928,no
84502,no
64090,no
52123,no
78783,no
25197,no
35872,no
23270,no
69807,no
92716,yes
66061,no
56058,no
57854,no
68679,no
90750,no
70125,no
67192,no
12029,no
70745,yes
93856,yes
10237,no
97448,no
89165,no
97280,no
54098,no
66156,yes
67177,no
22540,no
15586,no
18611,no
87328,no
88963,no
57045,no
49497,no
15031,no
79607,no
41952,no
17183,no
22408,no
54435,no
38554,no
38293,no
33785,no
44310,no
33009,no
31294,no
65143,no
91726,no
59355,no
96184,no
92339,no
70005,no
64157,no
68050,no
46151,no
79395,no
59863,no
63419,no
22913,no
91313,no
14511,no
73962,no
48969,no
22093,no
32919,no
79731,no
64296,no
23487,no
17569,no
77036,yes
53518,no
92340,no
37485,no
33953,no
53333,no
82986,no
61772,no
47280,no
70566,no
82964,no
11402,no
38610,no
96610,no
77711,no
78667,no
17020,no
48676,yes
29885,no
79167,no
65061,no
43710,no
22455,no
82819,no
67771,no
57443,yes
96469,no
94579,no
29257,yes
23518,yes
80484,no
49539,no
63904,no
82490,no
20335,no
35031,no
88185,no
35344,no
31175,yes
41167,no
98325,yes
36963,no
50666,no
98624,no
42617,no
58793,no
25125,no
25548,no
25966,no
96689,yes
43581,no
75578,no
43507,no
91551,no
19030,no
33657,no
76521,no
52848,no
40231,no
65656,yes
36117,no
82587,no
14690,no
40569,no
26320,yes
77532,yes
92515,no
97844,no
33127,no
45958,no
49790,no
74251,no
28326,no
20507,no
71592,no
15181,no
70209,no
78657,no
21887,no
48154,no
92953,no
90192,no
51495,no
34344,no
21793,no
37218,no
17932,no
95026,no
66800,no
73693,no
80429,no
75149,no
61659,no
81420,no
33740,no
67709,no
36552,yes
14301,no
63138,no
51298,no
74632,no
16654,no
54394,no
84768,no
29134,yes
24029,no
35361,no
49086,no
67917,no
85503,no
60008,no
55881,no
22119,no
39285,no
22460,no
25172,no
77134,no
22143,no
93766,no
45097,no
26289,no
95490,no
66979,no
23253,yes
90079,no
47584,no
97990,no
39248,no
29354,no
