egoid,exercisealone_8,exerciseothers_8,clubsports_8,swimming_8
44869,Three times a week or more,1-2 times a month,Not at all,Not at all
43516,Three times a week or more,1-2 times a month,Not at all,Not at all
89411,Three times a week or more,1-2 times a month,Not at all,Not at all
74285,Three times a week or more,1-2 times a month,Not at all,Not at all
56527,Three times a week or more,1-2 times a month,Not at all,Not at all
16819,Three times a week or more,1-2 times a month,Not at all,Not at all
34591,Three times a week or more,1-2 times a month,Not at all,Not at all
89972,Three times a week or more,1-2 times a month,Not at all,Not at all
92552,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
73158,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
45963,1-2 times a week,1-2 times a week,Not at all,Not at all
22138,1-2 times a month,Three times a week or more,Not at all,Not at all
90136,Three times a week or more,1-2 times a month,Not at all,Not at all
46744,Three times a week or more,1-2 times a month,Not at all,Not at all
77941,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
44873,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
36540,Three times a week or more,1-2 times a month,Not at all,Not at all
83005,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
31439,Three times a week or more,1-2 times a month,Not at all,Not at all
21899,Three times a week or more,1-2 times a month,Not at all,Not at all
29232,Three times a week or more,1-2 times a month,Not at all,Not at all
32249,Three times a week or more,1-2 times a month,Not at all,Not at all
45375,Three times a week or more,1-2 times a month,Not at all,Not at all
25536,Three times a week or more,1-2 times a month,Not at all,Not at all
32037,Three times a week or more,1-2 times a month,Not at all,Not at all
46558,Three times a week or more,1-2 times a month,Not at all,Not at all
24016,Three times a week or more,1-2 times a month,Not at all,Not at all
52277,Three times a week or more,1-2 times a month,Not at all,Not at all
93699,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
36875,Three times a week or more,Three times a week or more,Not at all,Not at all
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
90646,Three times a week or more,1-2 times a month,Not at all,Not at all
88008,Three times a week or more,1-2 times a month,Not at all,Not at all
88967,Three times a week or more,1-2 times a month,Not at all,Not at all
46701,Three times a week or more,1-2 times a month,Not at all,Not at all
83566,Not at all,Not at all,Not at all,Not at all
21090,Not at all,Not at all,Not at all,Not at all
69419,Three times a week or more,1-2 times a month,Not at all,Not at all
87032,Three times a week or more,1-2 times a month,Not at all,Not at all
94641,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
82728,Three times a week or more,1-2 times a month,Not at all,Not at all
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
58437,Three times a week or more,1-2 times a month,Not at all,Not at all
94862,Three times a week or more,1-2 times a month,Not at all,Not at all
14606,Three times a week or more,1-2 times a month,Not at all,Not at all
64075,Three times a week or more,1-2 times a month,Not at all,Not at all
39787,Three times a week or more,1-2 times a month,Not at all,Not at all
82376,Three times a week or more,1-2 times a month,Not at all,Not at all
44872,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
87783,Three times a week or more,1-2 times a month,Not at all,Not at all
47498,Three times a week or more,1-2 times a month,Not at all,Not at all
57325,1-2 times a week,Not at all,Not at all,Not at all
53776,Three times a week or more,1-2 times a month,Not at all,Not at all
58633,Three times a week or more,1-2 times a month,Not at all,Not at all
27306,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
80607,Three times a week or more,1-2 times a month,Not at all,Not at all
73143,Three times a week or more,1-2 times a month,Not at all,Not at all
35797,Three times a week or more,1-2 times a month,Not at all,Not at all
46365,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
31045,Three times a week or more,1-2 times a month,Not at all,Not at all
74492,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
76791,Three times a week or more,1-2 times a month,Not at all,Not at all
21348,Three times a week or more,1-2 times a month,Not at all,Not at all
23287,Three times a week or more,1-2 times a month,Not at all,Not at all
14763,Three times a week or more,1-2 times a month,Not at all,Not at all
22066,Three times a week or more,1-2 times a month,Not at all,Not at all
28247,Three times a week or more,1-2 times a month,Not at all,Not at all
72873,Three times a week or more,1-2 times a month,Not at all,Not at all
67544,Three times a week or more,1-2 times a month,Not at all,Not at all
76810,Three times a week or more,1-2 times a month,Not at all,Not at all
51760,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
72806,Three times a week or more,1-2 times a month,Not at all,Not at all
98766,Three times a week or more,1-2 times a month,Not at all,Not at all
60997,Three times a week or more,1-2 times a month,Not at all,Not at all
36038,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
39146,Three times a week or more,1-2 times a month,Not at all,Not at all
60963,Three times a week or more,1-2 times a month,Not at all,Not at all
67918,1-2 times a week,Not at all,1-2 times a month,Not at all
34467,1-2 times a week,Three times a week or more,Not at all,1-2 times a week
42132,Three times a week or more,1-2 times a month,Not at all,Not at all
32668,Three times a week or more,1-2 times a month,Not at all,Not at all
24079,Three times a week or more,1-2 times a month,Not at all,Not at all
59673,Three times a week or more,1-2 times a month,Not at all,Not at all
74899,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
48891,Three times a week or more,1-2 times a month,Not at all,Not at all
81807,Three times a week or more,1-2 times a month,Not at all,Not at all
77187,Three times a week or more,1-2 times a month,Not at all,Not at all
91176,Three times a week or more,1-2 times a month,Not at all,Not at all
35011,Three times a week or more,1-2 times a month,Not at all,Not at all
60903,Three times a week or more,1-2 times a month,Not at all,Not at all
35416,Three times a week or more,1-2 times a month,Not at all,Not at all
89710,Three times a week or more,1-2 times a month,Not at all,Not at all
97596,Three times a week or more,Three times a week or more,Not at all,Not at all
39129,Three times a week or more,1-2 times a month,Not at all,Not at all
57359,Three times a week or more,Not at all,1-2 times a month,Not at all
17308,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
51851,Three times a week or more,1-2 times a month,Not at all,Not at all
35855,Three times a week or more,1-2 times a month,Not at all,Not at all
67334,Three times a week or more,1-2 times a month,Not at all,Not at all
60230,Three times a week or more,1-2 times a month,Not at all,Not at all
77838,Three times a week or more,1-2 times a month,Not at all,Not at all
57292,Three times a week or more,1-2 times a month,Not at all,Not at all
66406,Three times a week or more,1-2 times a month,Not at all,Not at all
56798,Three times a week or more,1-2 times a month,Not at all,Not at all
23115,Three times a week or more,1-2 times a month,Not at all,Not at all
77872,Three times a week or more,1-2 times a month,Not at all,Not at all
43114,Three times a week or more,1-2 times a month,Not at all,Not at all
72348,1-2 times a week,1-2 times a month,Not at all,Not at all
45776,Three times a week or more,1-2 times a month,Not at all,Not at all
63122,Three times a week or more,1-2 times a month,Not at all,Not at all
27169,Three times a week or more,1-2 times a month,Not at all,Not at all
89607,Not at all,Not at all,Not at all,Not at all
59900,Three times a week or more,1-2 times a month,Not at all,Not at all
28254,Three times a week or more,1-2 times a month,Not at all,Not at all
56480,Three times a week or more,1-2 times a month,Not at all,Not at all
11128,Three times a week or more,1-2 times a month,Not at all,Not at all
47886,Three times a week or more,1-2 times a month,Not at all,Not at all
28820,1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month
35347,Three times a week or more,1-2 times a month,Not at all,Not at all
45641,Three times a week or more,1-2 times a month,Not at all,Not at all
64572,Three times a week or more,1-2 times a month,Not at all,Not at all
31538,Three times a week or more,1-2 times a month,Not at all,Not at all
73452,Three times a week or more,1-2 times a month,Not at all,Not at all
51475,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
28312,Three times a week or more,1-2 times a month,Not at all,Not at all
13486,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
