egoid,yourelig_7
44869,Protestant
43516,Catholic
89411,Catholic
74285,Catholic
56527,Catholic
16819,Catholic
34591,Catholic
89972,Catholic
92552,Catholic
73158,Catholic
45963,Catholic
22138,Catholic
90136,Catholic
46744,Catholic
77941,Catholic
44873,Catholic
36540,Catholic
83005,No Religion
31439,Catholic
21899,Catholic
29232,Catholic
32249,Catholic
45375,Catholic
25536,Catholic
32037,Catholic
46558,Catholic
24016,Catholic
52277,Catholic
93699,No Religion
36875,Catholic
84011,Catholic
90646,Catholic
88008,Catholic
88967,Catholic
46701,Catholic
83566,Catholic
21090,Catholic
69419,Catholic
87032,Catholic
94641,No Religion
82728,Catholic
45076,Catholic
58437,Catholic
94862,Catholic
14606,Catholic
64075,Catholic
39787,Catholic
82376,Catholic
44872,Protestant
87783,Catholic
47498,Catholic
57325,Catholic
53776,Protestant
58633,Catholic
27306,Catholic
80607,Catholic
73143,Catholic
35797,Catholic
46365,Catholic
31045,Catholic
74492,Catholic
76791,Catholic
21348,Catholic
23287,Catholic
14763,Catholic
22066,Catholic
28247,Other Religion
72873,Catholic
67544,Catholic
76810,Catholic
51760,Catholic
72806,No Religion
98766,Catholic
60997,No Religion
36038,Catholic
39146,Catholic
60963,Catholic
67918,Catholic
34467,Catholic
42132,Catholic
32668,Catholic
24079,Catholic
59673,Catholic
74899,Catholic
48891,Catholic
81807,Catholic
77187,Catholic
91176,Catholic
35011,Catholic
60903,Catholic
35416,Catholic
89710,Catholic
97596,Catholic
39129,Catholic
57359,No Religion
17308,Catholic
51851,Catholic
35855,Catholic
67334,No Religion
60230,Catholic
77838,Catholic
57292,Catholic
66406,Catholic
56798,Catholic
23115,Catholic
77872,Catholic
43114,Catholic
72348,Catholic
45776,Catholic
63122,Catholic
27169,Catholic
89607,No Religion
59900,Other Religion
28254,Catholic
56480,Catholic
11128,Catholic
47886,Catholic
28820,Catholic
35347,Catholic
45641,Catholic
64572,Catholic
31538,Catholic
73452,Catholic
51475,Catholic
28312,Catholic
13486,Catholic
56805,Catholic
57697,Catholic
54837,Catholic
29718,Catholic
26800,Catholic
60493,Catholic
52051,Catholic
30972,Catholic
47142,Catholic
69217,Catholic
69009,Catholic
84390,Protestant
74845,Catholic
90905,Catholic
39659,Catholic
60396,Catholic
61084,Catholic
92412,Catholic
92038,Catholic
33388,Catholic
31717,Catholic
86440,Catholic
95585,Protestant
29792,Catholic
14737,Catholic
28223,No Religion
55452,Catholic
20179,Catholic
23696,Catholic
28653,Other Religion
84715,Catholic
95559,Catholic
30152,No Religion
68764,Catholic
60367,Protestant
36939,Catholic
59592,Catholic
22897,Catholic
89652,Catholic
28724,Catholic
92895,Catholic
69831,Catholic
59178,Catholic
50072,Catholic
44927,Protestant
71894,Protestant
76790,Catholic
66676,Catholic
95930,Catholic
70962,No Religion
12738,Catholic
27111,Catholic
30453,Catholic
80177,Catholic
18677,Catholic
66047,Catholic
58682,Catholic
79834,Catholic
93471,Catholic
19538,Catholic
38052,Protestant
33133,Catholic
40021,Catholic
27141,Catholic
93858,Catholic
47810,Catholic
58196,Catholic
42773,Catholic
76663,Catholic
48224,Catholic
30137,Catholic
68318,Catholic
62246,Catholic
61028,Catholic
55424,Catholic
17581,Catholic
23576,Catholic
17522,Protestant
97833,Catholic
93485,Catholic
62617,Catholic
42137,Catholic
37305,Catholic
48013,No Religion
44447,Catholic
14571,No Religion
69057,Catholic
66629,Catholic
83542,Catholic
18222,No Religion
39738,Catholic
26858,Catholic
93504,Catholic
64232,Catholic
37404,No Religion
25961,Catholic
87330,Catholic
92028,Catholic
82248,Catholic
28824,Catholic
11482,Catholic
69936,Catholic
37001,Catholic
70492,Catholic
95543,Catholic
21380,Catholic
67106,Catholic
25495,Catholic
26581,Catholic
66642,Catholic
83612,Catholic
63954,Catholic
20665,Catholic
19122,Catholic
99978,Catholic
92566,Catholic
39414,Catholic
35987,Catholic
66655,Catholic
10547,Catholic
46373,Catholic
79341,Catholic
19591,Protestant
83536,Catholic
66682,Catholic
88337,Catholic
67608,Catholic
19735,Catholic
42513,Catholic
51952,Catholic
46266,Catholic
61289,Catholic
18743,Catholic
59207,Catholic
48946,Catholic
86083,Catholic
