egoid,SelfEsteem_1_4,SelfEsteem_2_4,SelfEsteem_3_4,SelfEsteem_4_4,SelfEsteem_5_4,SelfEsteem_6_4,SelfEsteem_7_4,SelfEsteem_8_4,SelfEsteem_9_4,SelfEsteem_10_4,SelfEsteem_4,SelfReg_1_4,SelfReg_3_4,SelfReg_4_4,SelfReg_5_4,SelfReg_6_4,SelfReg_7_4,SelfReg_8_4,SelfReg_9_4,SelfReg_10_4,SelfReg_11_4,SelfReg_12_4,SelfReg_13_4,selfreg_scale_4,Trust_1_4,Trust_2_4,Trust_3_4,Trust_4_4,Trust_5_4,Trust_6_4,Trust_4
44869,Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Agree,40.0,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,3.0
43516,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
89411,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
74285,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
56527,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
16819,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
34591,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,25.0,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,2.4166667,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Disagree,2.6666667
89972,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,38.148648648648646,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.331981978108108,Agree,Agree,Disagree,Agree,Agree,Agree,3.235585584594595
92552,Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,44.0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Disagree,Agree,2.1666667,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667
73158,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,50.0,Disagree,Disagree,Agree,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Neutral,2.0,Agree,Agree,Disagree,Agree,Agree,Agree,3.3333333
