egoid,exercisealone_8,exerciseothers_8,clubsports_8,swimming_8
44869,,,,
43516,,,,
89411,,,,
74285,,,,
56527,,,,
16819,,,,
34591,,,,
89972,,,,
92552,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
73158,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
45963,1-2 times a week,1-2 times a week,Not at all,Not at all
22138,1-2 times a month,Three times a week or more,Not at all,Not at all
90136,,,,
46744,,,,
77941,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
44873,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
36540,,,,
83005,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
31439,,,,
21899,,,,
29232,,,,
32249,,,,
45375,,,,
25536,,,,
32037,,,,
46558,,,,
24016,,,,
52277,,,,
93699,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
36875,Three times a week or more,Three times a week or more,Not at all,Not at all
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
90646,,,,
88008,,,,
88967,,,,
46701,,,,
83566,Not at all,Not at all,Not at all,Not at all
21090,Not at all,Not at all,Not at all,Not at all
69419,,,,
87032,,,,
94641,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
82728,,,,
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
58437,,,,
94862,,,,
14606,,,,
64075,,,,
39787,,,,
82376,,,,
44872,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
87783,,,,
47498,,,,
57325,1-2 times a week,Not at all,Not at all,Not at all
53776,,,,
58633,,,,
27306,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
80607,,,,
73143,,,,
35797,,,,
46365,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
31045,,,,
74492,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
76791,,,,
21348,,,,
23287,,,,
14763,,,,
22066,,,,
28247,,,,
72873,,,,
67544,,,,
76810,,,,
51760,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
72806,Three times a week or more,1-2 times a month,Not at all,Not at all
98766,,,,
60997,,,,
36038,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
39146,,,,
60963,,,,
67918,1-2 times a week,Not at all,1-2 times a month,Not at all
34467,1-2 times a week,Three times a week or more,Not at all,1-2 times a week
42132,,,,
32668,,,,
24079,,,,
59673,,,,
74899,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
48891,,,,
81807,,,,
77187,,,,
91176,,,,
35011,,,,
60903,,,,
35416,,,,
89710,,,,
97596,Three times a week or more,Three times a week or more,Not at all,Not at all
39129,,,,
57359,Three times a week or more,Not at all,1-2 times a month,Not at all
17308,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
51851,,,,
35855,,,,
67334,,,,
60230,,,,
77838,,,,
57292,,,,
66406,,,,
56798,,,,
23115,,,,
77872,,,,
43114,,,,
72348,1-2 times a week,1-2 times a month,Not at all,Not at all
45776,,,,
63122,,,,
27169,,,,
89607,Not at all,Not at all,Not at all,Not at all
59900,,,,
28254,,,,
56480,,,,
11128,,,,
47886,,,,
28820,1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month
35347,,,,
45641,,,,
64572,,,,
31538,,,,
73452,,,,
