egoid,SelfEsteem_1_2,SelfEsteem_2_2,SelfEsteem_3_2,SelfEsteem_4_2,SelfEsteem_5_2,SelfEsteem_6_2,SelfEsteem_7_2,SelfEsteem_8_2,SelfEsteem_9_2,SelfEsteem_10_2,SelfEsteem_2,Trust_1_2,Trust_2_2,Trust_3_2,Trust_4_2,Trust_5_2,Trust_6_2,Trust_2,SelfReg_Exercise_1_2,SelfReg_Exercise_2_2,SelfReg_Exercise_3_2,SelfReg_Exercise_4_2,SelfReg_Exercise_5_2,SelfReg_Exercise_6_2,SelfReg_Exercise_7_2,SelfReg_Exercise_8_2,SelfReg_Exercise_9_2,SelfReg_Exercise_10_2,SelfReg_Exercise_11_2,SelfReg_Exercise_12_2,SelfReg_Exercise_13_2,SelfReg_Exercise_14_2,SelfReg_Exercise_15_2,SelfReg_Exercise_16_2,SRQE_Ext_2,SRQE_Introj_2,SRQE_Ident_2,SRQE_Intrin_2,SRQE_RAI_2,lonely_1_2,lonely_2_2,lonely_3_2,lonely_4_2,lonely_5_2,lonely_6_2,lonely_7_2,lonely_8_2,lonely_9_2,lonely_10_2,lonely_11_2,lonely_12_2,lonely_13_2,lonely_14_2,lonely_15_2,selsa_rom_2,selsa_fam_2,selsa_soc_2,SelfEff_exercise_1_2,SelfEff_exercise_2_2,SelfEff_exercise_3_2,SelfEff_exercise_4_2,SelfEff_exercise_5_2,SelfEff_exercise_6_2,SelfEff_exercise_7_2,SelfEff_exercise_8_2,SelfEff_exercise_9_2,SelfEff_exercise_10_2,SelfEff_exercise_11_2,SelfEff_exercise_12_2,SelfEff_exercise_13_2,SelfEff_exercise_14_2,SelfEff_exercise_15_2,SelfEff_exercise_16_2,SelfEff_exercise_17_2,SelfEff_exercise_18_2,SelfEff_exercise_scale_2,SelfEff_diet_1_2,SelfEff_diet_2_2,SelfEff_diet_3_2,SelfEff_diet_4_2,SelfEff_diet_5_2,SelfEff_diet_6_2,SelfEff_diet_7_2,SelfEff_diet_8_2,SelfEff_diet_9_2,SelfEff_diet_10_2,SelfEff_diet_11_2,SelfEff_diet_12_2,SelfEff_diet_13_2,SelfEff_diet_14_2,SelfEff_diet_15_2,SelfEff_diet_16_2,SelfEff_diet_17_2,SelfEff_diet_18_2,SelfEff_diet_19_2,SelfEff_diet_20_2,SelfEff_diet_21_2,SelfEff_diet_22_2,SelfEff_diet_23_2,SelfEff_diet_24_2,SelfEff_diet_25_2,SelfEff_diet_26_2,SelfEff_diet_27_2,SelfEff_diet_28_2,SelfEff_diet_29_2,SelfEff_diet_scale_2,SelfReg_1_2,SelfReg_3_2,SelfReg_4_2,SelfReg_5_2,SelfReg_6_2,SelfReg_7_2,SelfReg_8_2,SelfReg_9_2,SelfReg_10_2,SelfReg_11_2,SelfReg_12_2,SelfReg_13_2,selfreg_scale_2
44869,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,44.0,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,2.8333333,Somewhat true,Not at all true,5,Not at all true,6,2,Not at all true,6,6,Somewhat true,Not at all true,6,Somewhat true,Not at all true,6,Very true,1.0,2.0,6.25,5.25,12.75,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.84063095,-0.60571218,-0.74703246,51.0,100.0,82.0,28.0,55.0,12.0,88.0,3.0,0.0,38.0,26.0,4.0,65.0,80.0,89.0,0.0,0.0,70.0,43.944443,70.0,22.0,0.0,1.0,54.0,71.0,100.0,37.0,1.0,71.0,86.0,32.0,54.0,42.0,90.0,28.0,72.0,53.0,68.0,73.0,42.0,68.0,38.0,65.0,33.0,79.0,32.0,61.0,84.0,52.655174,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,2.1666667
43516,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,41.0,Disagree,Agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,2.0,Not at all true,Not at all true,3,Not at all true,3,Not at all true,Not at all true,Not at all true,5,Somewhat true,Not at all true,Not at all true,Not at all true,Not at all true,3,Somewhat true,1.0,1.0,3.25,2.75,5.75,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,0.77120322,-0.69184309,-0.44906276,25.0,67.0,24.0,29.0,72.0,38.0,84.0,39.0,28.0,28.0,22.0,18.0,19.0,19.0,22.0,23.0,22.0,67.0,35.888889,36.0,28.0,19.0,12.0,48.0,69.0,100.0,19.0,18.0,49.0,28.0,69.0,44.0,27.0,54.0,49.0,60.0,38.0,26.0,88.0,100.0,63.0,34.0,41.0,59.0,54.0,49.0,78.0,91.0,50.0,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,2.8333333
89411,,,,,,,,,,,38.23645320197044,,,,,,,3.1695331695331697,,,,,,,,,,,,,,,,,1.8044554455445545,3.1002475247524752,5.543935643564357,5.142945544554456,9.120668316831685,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,-0.16320121,-0.16875233,3.6074612,56.8463476070529,57.050251256281406,73.69172932330827,49.721804511278194,61.550251256281406,61.83585858585859,65.82828282828282,53.2126582278481,44.614609571788414,69.84130982367758,40.68939393939394,44.88916876574307,49.7455919395466,69.48614609571788,71.10552763819095,45.87719298245614,39.43609022556391,62.555,56.69304948179551,60.07980049875312,50.86783042394015,37.61346633416459,55.17955112219451,58.927680798004985,70.56109725685785,71.95488721804512,52.99246231155779,49.45454545454545,48.0854271356784,43.21,40.80200501253133,45.69924812030075,39.245,53.11557788944724,43.50374064837905,55.92019950124688,42.35087719298246,54.55,46.0423940149626,57.576441102756895,40.97243107769424,34.5775,57.64912280701754,68.09774436090225,57.414572864321606,44.27386934673367,72.89168765743074,62.53904282115869,52.19360200024937,,,,,,,,,,,,,2.28606965
74285,,,,,,,,,,,38.23645320197044,,,,,,,3.1695331695331697,,,,,,,,,,,,,,,,,1.8044554455445545,3.1002475247524752,5.543935643564357,5.142945544554456,9.120668316831685,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.8255408,-0.56626642,-0.68081099,56.8463476070529,57.050251256281406,73.69172932330827,49.721804511278194,61.550251256281406,61.83585858585859,65.82828282828282,53.2126582278481,44.614609571788414,69.84130982367758,40.68939393939394,44.88916876574307,49.7455919395466,69.48614609571788,71.10552763819095,45.87719298245614,39.43609022556391,62.555,56.69304948179551,60.07980049875312,50.86783042394015,37.61346633416459,55.17955112219451,58.927680798004985,70.56109725685785,71.95488721804512,52.99246231155779,49.45454545454545,48.0854271356784,43.21,40.80200501253133,45.69924812030075,39.245,53.11557788944724,43.50374064837905,55.92019950124688,42.35087719298246,54.55,46.0423940149626,57.576441102756895,40.97243107769424,34.5775,57.64912280701754,68.09774436090225,57.414572864321606,44.27386934673367,72.89168765743074,62.53904282115869,52.19360200024937,,,,,,,,,,,,,2.28606965
56527,,,,,,,,,,,38.23645320197044,,,,,,,3.1695331695331697,,,,,,,,,,,,,,,,,1.8044554455445545,3.1002475247524752,5.543935643564357,5.142945544554456,9.120668316831685,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,-1.3053631,0.35471112,0.20028768,56.8463476070529,57.050251256281406,73.69172932330827,49.721804511278194,61.550251256281406,61.83585858585859,65.82828282828282,53.2126582278481,44.614609571788414,69.84130982367758,40.68939393939394,44.88916876574307,49.7455919395466,69.48614609571788,71.10552763819095,45.87719298245614,39.43609022556391,62.555,56.69304948179551,60.07980049875312,50.86783042394015,37.61346633416459,55.17955112219451,58.927680798004985,70.56109725685785,71.95488721804512,52.99246231155779,49.45454545454545,48.0854271356784,43.21,40.80200501253133,45.69924812030075,39.245,53.11557788944724,43.50374064837905,55.92019950124688,42.35087719298246,54.55,46.0423940149626,57.576441102756895,40.97243107769424,34.5775,57.64912280701754,68.09774436090225,57.414572864321606,44.27386934673367,72.89168765743074,62.53904282115869,52.19360200024937,,,,,,,,,,,,,2.28606965
16819,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,47.0,Neither Agree nor Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,2.3333333,Very true,Not at all true,Very true,3,6,Not at all true,Not at all true,Very true,Very true,6,Not at all true,Very true,Very true,Not at all true,Very true,Very true,1.0,3.0,6.75,6.75,15.25,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.8255408,-0.56626642,-0.68081099,42.0,28.0,72.0,54.0,36.0,38.0,17.0,84.0,100.0,100.0,67.0,75.0,59.0,33.0,21.0,100.0,41.0,30.0,55.388889,49.0,9.0,100.0,31.0,74.0,83.0,100.0,100.0,32.0,100.0,77.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,52.0,100.0,100.0,100.0,76.0,100.0,85.620689,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,1.4166666
34591,,,,,,,,,,,38.23645320197044,,,,,,,3.1695331695331697,,,,,,,,,,,,,,,,,1.8044554455445545,3.1002475247524752,5.543935643564357,5.142945544554456,9.120668316831685,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,0.63716865,0.028678,0.20839469,56.8463476070529,57.050251256281406,73.69172932330827,49.721804511278194,61.550251256281406,61.83585858585859,65.82828282828282,53.2126582278481,44.614609571788414,69.84130982367758,40.68939393939394,44.88916876574307,49.7455919395466,69.48614609571788,71.10552763819095,45.87719298245614,39.43609022556391,62.555,56.69304948179551,60.07980049875312,50.86783042394015,37.61346633416459,55.17955112219451,58.927680798004985,70.56109725685785,71.95488721804512,52.99246231155779,49.45454545454545,48.0854271356784,43.21,40.80200501253133,45.69924812030075,39.245,53.11557788944724,43.50374064837905,55.92019950124688,42.35087719298246,54.55,46.0423940149626,57.576441102756895,40.97243107769424,34.5775,57.64912280701754,68.09774436090225,57.414572864321606,44.27386934673367,72.89168765743074,62.53904282115869,52.19360200024937,,,,,,,,,,,,,2.28606965
89972,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,35.0,Neither Agree nor Disagree,Agree,Disagree,Agree,Agree,Agree,3.1666667,6,3,6,6,6,5,3,5,6,5,3,6,6,3,5,5,3.0,5.0,5.75,5.25,5.25,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Strongly Agree,0.20332244,0.35088512,-0.21980251,69.0,82.0,56.0,33.0,26.0,23.0,62.0,20.0,18.0,20.0,77.0,17.0,17.0,25.0,72.0,18.0,18.0,73.0,40.333332,35.0,35.0,24.0,34.0,56.0,85.0,96.0,48.0,32.0,68.0,21.0,32.0,14.0,15.0,67.0,16.0,8.0,9.0,10.0,83.0,85.0,81.0,13.0,12.0,70.0,73.0,16.0,83.0,77.0,44.758621,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,2.5833333
92552,Agree,Agree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,34.0,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,3.1666667,5,Not at all true,Very true,Somewhat true,6,Not at all true,Not at all true,2,Very true,Very true,Not at all true,2,Somewhat true,Not at all true,3,Somewhat true,1.0,2.5,4.75,4.75,9.75,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Somewhat Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,-1.3002402,-0.17514327,1.9660178,81.0,65.0,85.0,66.0,47.0,99.0,95.0,64.0,57.0,75.0,58.0,63.0,85.0,71.0,90.0,87.0,73.0,90.0,75.055557,99.0,99.0,98.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,98.0,98.0,98.0,97.0,98.0,97.0,96.0,97.0,98.0,99.0,98.0,98.0,99.0,97.0,98.0,98.0,98.0,97.827583,Disagree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,1.8333334
73158,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,40.0,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.6666667,3,Not at all true,2,2,2,3,5,Somewhat true,Somewhat true,2,3,2,Somewhat true,Somewhat true,Somewhat true,5,3.25,2.5,3.25,3.0,0.25,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.8465866,-0.69638222,-0.13370256,49.0,75.0,20.0,50.0,20.0,20.0,76.0,50.0,40.0,30.0,10.0,10.0,10.0,60.0,68.0,3.0,12.0,12.0,34.166668,100.0,81.0,25.0,81.0,81.0,80.0,26.0,51.0,24.0,10.0,81.0,26.0,23.0,21.0,22.0,20.0,23.0,10.0,17.0,17.0,77.0,13.0,12.0,72.0,73.0,30.0,31.0,69.0,80.0,44.0,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Neutral,2.75
