egoid,Trust_1_6,Trust_2_6,Trust_3_6,Trust_4_6,Trust_5_6,Trust_6_6,Trust_6,SelfEsteem_1_6,SelfEsteem_2_6,SelfEsteem_3_6,SelfEsteem_4_6,SelfEsteem_5_6,SelfEsteem_6_6,SelfEsteem_7_6,SelfEsteem_8_6,SelfEsteem_9_6,SelfEsteem_10_6,SelfEsteem_6,SelfReg_Exercise_1_6,SelfReg_Exercise_2_6,SelfReg_Exercise_3_6,SelfReg_Exercise_4_6,SelfReg_Exercise_5_6,SelfReg_Exercise_6_6,SelfReg_Exercise_7_6,SelfReg_Exercise_8_6,SelfReg_Exercise_9_6,SelfReg_Exercise_10_6,SelfReg_Exercise_11_6,SelfReg_Exercise_12_6,SelfReg_Exercise_13_6,SelfReg_Exercise_14_6,SelfReg_Exercise_15_6,SelfReg_Exercise_16_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,SRQE_RAI_6,lonely_1_6,lonely_2_6,lonely_3_6,lonely_4_6,lonely_5_6,lonely_6_6,lonely_7_6,lonely_8_6,lonely_9_6,lonely_10_6,lonely_11_6,lonely_12_6,lonely_13_6,lonely_14_6,lonely_15_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,SelfReg_1_6,SelfReg_3_6,SelfReg_4_6,SelfReg_5_6,SelfReg_6_6,SelfReg_7_6,SelfReg_8_6,SelfReg_9_6,SelfReg_10_6,SelfReg_11_6,SelfReg_12_6,SelfReg_13_6,selfreg_scale_6
44869,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,2.8333333,Agree,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Disagree,Agree,37.0,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,Not at all true,1.0,1.0,1.0,1.0,0.0,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,1.021077,-0.39812726,-0.57608187,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Neutral,2.4166667
43516,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
89411,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
74285,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
56527,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
16819,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
34591,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
89972,,,,,,,3.2541928688679245,,,,,,,,,,,37.73015873015873,,,,,,,,,,,,,,,,,1.867363344051447,3.6631832797427655,5.333601286173633,4.969453376205788,7.87459807073955,,,,,,,,,,,,,,,,0.0084950259038461,-0.0202525392403846,-1.353924230769074e-05,,,,,,,,,,,,,2.3341295136942675
92552,Agree,Agree,Agree,Agree,Agree,Agree,3.0,Disagree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,26.0,3,Not at all true,6,Somewhat true,6,Not at all true,6,6,6,6,Not at all true,6,6,Not at all true,5,5,2.25,3.5,5.75,5.75,9.25,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,1.0757484,0.20900574,0.11048678,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,2.0833333
73158,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,3.8333333,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,49.0,3,Somewhat true,Somewhat true,5,5,3,5,6,6,Somewhat true,5,Somewhat true,Somewhat true,Not at all true,3,Somewhat true,3.75,3.75,4.75,4.25,2.0,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.5321637,-0.59473771,-0.65979803,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,2.5
