egoid,sexorientation_8,sexcontacttype_8,sexattracttype_8
44869,,,
43516,,,
89411,,,
74285,,,
56527,,,
16819,,,
34591,,,
89972,,,
92552,Heterosexual or straight,Women only,Only attracted to females
73158,Heterosexual or straight,Women only,Only attracted to females
45963,Heterosexual or straight,Men only,Only attracted to males
22138,Bisexual,Men only,Mostly attracted to males
90136,,,
46744,,,
77941,Heterosexual or straight,Women only,Only attracted to females
44873,Heterosexual or straight,Women only,Only attracted to females
36540,,,
14527,,,
83005,Bisexual,I have not had sexual contact,Mostly attracted to males
31439,,,
21899,,,
29232,,,
32249,,,
45375,,,
25536,,,
32037,,,
90476,,,
46558,,,
24016,,,
52277,,,
93699,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
36875,Heterosexual or straight,Men only,Only attracted to males
84011,Heterosexual or straight,Men only,Only attracted to males
90646,,,
88008,,,
88967,,,
46701,,,
83566,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males
21090,Heterosexual or straight,Men only,Only attracted to males
69419,,,
87032,,,
94641,Heterosexual or straight,Both men and women,Only attracted to females
82728,,,
45076,Heterosexual or straight,Men only,Only attracted to males
58437,,,
94862,,,
14606,,,
64075,,,
39787,,,
82376,,,
44872,Heterosexual or straight,Both men and women,Mostly attracted to males
87783,,,
22199,,,
47498,,,
57325,Heterosexual or straight,Men only,Only attracted to males
53776,,,
58633,,,
27306,Heterosexual or straight,I have not had sexual contact,Only attracted to males
80607,,,
73143,,,
35797,,,
46365,Heterosexual or straight,Women only,Only attracted to females
30596,,,
31045,,,
74492,Heterosexual or straight,Men only,Only attracted to males
76791,,,
21348,,,
23287,,,
14763,,,
22066,,,
64058,,,
28247,,,
72873,,,
67544,,,
76810,,,
51760,Heterosexual or straight,Women only,Only attracted to females
72806,Bisexual,Women only,Mostly attracted to females
98766,,,
23042,,,
60997,,,
36038,Heterosexual or straight,Women only,Only attracted to females
39146,,,
60963,,,
67918,Heterosexual or straight,I have not had sexual contact,Only attracted to females
34467,Heterosexual or straight,I have not had sexual contact,Only attracted to males
42132,,,
41268,,,
90692,,,
32668,,,
24079,,,
59673,,,
74899,Heterosexual or straight,Women only,Mostly attracted to females
48891,,,
81807,,,
77187,,,
91176,,,
22292,,,
35011,,,
76785,,,
60903,,,
10115,,,
35416,,,
89710,,,
97596,Heterosexual or straight,Men only,Only attracted to males
39129,,,
57359,Heterosexual or straight,Men only,Mostly attracted to males
17308,Heterosexual or straight,Men only,Mostly attracted to males
51851,,,
35855,,,
67334,,,
60230,,,
77838,,,
37371,,,
57292,,,
66406,,,
90447,,,
56798,,,
28827,,,
23115,,,
77872,,,
43114,,,
72348,Heterosexual or straight,I have not had sexual contact,Only attracted to males
15707,,,
45776,,,
63122,,,
27169,,,
89607,Heterosexual or straight,Women only,Only attracted to females
59900,,,
28254,,,
56480,,,
11128,,,
47886,,,
28820,Heterosexual or straight,Women only,Only attracted to females
35347,,,
45641,,,
25369,,,
64572,,,
31538,,,
73452,,,
51475,Heterosexual or straight,I have not had sexual contact,Only attracted to males
28312,,,
13486,Heterosexual or straight,Women only,Only attracted to females
56805,,,
57697,,,
54837,,,
29718,,,
26800,,,
60493,Heterosexual or straight,Women only,Only attracted to females
52051,,,
30972,,,
47142,,,
69217,,,
69009,,,
84390,Heterosexual or straight,Men only,Only attracted to males
74845,,,
90905,,,
