egoid,major1rc_4,major2rc_4,majorevent_4
44869,507.0,131.0,no
43516,309.0,131.0,
89411,309.0,131.0,
74285,309.0,131.0,
56527,309.0,131.0,
16819,309.0,131.0,
34591,109.0,128.0,no
89972,309.0,131.0,
92552,305.0,131.0,no
73158,306.0,131.0,no
45963,503.0,131.0,no
22138,507.0,110.0,no
90136,309.0,131.0,
46744,309.0,131.0,
77941,302.0,131.0,no
44873,309.0,131.0,no
36540,309.0,131.0,
14527,309.0,131.0,
83005,131.0,131.0,no
31439,501.0,131.0,no
21899,309.0,131.0,
29232,309.0,131.0,
32249,403.0,404.0,no
45375,309.0,131.0,
25536,309.0,131.0,
32037,309.0,131.0,
90476,309.0,131.0,
46558,301.0,131.0,no
24016,128.0,109.0,no
52277,309.0,131.0,
93699,401.0,131.0,no
36875,406.0,131.0,no
84011,503.0,131.0,no
90646,309.0,131.0,yes
88008,303.0,131.0,no
88967,309.0,131.0,
46701,309.0,131.0,
83566,134.0,131.0,no
21090,305.0,131.0,no
69419,309.0,131.0,
87032,200.0,131.0,yes
94641,305.0,125.0,no
82728,510.0,104.0,no
45076,403.0,131.0,no
58437,309.0,131.0,no
94862,403.0,506.0,no
14606,304.0,131.0,no
64075,404.0,131.0,no
39787,307.0,131.0,no
82376,309.0,131.0,
44872,507.0,135.0,no
87783,404.0,125.0,no
22199,309.0,131.0,
47498,309.0,131.0,
57325,503.0,123.0,no
53776,309.0,131.0,
58633,309.0,131.0,yes
27306,507.0,131.0,no
80607,309.0,131.0,
73143,309.0,131.0,
35797,309.0,131.0,
46365,511.0,131.0,no
30596,309.0,131.0,
31045,309.0,131.0,
74492,511.0,514.0,yes
76791,103.0,131.0,no
21348,309.0,131.0,
23287,309.0,131.0,no
14763,309.0,131.0,
22066,309.0,131.0,
64058,309.0,131.0,
28247,200.0,131.0,no
72873,309.0,131.0,
67544,309.0,131.0,
76810,309.0,131.0,
51760,306.0,131.0,no
72806,109.0,131.0,no
98766,403.0,112.0,no
23042,309.0,131.0,
60997,309.0,131.0,no
36038,110.0,129.0,no
39146,503.0,131.0,no
60963,304.0,131.0,no
67918,303.0,131.0,no
34467,507.0,131.0,no
42132,309.0,131.0,
41268,309.0,131.0,
90692,102.0,109.0,no
32668,130.0,109.0,no
24079,309.0,131.0,
59673,303.0,131.0,no
74899,509.0,131.0,no
48891,309.0,131.0,
81807,309.0,131.0,
77187,309.0,131.0,
91176,309.0,131.0,
22292,309.0,131.0,
35011,406.0,128.0,no
76785,309.0,131.0,
60903,309.0,131.0,
10115,309.0,131.0,
35416,309.0,131.0,yes
89710,132.0,128.0,no
97596,405.0,100.0,yes
39129,309.0,131.0,no
57359,503.0,131.0,no
17308,503.0,131.0,no
51851,403.0,131.0,no
35855,309.0,131.0,
67334,309.0,131.0,
60230,309.0,131.0,
77838,403.0,131.0,no
37371,309.0,131.0,
57292,309.0,131.0,
66406,309.0,131.0,
90447,309.0,131.0,
56798,128.0,131.0,no
28827,309.0,131.0,
23115,309.0,131.0,
77872,304.0,131.0,no
43114,302.0,131.0,no
72348,507.0,131.0,no
15707,309.0,131.0,
45776,309.0,131.0,
63122,309.0,131.0,
27169,309.0,131.0,
89607,305.0,131.0,no
59900,511.0,131.0,yes
28254,309.0,106.0,no
56480,309.0,131.0,yes
11128,309.0,131.0,
47886,309.0,131.0,
28820,309.0,131.0,no
35347,403.0,109.0,no
45641,302.0,507.0,no
25369,309.0,131.0,
64572,306.0,131.0,no
31538,503.0,131.0,no
73452,302.0,129.0,no
51475,129.0,134.0,no
28312,403.0,501.0,no
13486,405.0,403.0,no
56805,303.0,131.0,no
57697,309.0,131.0,
54837,309.0,131.0,
29718,131.0,131.0,no
26800,401.0,501.0,no
60493,507.0,131.0,no
52051,309.0,131.0,
30972,309.0,131.0,
47142,128.0,117.0,no
69217,309.0,131.0,no
69009,309.0,131.0,
84390,309.0,131.0,
74845,403.0,131.0,no
90905,309.0,131.0,
39659,309.0,131.0,
62072,309.0,131.0,
60396,403.0,128.0,no
61084,305.0,131.0,no
92412,117.0,506.0,no
92038,309.0,131.0,no
33388,401.0,405.0,no
31717,309.0,131.0,
18324,309.0,131.0,
86440,403.0,128.0,no
95585,309.0,131.0,
29792,508.0,501.0,no
14737,401.0,515.0,no
28223,502.0,131.0,no
85708,309.0,131.0,
55452,309.0,131.0,
20179,309.0,131.0,
78339,309.0,131.0,
23696,309.0,131.0,
28653,405.0,131.0,yes
84715,309.0,131.0,
95559,301.0,131.0,no
30152,507.0,131.0,no
68764,309.0,131.0,
60367,309.0,131.0,
36939,309.0,131.0,no
59592,503.0,131.0,no
22897,309.0,131.0,no
89652,510.0,137.0,no
28724,507.0,131.0,no
92895,309.0,131.0,
69831,305.0,131.0,no
59178,309.0,131.0,
50072,503.0,131.0,no
44927,502.0,131.0,yes
71894,305.0,131.0,no
76790,128.0,135.0,no
78428,309.0,131.0,
66676,502.0,131.0,no
95930,401.0,131.0,no
70962,503.0,131.0,no
12738,309.0,131.0,
29647,504.0,300.0,no
27111,309.0,131.0,
30453,401.0,135.0,no
58219,309.0,131.0,
28377,309.0,131.0,
80177,309.0,131.0,
18677,404.0,131.0,no
66047,103.0,131.0,yes
58682,406.0,131.0,no
81199,309.0,131.0,
85679,309.0,131.0,
79834,507.0,131.0,no
93471,309.0,131.0,
19538,309.0,131.0,
14595,309.0,131.0,
38052,508.0,131.0,no
33133,111.0,128.0,no
40021,507.0,131.0,no
27141,309.0,131.0,
93858,309.0,131.0,
47810,309.0,131.0,yes
58196,406.0,131.0,no
42773,309.0,131.0,
72152,309.0,131.0,
76663,511.0,131.0,no
48224,309.0,131.0,
30137,403.0,128.0,no
68318,502.0,131.0,no
62246,309.0,131.0,no
69496,309.0,131.0,
61028,302.0,131.0,no
55424,401.0,109.0,no
17581,309.0,131.0,
23576,403.0,109.0,no
57842,404.0,131.0,no
17522,511.0,131.0,no
55685,309.0,131.0,
74079,309.0,131.0,
97833,309.0,131.0,
11992,309.0,131.0,
93485,401.0,135.0,no
34402,309.0,131.0,
62617,507.0,131.0,no
42137,303.0,131.0,no
37305,406.0,111.0,yes
48013,102.0,131.0,no
44447,309.0,131.0,
14571,503.0,501.0,no
69057,309.0,131.0,yes
49125,309.0,131.0,
66629,309.0,131.0,
83542,110.0,131.0,no
18222,305.0,131.0,no
39738,128.0,131.0,yes
26858,510.0,131.0,no
70552,309.0,131.0,
38826,131.0,135.0,no
93504,106.0,406.0,no
64232,507.0,131.0,no
37404,401.0,131.0,no
25961,507.0,131.0,no
87330,131.0,131.0,no
92028,309.0,131.0,
82248,116.0,135.0,no
28824,309.0,131.0,
11482,109.0,100.0,no
69936,309.0,131.0,
91320,309.0,131.0,
37001,309.0,131.0,
70492,511.0,507.0,no
95543,305.0,131.0,no
21380,302.0,131.0,no
67106,303.0,131.0,no
25495,109.0,403.0,no
