egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
44869,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
43516,401.0,128.0,,
89411,401.0,128.0,,
74285,401.0,128.0,,
56527,401.0,128.0,,
16819,401.0,128.0,,
34591,401.0,128.0,,
89972,401.0,128.0,,
92552,305.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
73158,306.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
45963,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no
90136,401.0,128.0,,
46744,401.0,128.0,,
77941,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
44873,401.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
36540,401.0,128.0,,
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
21899,302.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
29232,401.0,128.0,,
32249,401.0,128.0,,
45375,401.0,128.0,,
25536,401.0,128.0,,
32037,401.0,128.0,,
46558,301.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
24016,401.0,128.0,,
52277,401.0,128.0,,
93699,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36875,406.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
84011,503.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
90646,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,303.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
88967,401.0,128.0,,
46701,401.0,128.0,,
83566,134.0,128.0,Ph.D or Ed.D.,no
21090,305.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
69419,401.0,128.0,,
87032,401.0,128.0,,
94641,305.0,128.0,Ph.D or Ed.D.,no
82728,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
45076,405.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
58437,309.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94862,401.0,128.0,,
14606,304.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
64075,402.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39787,401.0,128.0,,
82376,401.0,128.0,,
44872,507.0,128.0,"M.D., D.O., D.D.S., or D.V.M.",no
87783,401.0,128.0,,
47498,401.0,128.0,,
57325,503.0,123.0,Other,yes
53776,401.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
58633,401.0,128.0,,
27306,507.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,401.0,128.0,,
