egoid,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6
44869,3.0,3.5555556,2.6666667,3.125,2.5555556
43516,3.125,3.7777777,3.5555556,2.875,3.4444444
89411,3.125,3.7777777,3.5555556,2.875,3.4444444
74285,3.125,3.7777777,3.5555556,2.875,3.4444444
56527,3.125,3.7777777,3.5555556,2.875,3.4444444
16819,3.125,3.7777777,3.5555556,2.875,3.4444444
34591,3.125,3.7777777,3.5555556,2.875,3.4444444
89972,3.125,3.7777777,3.5555556,2.875,3.4444444
92552,3.5,4.2222223,4.2222223,2.875,3.4444444
73158,3.5,4.2222223,4.2222223,1.875,3.3333333
45963,3.75,4.5555553,3.4444444,3.75,3.8888888
22138,3.625,3.2222223,3.5555556,3.125,3.7777777
90136,3.125,3.7777777,3.5555556,2.875,3.4444444
46744,3.125,3.7777777,3.5555556,2.875,3.4444444
77941,4.25,4.5555553,3.8888888,2.0,4.4444447
44873,3.75,4.0,4.0,2.125,2.8888888
36540,3.125,3.7777777,3.5555556,2.875,3.4444444
14527,3.125,3.7777777,3.5555556,2.875,3.4444444
83005,3.375,3.4444444,3.5555556,3.375,3.4444444
31439,3.0,2.8888888,3.0,3.125,3.0
21899,2.0,3.8888888,3.5555556,2.625,2.7777777
29232,3.125,3.7777777,3.5555556,2.875,3.4444444
32249,3.125,3.7777777,3.5555556,2.875,3.4444444
45375,3.125,3.7777777,3.5555556,2.875,3.4444444
25536,3.125,3.7777777,3.5555556,2.875,3.4444444
32037,3.125,3.7777777,3.5555556,2.875,3.4444444
90476,3.125,3.7777777,3.5555556,2.875,3.4444444
46558,2.25,3.7777777,3.2222223,2.875,3.2222223
24016,3.125,3.7777777,3.5555556,2.875,3.4444444
52277,3.125,3.7777777,3.5555556,2.875,3.4444444
93699,3.0,3.8888888,2.8888888,3.75,3.6666667
36875,3.25,4.5555553,4.7777777,3.0,3.3333333
84011,2.375,3.6666667,4.0,2.75,3.0
90646,4.875,4.7777777,4.0,3.75,4.4444447
88008,2.75,3.5555556,2.7777777,3.0,3.7777777
88967,3.125,3.7777777,3.5555556,2.875,3.4444444
46701,3.125,3.7777777,3.5555556,2.875,3.4444444
83566,2.25,3.8888888,3.5555556,3.5,2.5555556
21090,3.125,4.3333335,4.2222223,2.125,4.1111112
69419,3.125,3.7777777,3.5555556,2.875,3.4444444
87032,3.125,3.7777777,3.5555556,2.875,3.4444444
94641,2.625,3.8888888,4.0,2.75,4.4444447
82728,2.0,4.3333335,4.3333335,3.5,3.1111112
45076,3.0,3.1111112,4.3333335,2.5,3.3333333
58437,4.375,3.8888888,3.1111112,1.625,3.3333333
94862,3.125,3.7777777,3.5555556,2.875,3.4444444
14606,2.875,4.2222223,4.4444447,1.875,3.1111112
64075,3.875,4.2222223,3.5555556,2.625,4.2222223
39787,3.125,3.7777777,3.5555556,2.875,3.4444444
82376,3.125,3.7777777,3.5555556,2.875,3.4444444
44872,3.5,4.2222223,3.5555556,2.125,3.5555556
87783,3.125,3.7777777,3.5555556,2.875,3.4444444
22199,3.125,3.7777777,3.5555556,2.875,3.4444444
47498,3.125,3.7777777,3.5555556,2.875,3.4444444
57325,3.75,3.4444444,4.5555553,4.25,4.2222223
53776,3.125,3.7777777,3.5555556,2.875,3.4444444
58633,3.125,3.7777777,3.5555556,2.875,3.4444444
27306,4.5,4.6666665,4.6666665,2.0,2.8888888
80607,3.125,3.7777777,3.5555556,2.875,3.4444444
73143,3.125,3.7777777,3.5555556,2.875,3.4444444
35797,3.125,3.7777777,3.5555556,2.875,3.4444444
46365,3.5,3.4444444,4.0,2.875,3.5555556
30596,3.125,3.7777777,3.5555556,2.875,3.4444444
31045,3.125,3.7777777,3.5555556,2.875,3.4444444
74492,4.0,4.3333335,4.5555553,2.25,3.7777777
76791,3.125,3.7777777,3.5555556,2.875,3.4444444
21348,3.125,3.7777777,3.5555556,2.875,3.4444444
23287,3.125,3.7777777,3.5555556,2.875,3.4444444
14763,3.125,3.7777777,3.5555556,2.875,3.4444444
22066,3.125,3.7777777,3.5555556,2.875,3.4444444
64058,3.125,3.7777777,3.5555556,2.875,3.4444444
28247,3.125,3.7777777,3.5555556,2.875,3.4444444
72873,3.125,3.7777777,3.5555556,2.875,3.4444444
67544,3.125,3.7777777,3.5555556,2.875,3.4444444
76810,3.125,3.7777777,3.5555556,2.875,3.4444444
51760,3.125,2.8888888,4.1111112,1.875,4.6666665
72806,4.375,3.8888888,3.7777777,2.375,3.1111112
98766,4.375,3.7777777,4.6666665,1.875,2.3333333
23042,3.125,3.7777777,3.5555556,2.875,3.4444444
60997,2.5,2.0,2.6666667,2.75,1.8888888
36038,3.75,3.7777777,3.8888888,3.5,3.2222223
39146,1.375,3.3333333,3.0,2.75,3.4444444
60963,3.125,3.7777777,3.5555556,2.875,3.4444444
67918,2.125,3.5555556,3.8888888,2.25,3.8888888
34467,3.0,3.8888888,4.1111112,3.25,3.4444444
42132,3.125,3.7777777,3.5555556,2.875,3.4444444
41268,3.125,3.7777777,3.5555556,2.875,3.4444444
90692,3.125,3.7777777,3.5555556,2.875,3.4444444
32668,3.125,2.7777777,3.7777777,3.0,4.3333335
24079,2.875,3.2222223,2.5555556,2.75,3.4444444
59673,4.125,4.2222223,3.1111112,1.875,4.0
74899,4.25,4.1111112,3.3333333,3.875,2.7777777
48891,3.125,3.7777777,3.5555556,2.875,3.4444444
81807,4.0,4.5555553,4.2222223,2.25,4.3333335
77187,3.125,3.7777777,3.5555556,2.875,3.4444444
91176,2.5,3.7777777,2.4444444,3.25,2.8888888
22292,3.125,3.7777777,3.5555556,2.875,3.4444444
35011,4.125,3.5555556,3.8888888,3.125,3.5555556
76785,3.125,3.7777777,3.5555556,2.875,3.4444444
60903,3.125,3.7777777,3.5555556,2.875,3.4444444
10115,3.125,3.7777777,3.5555556,2.875,3.4444444
35416,1.5,3.0,2.4444444,4.5,3.0
89710,3.5,3.7777777,3.5555556,2.625,3.2222223
97596,2.625,3.4444444,3.7777777,3.5,3.3333333
39129,3.125,3.7777777,3.5555556,2.875,3.4444444
57359,3.125,3.3333333,3.2222223,2.875,2.5555556
17308,3.0,3.5555556,3.6666667,2.875,3.3333333
51851,3.125,3.7777777,3.5555556,2.875,3.4444444
35855,3.125,3.7777777,3.5555556,2.875,3.4444444
67334,3.125,3.7777777,3.5555556,2.875,3.4444444
