egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
44869,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Always
43516,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
89411,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
74285,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
56527,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
16819,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
34591,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
89972,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
92552,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
73158,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
45963,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
22138,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,Frequently
90136,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
46744,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
77941,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
44873,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
36540,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
14527,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
83005,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
31439,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Frequently
21899,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Frequently
29232,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
32249,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
45375,1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Always,Frequently
25536,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
32037,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
90476,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
46558,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
24016,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
52277,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
93699,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Frequently
36875,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
84011,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all,Frequently,Occasionally
90646,Not at all,1-2 times a week,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more,Frequently,Frequently
88008,Less than 1-2 times a month,Not at all,Not at all,Not at all,Not at all,Not at all,Never,Frequently
88967,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
46701,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
83566,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Occasionally,Never
