egoid,major1rc_3,major2rc_3,degreeintent_3,majorevent_3
44869,507.0,101.0,"M.D., D.O., D.D.S., or D.V.M.",no
43516,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
89411,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
74285,110.0,128.0,J.D. (Law),no
56527,507.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
16819,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
34591,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
89972,309.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
92552,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
73158,306.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
45963,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
22138,507.0,110.0,Ph.D or Ed.D.,no
90136,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
46744,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
77941,302.0,510.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
44873,403.0,401.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36540,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
14527,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
21899,302.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
29232,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
32249,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
45375,109.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
25536,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
32037,400.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90476,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
46558,301.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
24016,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
52277,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
93699,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
36875,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
84011,503.0,109.0,Ph.D or Ed.D.,no
90646,309.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,303.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
88967,109.0,110.0,"Bachelor's degree (B.A., B.S., etc.)",no
46701,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
83566,134.0,109.0,Ph.D or Ed.D.,no
21090,305.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
69419,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
87032,200.0,109.0,Ph.D or Ed.D.,no
94641,305.0,125.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
82728,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
45076,404.0,131.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
58437,309.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
94862,403.0,501.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
14606,304.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
64075,403.0,404.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
39787,307.0,109.0,Ph.D or Ed.D.,no
82376,200.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
44872,507.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
87783,404.0,125.0,J.D. (Law),no
22199,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
47498,511.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",yes
57325,123.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",no
53776,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
58633,309.0,109.0,J.D. (Law),no
27306,507.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,103.0,140.0,Ph.D or Ed.D.,no
73143,401.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35797,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
46365,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
30596,508.0,109.0,Ph.D or Ed.D.,no
31045,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
74492,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
76791,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
21348,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23287,111.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
14763,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
22066,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64058,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28247,200.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
72873,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
67544,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
76810,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
51760,302.0,109.0,Ph.D or Ed.D.,no
72806,109.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
98766,403.0,112.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23042,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
60997,309.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
36038,110.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",yes
39146,503.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
60963,304.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
67918,303.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
34467,507.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
42132,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
41268,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90692,102.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
32668,109.0,130.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
24079,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
59673,303.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
74899,509.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",yes
48891,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
81807,302.0,305.0,Ph.D or Ed.D.,no
77187,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
91176,508.0,506.0,Ph.D or Ed.D.,no
22292,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35011,406.0,128.0,J.D. (Law),no
76785,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
60903,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
10115,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
35416,309.0,109.0,Ph.D or Ed.D.,yes
89710,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
97596,405.0,100.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
39129,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
57359,503.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",yes
17308,503.0,507.0,"M.D., D.O., D.D.S., or D.V.M.",no
51851,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes
35855,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
67334,305.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
60230,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
77838,403.0,401.0,"Bachelor's degree (B.A., B.S., etc.)",no
37371,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
57292,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
66406,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
90447,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
56798,128.0,138.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28827,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23115,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
77872,304.0,109.0,J.D. (Law),no
43114,302.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
72348,507.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
15707,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
45776,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
63122,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
27169,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
89607,305.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
59900,511.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
28254,309.0,106.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
56480,309.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",yes
11128,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
47886,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28820,309.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
35347,403.0,109.0,J.D. (Law),no
45641,302.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no
25369,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
64572,306.0,304.0,"Bachelor's degree (B.A., B.S., etc.)",no
31538,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
73452,302.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
51475,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
28312,403.0,501.0,J.D. (Law),no
13486,405.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
56805,303.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
57697,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
54837,403.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
