egoid,major1rc_4,major2rc_4,majorevent_4
44869,507.0,135.0,no
43516,507.0,135.0,no
89411,507.0,135.0,no
74285,507.0,135.0,no
56527,507.0,135.0,no
16819,507.0,135.0,no
34591,109.0,128.0,no
89972,507.0,135.0,no
92552,305.0,135.0,no
73158,306.0,135.0,no
45963,503.0,135.0,no
22138,507.0,110.0,no
90136,507.0,135.0,no
46744,507.0,135.0,no
77941,302.0,135.0,no
44873,507.0,135.0,no
36540,507.0,135.0,no
14527,507.0,135.0,no
83005,131.0,135.0,no
31439,501.0,135.0,no
21899,507.0,135.0,no
29232,507.0,135.0,no
32249,403.0,404.0,no
45375,507.0,135.0,no
25536,507.0,135.0,no
32037,507.0,135.0,no
90476,507.0,135.0,no
46558,301.0,135.0,no
24016,128.0,109.0,no
52277,507.0,135.0,no
93699,401.0,135.0,no
36875,406.0,135.0,no
84011,503.0,135.0,no
90646,309.0,135.0,yes
88008,303.0,135.0,no
88967,507.0,135.0,no
46701,507.0,135.0,no
83566,134.0,135.0,no
21090,305.0,135.0,no
69419,507.0,135.0,no
87032,200.0,135.0,yes
94641,305.0,125.0,no
82728,510.0,104.0,no
45076,403.0,131.0,no
58437,309.0,135.0,no
94862,403.0,506.0,no
14606,304.0,135.0,no
64075,404.0,135.0,no
39787,307.0,135.0,no
82376,507.0,135.0,no
44872,507.0,135.0,no
87783,404.0,125.0,no
22199,507.0,135.0,no
47498,507.0,135.0,no
57325,503.0,123.0,no
53776,507.0,135.0,no
58633,309.0,135.0,yes
27306,507.0,135.0,no
80607,507.0,135.0,no
73143,507.0,135.0,no
35797,507.0,135.0,no
46365,511.0,135.0,no
30596,507.0,135.0,no
31045,507.0,135.0,no
74492,511.0,514.0,yes
76791,103.0,135.0,no
21348,507.0,135.0,no
23287,507.0,135.0,no
14763,507.0,135.0,no
22066,507.0,135.0,no
64058,507.0,135.0,no
28247,200.0,135.0,no
72873,507.0,135.0,no
67544,507.0,135.0,no
76810,507.0,135.0,no
51760,306.0,135.0,no
72806,109.0,135.0,no
98766,403.0,112.0,no
23042,507.0,135.0,no
60997,309.0,135.0,no
36038,110.0,129.0,no
39146,503.0,135.0,no
60963,304.0,135.0,no
67918,303.0,135.0,no
34467,507.0,135.0,no
42132,507.0,135.0,no
41268,507.0,135.0,no
90692,102.0,109.0,no
32668,130.0,109.0,no
24079,507.0,135.0,no
59673,303.0,135.0,no
74899,509.0,135.0,no
48891,507.0,135.0,no
81807,507.0,135.0,no
77187,507.0,135.0,no
91176,507.0,135.0,no
22292,507.0,135.0,no
35011,406.0,128.0,no
76785,507.0,135.0,no
60903,507.0,135.0,no
10115,507.0,135.0,no
35416,309.0,135.0,yes
89710,132.0,128.0,no
97596,405.0,100.0,yes
39129,507.0,135.0,no
57359,503.0,135.0,no
17308,503.0,135.0,no
51851,403.0,135.0,no
35855,507.0,135.0,no
67334,507.0,135.0,no
60230,507.0,135.0,no
77838,403.0,135.0,no
37371,507.0,135.0,no
57292,507.0,135.0,no
66406,507.0,135.0,no
90447,507.0,135.0,no
56798,128.0,135.0,no
28827,507.0,135.0,no
23115,507.0,135.0,no
77872,304.0,135.0,no
43114,302.0,135.0,no
72348,507.0,135.0,no
15707,507.0,135.0,no
45776,507.0,135.0,no
63122,507.0,135.0,no
27169,507.0,135.0,no
89607,305.0,135.0,no
59900,511.0,135.0,yes
28254,309.0,106.0,no
56480,309.0,135.0,yes
11128,507.0,135.0,no
47886,507.0,135.0,no
28820,309.0,135.0,no
35347,403.0,109.0,no
45641,302.0,507.0,no
25369,507.0,135.0,no
64572,306.0,135.0,no
31538,503.0,135.0,no
73452,302.0,129.0,no
51475,129.0,134.0,no
28312,403.0,501.0,no
13486,405.0,403.0,no
56805,303.0,135.0,no
57697,507.0,135.0,no
54837,507.0,135.0,no
29718,131.0,135.0,no
26800,401.0,501.0,no
60493,507.0,135.0,no
52051,507.0,135.0,no
30972,507.0,135.0,no
47142,128.0,117.0,no
69217,309.0,135.0,no
69009,507.0,135.0,no
84390,507.0,135.0,no
74845,403.0,135.0,no
90905,507.0,135.0,no
39659,507.0,135.0,no
62072,507.0,135.0,no
60396,403.0,128.0,no
61084,305.0,135.0,no
92412,117.0,506.0,no
92038,507.0,135.0,no
33388,401.0,405.0,no
31717,507.0,135.0,no
18324,507.0,135.0,no
86440,403.0,128.0,no
95585,507.0,135.0,no
29792,508.0,501.0,no
14737,401.0,515.0,no
28223,502.0,135.0,no
85708,507.0,135.0,no
55452,507.0,135.0,no
20179,507.0,135.0,no
78339,507.0,135.0,no
23696,507.0,135.0,no
28653,405.0,135.0,yes
84715,507.0,135.0,no
95559,301.0,135.0,no
30152,507.0,135.0,no
68764,507.0,135.0,no
60367,507.0,135.0,no
36939,507.0,135.0,no
59592,503.0,135.0,no
22897,309.0,135.0,no
89652,510.0,137.0,no
28724,507.0,135.0,no
92895,507.0,135.0,no
69831,305.0,135.0,no
59178,507.0,135.0,no
50072,503.0,135.0,no
44927,502.0,131.0,yes
71894,305.0,135.0,no
76790,128.0,135.0,no
78428,507.0,135.0,no
66676,502.0,135.0,no
95930,401.0,135.0,no
70962,503.0,135.0,no
12738,507.0,135.0,no
29647,504.0,300.0,no
27111,507.0,135.0,no
30453,401.0,135.0,no
58219,507.0,135.0,no
28377,507.0,135.0,no
80177,507.0,135.0,no
18677,404.0,135.0,no
66047,103.0,135.0,yes
58682,406.0,135.0,no
81199,507.0,135.0,no
85679,507.0,135.0,no
79834,507.0,135.0,no
93471,507.0,135.0,no
19538,507.0,135.0,no
14595,507.0,135.0,no
38052,508.0,135.0,no
33133,111.0,128.0,no
40021,507.0,135.0,no
27141,507.0,135.0,no
93858,507.0,135.0,no
47810,309.0,135.0,yes
58196,406.0,135.0,no
42773,507.0,135.0,no
72152,507.0,135.0,no
76663,511.0,135.0,no
48224,507.0,135.0,no
30137,403.0,128.0,no
68318,502.0,135.0,no
62246,309.0,135.0,no
69496,507.0,135.0,no
61028,302.0,135.0,no
55424,401.0,109.0,no
17581,507.0,135.0,no
23576,403.0,109.0,no
57842,404.0,131.0,no
17522,511.0,135.0,no
55685,507.0,135.0,no
74079,507.0,135.0,no
97833,507.0,135.0,no
11992,507.0,135.0,no
93485,401.0,135.0,no
34402,507.0,135.0,no
62617,507.0,135.0,no
42137,303.0,135.0,no
37305,406.0,111.0,yes
48013,102.0,135.0,no
44447,507.0,135.0,no
14571,503.0,501.0,no
69057,309.0,135.0,yes
49125,507.0,135.0,no
66629,507.0,135.0,no
83542,110.0,135.0,no
18222,305.0,135.0,no
39738,128.0,135.0,yes
26858,510.0,135.0,no
70552,507.0,135.0,no
38826,131.0,135.0,no
93504,106.0,406.0,no
64232,507.0,135.0,no
37404,401.0,135.0,no
25961,507.0,135.0,no
87330,131.0,135.0,no
92028,507.0,135.0,no
82248,116.0,135.0,no
28824,507.0,135.0,no
11482,109.0,100.0,no
69936,507.0,135.0,no
91320,507.0,135.0,no
37001,507.0,135.0,no
70492,511.0,507.0,no
95543,305.0,135.0,no
21380,302.0,135.0,no
67106,303.0,135.0,no
25495,109.0,403.0,no
26581,507.0,135.0,no
66642,309.0,135.0,no
83612,503.0,135.0,no
63954,507.0,135.0,no
20665,507.0,135.0,no
19122,301.0,135.0,no
99978,309.0,137.0,no
92566,110.0,128.0,no
39414,200.0,135.0,no
35987,305.0,135.0,no
66655,507.0,135.0,no
10547,507.0,135.0,no
46373,128.0,135.0,no
79341,511.0,109.0,no
19591,403.0,135.0,no
83536,306.0,135.0,yes
66682,507.0,135.0,no
88337,507.0,135.0,no
67608,503.0,129.0,yes
19735,200.0,135.0,no
42513,507.0,135.0,no
64595,507.0,135.0,no
85134,507.0,135.0,no
51952,507.0,135.0,no
28837,507.0,135.0,no
46266,303.0,135.0,yes
61289,507.0,135.0,no
18743,507.0,135.0,no
13647,507.0,135.0,no
59207,302.0,135.0,no
48946,508.0,135.0,no
86083,130.0,109.0,no
96613,403.0,501.0,no
49014,507.0,135.0,no
50766,305.0,135.0,no
71089,305.0,111.0,no
80980,309.0,135.0,no
29115,507.0,135.0,no
98462,501.0,135.0,no
94455,507.0,135.0,no
11148,507.0,135.0,no
88384,507.0,135.0,no
60904,507.0,135.0,no
64302,303.0,135.0,no
51882,507.0,135.0,no
54200,507.0,135.0,no
22688,306.0,504.0,no
38815,305.0,135.0,no
34525,507.0,135.0,no
68404,406.0,131.0,no
71836,507.0,135.0,no
12748,507.0,135.0,no
33445,507.0,135.0,no
83078,507.0,135.0,no
72160,507.0,135.0,no
55569,507.0,135.0,no
72885,305.0,135.0,no
47006,507.0,135.0,no
36574,507.0,135.0,no
71193,109.0,135.0,no
44070,507.0,135.0,no
49010,507.0,135.0,no
98760,302.0,510.0,yes
95374,131.0,128.0,no
71985,403.0,402.0,no
43125,109.0,403.0,no
98117,503.0,135.0,no
22989,109.0,131.0,no
24883,502.0,135.0,yes
65068,507.0,135.0,no
20650,128.0,135.0,no
19460,507.0,135.0,no
