egoid,exercisealone_2,clubsports_2,exerciseothers_2,swimming_2,exercise_tracking_2,exercise_adjust_2,exercise_perceivedchange_2
44869,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
43516,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
89411,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,No,increased a good deal
74285,1-2 times a week,Not at all,Not at all,Not at all,Yes,"Yes, sometimes",has decreased a bit
56527,Not at all,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
16819,Less than 1-2 times a month,Not at all,Three times a week or more,Not at all,Yes,"Yes, often",has stayed about the same
34591,1-2 times a month,1-2 times a month,1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
89972,1-2 times a month,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
92552,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
73158,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,Yes,No,increased a good deal
45963,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Yes,No,increased a bit
22138,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,has stayed about the same
90136,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
46744,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
77941,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
44873,1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month,No,"Yes, sometimes",increased a bit
36540,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Yes,No,increased a bit
14527,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,Yes,No,increased a good deal
83005,1-2 times a week,Not at all,Not at all,Not at all,Yes,No,has stayed about the same
31439,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Yes,"Yes, sometimes",has decreased a bit
21899,1-2 times a week,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Yes,No,increased a good deal
29232,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a month,Yes,"Yes, sometimes",increased a bit
32249,Less than 1-2 times a month,Not at all,1-2 times a week,Not at all,Yes,No,increased a good deal
45375,1-2 times a week,1-2 times a month,1-2 times a week,Not at all,No,No,increased a good deal
25536,1-2 times a month,Three times a week or more,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a bit
32037,Not at all,Less than 1-2 times a month,Not at all,Not at all,Yes,No,increased a good deal
90476,1-2 times a week,1-2 times a week,1-2 times a week,1-2 times a month,Yes,No,increased a good deal
46558,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
24016,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
52277,Three times a week or more,Not at all,Not at all,Not at all,Yes,No,increased a good deal
93699,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, sometimes",increased a good deal
36875,Less than 1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Yes,"Yes, often",has decreased a bit
84011,1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Yes,"Yes, sometimes",increased a bit
90646,1-2 times a month,1-2 times a month,1-2 times a week,Not at all,Yes,No,increased a good deal
88008,1-2 times a month,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Yes,"Yes, often",increased a good deal
88967,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,No,No,increased a bit
46701,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Yes,No,increased a good deal
83566,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Yes,No,increased a good deal
21090,Less than 1-2 times a month,Not at all,Not at all,Not at all,No,No,has stayed about the same
69419,Not at all,Not at all,Not at all,Not at all,Yes,No,increased a good deal
87032,1-2 times a month,Not at all,Not at all,Not at all,No,No,increased a good deal
94641,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Yes,"Yes, sometimes",increased a good deal
82728,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,Yes,"Yes, often",has decreased a bit
45076,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Three times a week or more,Yes,No,increased a bit
