egoid,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6
44869,3.0,3.5555556,2.6666667,3.125,2.5555556
43516,3.0,3.7777777,3.5555556,2.625,3.3333333
89411,3.0,3.7777777,3.5555556,2.625,3.3333333
74285,3.0,3.7777777,3.5555556,2.625,3.3333333
56527,3.0,3.7777777,3.5555556,2.625,3.3333333
16819,3.0,3.7777777,3.5555556,2.625,3.3333333
34591,3.0,3.7777777,3.5555556,2.625,3.3333333
89972,3.0,3.7777777,3.5555556,2.625,3.3333333
92552,3.5,4.2222223,4.2222223,2.875,3.4444444
73158,3.5,4.2222223,4.2222223,1.875,3.3333333
45963,3.75,4.5555553,3.4444444,3.75,3.8888888
22138,3.625,3.2222223,3.5555556,3.125,3.7777777
90136,3.0,3.7777777,3.5555556,2.625,3.3333333
46744,3.0,3.7777777,3.5555556,2.625,3.3333333
77941,4.25,4.5555553,3.8888888,2.0,4.4444447
44873,3.75,4.0,4.0,2.125,2.8888888
36540,3.0,3.7777777,3.5555556,2.625,3.3333333
83005,3.375,3.4444444,3.5555556,3.375,3.4444444
31439,3.0,2.8888888,3.0,3.125,3.0
21899,2.0,3.8888888,3.5555556,2.625,2.7777777
29232,3.0,3.7777777,3.5555556,2.625,3.3333333
32249,3.0,3.7777777,3.5555556,2.625,3.3333333
45375,3.0,3.7777777,3.5555556,2.625,3.3333333
25536,3.0,3.7777777,3.5555556,2.625,3.3333333
32037,3.0,3.7777777,3.5555556,2.625,3.3333333
46558,2.25,3.7777777,3.2222223,2.875,3.2222223
24016,3.0,3.7777777,3.5555556,2.625,3.3333333
52277,3.0,3.7777777,3.5555556,2.625,3.3333333
93699,3.0,3.8888888,2.8888888,3.75,3.6666667
36875,3.25,4.5555553,4.7777777,3.0,3.3333333
84011,2.375,3.6666667,4.0,2.75,3.0
90646,4.875,4.7777777,4.0,3.75,4.4444447
88008,2.75,3.5555556,2.7777777,3.0,3.7777777
88967,3.0,3.7777777,3.5555556,2.625,3.3333333
46701,3.0,3.7777777,3.5555556,2.625,3.3333333
83566,2.25,3.8888888,3.5555556,3.5,2.5555556
21090,3.125,4.3333335,4.2222223,2.125,4.1111112
69419,3.0,3.7777777,3.5555556,2.625,3.3333333
87032,3.0,3.7777777,3.5555556,2.625,3.3333333
94641,2.625,3.8888888,4.0,2.75,4.4444447
82728,2.0,4.3333335,4.3333335,3.5,3.1111112
45076,3.0,3.1111112,4.3333335,2.5,3.3333333
58437,4.375,3.8888888,3.1111112,1.625,3.3333333
94862,3.0,3.7777777,3.5555556,2.625,3.3333333
14606,2.875,4.2222223,4.4444447,1.875,3.1111112
64075,3.875,4.2222223,3.5555556,2.625,4.2222223
39787,3.0,3.7777777,3.5555556,2.625,3.3333333
82376,3.0,3.7777777,3.5555556,2.625,3.3333333
44872,3.5,4.2222223,3.5555556,2.125,3.5555556
87783,3.0,3.7777777,3.5555556,2.625,3.3333333
47498,3.0,3.7777777,3.5555556,2.625,3.3333333
57325,3.75,3.4444444,4.5555553,4.25,4.2222223
53776,3.0,3.7777777,3.5555556,2.625,3.3333333
58633,3.0,3.7777777,3.5555556,2.625,3.3333333
27306,4.5,4.6666665,4.6666665,2.0,2.8888888
80607,3.0,3.7777777,3.5555556,2.625,3.3333333
73143,3.0,3.7777777,3.5555556,2.625,3.3333333
35797,3.0,3.7777777,3.5555556,2.625,3.3333333
46365,3.5,3.4444444,4.0,2.875,3.5555556
31045,3.0,3.7777777,3.5555556,2.625,3.3333333
74492,4.0,4.3333335,4.5555553,2.25,3.7777777
76791,3.0,3.7777777,3.5555556,2.625,3.3333333
21348,3.0,3.7777777,3.5555556,2.625,3.3333333
23287,3.0,3.7777777,3.5555556,2.625,3.3333333
14763,3.0,3.7777777,3.5555556,2.625,3.3333333
22066,3.0,3.7777777,3.5555556,2.625,3.3333333
28247,3.0,3.7777777,3.5555556,2.625,3.3333333
72873,3.0,3.7777777,3.5555556,2.625,3.3333333
67544,3.0,3.7777777,3.5555556,2.625,3.3333333
76810,3.0,3.7777777,3.5555556,2.625,3.3333333
51760,3.125,2.8888888,4.1111112,1.875,4.6666665
72806,4.375,3.8888888,3.7777777,2.375,3.1111112
98766,4.375,3.7777777,4.6666665,1.875,2.3333333
60997,2.5,2.0,2.6666667,2.75,1.8888888
36038,3.75,3.7777777,3.8888888,3.5,3.2222223
39146,1.375,3.3333333,3.0,2.75,3.4444444
60963,3.0,3.7777777,3.5555556,2.625,3.3333333
67918,2.125,3.5555556,3.8888888,2.25,3.8888888
34467,3.0,3.8888888,4.1111112,3.25,3.4444444
42132,3.0,3.7777777,3.5555556,2.625,3.3333333
32668,3.125,2.7777777,3.7777777,3.0,4.3333335
24079,2.875,3.2222223,2.5555556,2.75,3.4444444
59673,4.125,4.2222223,3.1111112,1.875,4.0
74899,4.25,4.1111112,3.3333333,3.875,2.7777777
48891,3.0,3.7777777,3.5555556,2.625,3.3333333
81807,4.0,4.5555553,4.2222223,2.25,4.3333335
77187,3.0,3.7777777,3.5555556,2.625,3.3333333
91176,2.5,3.7777777,2.4444444,3.25,2.8888888
35011,4.125,3.5555556,3.8888888,3.125,3.5555556
60903,3.0,3.7777777,3.5555556,2.625,3.3333333
35416,1.5,3.0,2.4444444,4.5,3.0
89710,3.5,3.7777777,3.5555556,2.625,3.2222223
97596,2.625,3.4444444,3.7777777,3.5,3.3333333
39129,3.0,3.7777777,3.5555556,2.625,3.3333333
57359,3.125,3.3333333,3.2222223,2.875,2.5555556
17308,3.0,3.5555556,3.6666667,2.875,3.3333333
51851,3.0,3.7777777,3.5555556,2.625,3.3333333
35855,3.0,3.7777777,3.5555556,2.625,3.3333333
67334,3.0,3.7777777,3.5555556,2.625,3.3333333
60230,3.0,3.7777777,3.5555556,2.625,3.3333333
77838,3.0,3.7777777,3.5555556,2.625,3.3333333
57292,3.0,3.7777777,3.5555556,2.625,3.3333333
66406,3.0,3.7777777,3.5555556,2.625,3.3333333
56798,3.0,3.7777777,3.5555556,2.625,3.3333333
23115,3.0,3.7777777,3.5555556,2.625,3.3333333
77872,3.75,4.1111112,3.8888888,2.625,3.8888888
43114,3.0,3.7777777,3.5555556,2.625,3.3333333
72348,2.0,3.7777777,3.8888888,3.0,3.5555556
45776,3.0,3.7777777,3.5555556,2.625,3.3333333
63122,3.0,3.7777777,3.5555556,2.625,3.3333333
27169,3.0,3.7777777,3.5555556,2.625,3.3333333
89607,3.0,3.0,3.0,3.0,3.0
59900,3.0,3.7777777,3.5555556,2.625,3.3333333
28254,3.0,3.7777777,3.5555556,2.625,3.3333333
56480,3.0,3.7777777,3.5555556,2.625,3.3333333
11128,3.0,3.7777777,3.5555556,2.625,3.3333333
47886,3.0,3.7777777,3.5555556,2.625,3.3333333
28820,2.0,2.7777777,2.6666667,3.375,3.1111112
35347,2.75,2.7777777,3.7777777,2.625,3.0
45641,2.875,2.8888888,3.3333333,3.875,3.4444444
64572,3.0,3.7777777,3.5555556,2.625,3.3333333
31538,3.0,3.7777777,3.5555556,2.625,3.3333333
73452,3.0,3.8888888,3.1111112,2.125,3.1111112
51475,3.0,3.7777777,3.5555556,2.625,3.3333333
28312,2.375,3.5555556,4.2222223,2.625,2.5555556
13486,3.5,3.2222223,3.2222223,3.5,4.1111112
56805,3.25,3.0,3.4444444,2.625,3.3333333
57697,3.0,3.7777777,3.5555556,2.625,3.3333333
54837,3.0,3.7777777,3.5555556,2.625,3.3333333
29718,3.0,3.7777777,3.5555556,2.625,3.3333333
26800,3.625,3.8888888,4.3333335,2.625,2.7777777
60493,1.25,3.7777777,3.6666667,3.125,2.5555556
52051,3.0,3.7777777,3.5555556,2.625,3.3333333
30972,3.0,3.7777777,3.5555556,2.625,3.3333333
47142,3.0,3.7777777,3.5555556,2.625,3.3333333
69217,3.0,3.7777777,3.5555556,2.625,3.3333333
69009,3.0,3.7777777,3.5555556,2.625,3.3333333
84390,4.375,4.5555553,3.3333333,2.625,3.7777777
74845,3.25,3.4444444,4.2222223,2.0,3.6666667
90905,3.0,3.7777777,3.5555556,2.625,3.3333333
39659,3.0,3.7777777,3.5555556,2.625,3.3333333
60396,3.125,3.2222223,4.4444447,3.25,2.8888888
61084,3.0,3.7777777,3.5555556,2.625,3.3333333
92412,2.875,4.5555553,4.7777777,2.5,3.6666667
92038,3.75,3.3333333,4.3333335,2.0,4.1111112
33388,3.0,3.7777777,3.5555556,2.625,3.3333333
31717,3.0,3.7777777,3.5555556,2.625,3.3333333
86440,2.0,3.4444444,3.7777777,2.625,2.4444444
95585,2.5,3.7777777,3.4444444,3.5,3.5555556
29792,3.0,3.7777777,3.5555556,2.625,3.3333333
14737,2.875,3.2222223,3.1111112,3.0,3.5555556
28223,2.875,3.7777777,3.3333333,1.625,3.4444444
55452,3.0,3.7777777,3.5555556,2.625,3.3333333
20179,4.125,4.1111112,3.8888888,2.0,3.7777777
23696,3.0,3.7777777,3.5555556,2.625,3.3333333
28653,4.0,4.5555553,4.0,3.5,3.2222223
84715,3.0,3.7777777,3.5555556,2.625,3.3333333
95559,2.875,3.4444444,4.3333335,1.875,3.1111112
30152,2.125,3.7777777,3.7777777,2.5,4.0
68764,3.0,3.7777777,3.5555556,2.625,3.3333333
60367,3.5,3.2222223,3.2222223,3.5,4.1111112
36939,3.0,3.7777777,3.5555556,2.625,3.3333333
59592,3.0,3.7777777,2.8888888,3.25,3.3333333
22897,3.0,3.4444444,3.5555556,2.875,3.5555556
89652,2.375,4.3333335,3.3333333,2.75,3.3333333
28724,3.25,4.0,4.4444447,4.0,3.1111112
92895,3.0,3.7777777,3.5555556,2.625,3.3333333
69831,3.25,3.7777777,3.3333333,2.875,3.5555556
59178,3.0,3.7777777,3.5555556,2.625,3.3333333
50072,2.875,3.7777777,3.1111112,3.75,3.5555556
44927,2.625,3.7777777,3.8888888,2.875,3.2222223
71894,2.75,3.3333333,2.0,3.75,3.3333333
76790,3.0,3.7777777,3.5555556,2.625,3.3333333
66676,2.0,4.3333335,3.0,2.875,3.2222223
95930,3.75,3.5555556,3.8888888,3.0,3.2222223
70962,3.375,3.8888888,2.5555556,2.5,3.1111112
12738,3.0,3.7777777,3.5555556,2.625,3.3333333
27111,3.0,3.7777777,3.5555556,2.625,3.3333333
30453,3.0,3.1111112,3.0,3.0,3.1111112
80177,3.0,3.7777777,3.5555556,2.625,3.3333333
18677,3.125,3.7777777,3.8888888,3.375,2.8888888
66047,3.0,3.7777777,3.5555556,2.625,3.3333333
58682,2.375,3.7777777,4.0,3.25,3.0
79834,2.375,3.0,4.1111112,2.625,4.0
93471,3.375,4.5555553,4.2222223,2.75,3.7777777
19538,3.0,3.7777777,3.5555556,2.625,3.3333333
38052,4.625,4.2222223,4.6666665,2.125,3.7777777
33133,3.0,3.7777777,3.5555556,2.625,3.3333333
40021,3.0,3.7777777,3.5555556,2.625,3.3333333
27141,3.0,3.7777777,3.5555556,2.625,3.3333333
93858,3.0,3.7777777,3.5555556,2.625,3.3333333
47810,4.0,3.8888888,3.4444444,2.125,3.3333333
58196,4.125,4.6666665,4.8888888,2.75,4.0
42773,3.0,3.7777777,3.5555556,2.625,3.3333333
76663,3.0,3.7777777,3.5555556,2.625,3.3333333
48224,3.25,3.0,2.5555556,4.0,3.8888888
30137,3.625,3.2222223,3.7777777,2.625,2.3333333
68318,4.625,3.6666667,4.1111112,2.625,3.8888888
62246,2.75,4.3333335,3.7777777,1.875,2.8888888
61028,3.25,4.5555553,3.7777777,3.0,2.7777777
55424,1.375,3.1111112,3.3333333,4.125,2.1111112
17581,3.0,3.7777777,3.5555556,2.625,3.3333333
23576,3.125,3.6666667,3.8888888,2.25,3.2222223
17522,3.0,3.7777777,3.5555556,2.625,3.3333333
97833,3.0,3.7777777,3.5555556,2.625,3.3333333
93485,4.375,4.5555553,4.3333335,1.875,4.1111112
62617,4.625,4.5555553,4.5555553,1.875,3.1111112
42137,2.875,3.8888888,3.6666667,2.5,3.7777777
37305,4.5,3.8888888,2.7777777,3.5,4.1111112
48013,3.0,3.7777777,3.5555556,2.625,3.3333333
44447,3.0,3.7777777,3.5555556,2.625,3.3333333
14571,3.0,3.7777777,3.5555556,2.625,3.3333333
69057,2.0,3.1111112,2.6666667,3.75,3.0
66629,3.0,3.7777777,3.5555556,2.625,3.3333333
83542,2.75,4.2222223,3.5555556,2.75,3.2222223
18222,2.75,3.0,3.3333333,2.125,3.3333333
39738,3.0,3.7777777,3.5555556,2.625,3.3333333
26858,2.875,3.0,4.3333335,5.0,3.6666667
93504,4.0,4.1111112,3.1111112,3.5,4.2222223
64232,4.125,4.3333335,3.6666667,3.25,3.2222223
37404,2.125,3.3333333,3.6666667,2.625,3.4444444
25961,3.0,3.7777777,3.5555556,2.625,3.3333333
87330,3.0,3.7777777,3.5555556,2.625,3.3333333
92028,3.0,3.7777777,3.5555556,2.625,3.3333333
82248,3.0,4.3333335,3.6666667,3.25,3.3333333
28824,3.0,3.7777777,3.5555556,2.625,3.3333333
11482,3.0,3.7777777,3.5555556,2.625,3.3333333
69936,2.0,2.7777777,2.3333333,3.625,2.7777777
37001,4.0,4.5555553,3.8888888,2.0,3.4444444
70492,4.0,4.4444447,3.4444444,2.875,3.1111112
95543,2.5,4.6666665,3.1111112,2.25,3.8888888
21380,3.75,4.0,4.2222223,2.375,2.6666667
67106,3.0,3.7777777,3.5555556,2.625,3.3333333
25495,3.0,3.7777777,3.5555556,2.625,3.3333333
26581,3.0,3.7777777,3.5555556,2.625,3.3333333
66642,2.375,3.7777777,2.8888888,3.0,4.0
83612,2.75,3.3333333,3.5555556,3.875,3.1111112
63954,3.0,3.7777777,3.5555556,2.625,3.3333333
20665,3.0,3.7777777,3.5555556,2.625,3.3333333
19122,1.875,3.4444444,3.0,3.125,4.0
99978,3.0,3.7777777,3.5555556,2.625,3.3333333
92566,4.875,4.3333335,4.5555553,1.875,4.8888888
39414,3.0,3.7777777,3.5555556,2.625,3.3333333
35987,3.0,3.0,3.0,3.0,3.0
66655,3.0,3.7777777,3.5555556,2.625,3.3333333
10547,3.0,3.7777777,3.5555556,2.625,3.3333333
46373,4.0,3.6666667,3.2222223,3.0,3.4444444
79341,2.625,3.5555556,3.7777777,2.5,3.1111112
19591,3.625,3.2222223,3.3333333,3.125,3.0
83536,3.0,3.7777777,3.5555556,2.625,3.3333333
66682,3.0,3.7777777,3.5555556,2.625,3.3333333
88337,3.0,3.7777777,3.5555556,2.625,3.3333333
67608,3.0,4.3333335,4.1111112,2.25,3.5555556
19735,3.0,3.7777777,3.5555556,2.625,3.3333333
42513,3.0,3.7777777,3.5555556,2.625,3.3333333
51952,3.0,3.7777777,3.5555556,2.625,3.3333333
46266,3.0,3.7777777,3.5555556,2.625,3.3333333
