egoid,hs_1,hssex_1,hsgrade_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1,major1rc_2,major2rc_2,degreeintent_2,majorevent_2,major1rc_3,major2rc_3,degreeintent_3,majorevent_3,major1rc_4,major2rc_4,majorevent_4,major1rc_5,major2rc_5,degreeintent_5,majorevent_5,major1rc_6,major2rc_6,degreeintent_6,majorevent_6,majorevent_7,major1rc_8,major2rc_8,degreeintent_8,majorevent_8
44869,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,507.0,,63900.0,17300.0,45100.0,42200.0,,Yes,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,101.0,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,no,,,,
43516,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,3-4,"M.D., D.O., D.D.S., or D.V.M.",503.0,,12900.0,43900.0,42900.0,45200.0,,Yes,no,510.0,135.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,,,,,
89411,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,5 or more,,,,21300.0,21100.0,45100.0,45200.0,25200.0,No,,117.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,117.0,,"Master's Degree (M.A., M.S., MBA, etc.)",,,,,,,,,,
74285,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,45100.0,43100.0,43100.0,43500.0,43200.0,Yes,,110.0,128.0,J.D. (Law),no,110.0,128.0,J.D. (Law),no,,,,,,,,,,,,,,,,
56527,Private religious/parochial school,A mixture of boys and girls,A-,A-,5 or more,5 or more,,,,43100.0,41200.0,21100.0,21900.0,43100.0,No,,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,
16819,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,Ph.D or Ed.D.,506.0,125.0,45200.0,45100.0,45100.0,42200.0,45100.0,No,no,506.0,510.0,Ph.D or Ed.D.,yes,,,,,,,,,,,,,,,,,,,,
34591,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,21100.0,21100.0,21200.0,13200.0,44900.0,Yes,,109.0,128.0,J.D. (Law),no,,,,,109.0,128.0,no,117.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,
89972,Private religious/parochial school,A mixture of boys and girls,A-,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,,13200.0,16900.0,13200.0,12200.0,45100.0,Yes,yes,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,,,,,,,,,,,,,,,,
92552,Private religious/parochial school,Same sex- male,A or A+,A or A+,5 or more,3-4,Ph.D or Ed.D.,302.0,,13200.0,16900.0,13200.0,43100.0,43100.0,Yes,no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no,305.0,,no,305.0,,"Bachelor's degree (B.A., B.S., etc.)",yes,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes,yes,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
73158,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",306.0,,13200.0,13200.0,45100.0,41200.0,43500.0,Yes,no,306.0,,"Bachelor's degree (B.A., B.S., etc.)",no,306.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,306.0,,no,306.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no,306.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,306.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
45963,Public school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",503.0,,21300.0,43900.0,45100.0,11300.0,,Yes,no,503.0,507.0,"M.D., D.O., D.D.S., or D.V.M.",yes,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",yes,no,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
22138,Private religious/parochial school,A mixture of boys and girls,A-,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,110.0,21200.0,21100.0,45100.0,41200.0,43400.0,No,no,507.0,110.0,Ph.D or Ed.D.,no,507.0,110.0,Ph.D or Ed.D.,no,507.0,110.0,no,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no,no,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no
90136,Private religious/parochial school,Same sex- male,A-,A-,5 or more,5 or more,Ph.D or Ed.D.,302.0,309.0,11300.0,11100.0,12100.0,63900.0,45100.0,Yes,no,,,,,,,,,,,,,,,,,,,,,,,,
46744,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",504.0,506.0,11300.0,13200.0,45100.0,45100.0,45100.0,No,no,504.0,506.0,"Bachelor's degree (B.A., B.S., etc.)",no,,,,,,,,,,,,,,,,,,,,
77941,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,21200.0,21100.0,41200.0,46100.0,34200.0,No,,507.0,503.0,"M.D., D.O., D.D.S., or D.V.M.",yes,302.0,510.0,"Master's Degree (M.A., M.S., MBA, etc.)",no,302.0,,no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no,no,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
44873,Private religious/parochial school,A mixture of boys and girls,A or A+,A or A+,5 or more,0,,,,13200.0,16900.0,13200.0,13200.0,41100.0,No,,401.0,403.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,403.0,401.0,"Master's Degree (M.A., M.S., MBA, etc.)",yes,,,no,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no,yes,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36540,Private independent college-prep school,A mixture of boys and girls,A or A+,A or A+,Not offered at my high school,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",301.0,508.0,13200.0,45100.0,13200.0,45100.0,59200.0,No,no,301.0,,Ph.D or Ed.D.,no,,,,,,,,,,,,,,,,,,,,
14527,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,13200.0,45200.0,25200.0,45200.0,45100.0,Yes,,510.0,109.0,"M.D., D.O., D.D.S., or D.V.M.",no,,,,,,,,,,,,,,,,,,,,
83005,Public school,A mixture of boys and girls,A or A+,A or A+,5 or more,5 or more,,,,25200.0,13200.0,13200.0,69300.0,45100.0,Yes,,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no,131.0,,no,131.0,,"Bachelor's degree (B.A., B.S., etc.)",no,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no,no,113.0,131.0,"Bachelor's degree (B.A., B.S., etc.)",no
