egoid,parentND_1,grandparentND_1,siblingND_1,uncleND_1,cousinND_1,otherrelativeND_1,momdec_1,momusa_1,daddec_1,dadusa_1,madaddec_1,madadusa_1,mamomdec_1,mamomusa_1,padaddec_1,padadusa_1,pamomdec_1,pamomusa_1,parentstatus_1,dadage_1,momage_1,yrdadborn_1,yrdaddec_1,yrmomborn_1,yrmomdec_1,numbros_1,numsis_1,numsib_1,adopted_1,birthorder_1,parentincome_1,momeduc_1,dadeduc_1,parenteduc_1,momrace_AmInd_1,momrace_Asian_1,momrace_Black_1,momrace_Latino_1,momrace_Haw_1,momrace_White_1,dadrace_AmInd_1,dadrace_Asian_1,dadrace_Black_1,dadrace_Latino_1,dadrace_Haw_1,dadrace_White_1,dad_multiracial_1,mom_multiracial_1,momrace_1,dadrace_1,parentrace_1,momrelig_1,dadrelig_1,yourelig_1,yourelig_7,yourelig_8
44869,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Living together,54.0,53.0,,,,,2.0,1.0,3.0,No,fourth born,"less than $25,000",Postsecondary school  or some college,Graduate or professional degree,1 parent no college,,,1.0,,,,,,1.0,,,,1.0,1.0,Black,Black,Both parents same race,Protestant,Protestant,Protestant,Protestant,
43516,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,Living together,50.0,46.0,,,,,0.0,1.0,1.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,1.0,,,,,1.0,,,1.0,2.0,1.0,Latino,multiracial,1 or both parents multi-racial,Catholic,No Religion,Catholic,,
89411,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,Living together,51.0,55.0,,,,,0.0,0.0,0.0,No,only child,"$250,000 or more",College/Univeristy degree,College/Univeristy degree,both parent college,,1.0,,,,,,,,1.0,,1.0,2.0,1.0,Asian-American,multiracial,1 or both parents multi-racial,Catholic,Catholic,Catholic,,
74285,,,,,,,,,,,,,,,,,,,Divorced or living apart,43.0,43.0,,,,,0.0,1.0,1.0,No,first born,"$50,000 - $74,999",High school graduate,High school graduate,Both no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
56527,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,Living together,46.0,44.0,,,,,0.0,2.0,2.0,No,first born,"$200,000 - $249,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,
16819,,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,Divorced or living apart,51.0,50.0,,,,,0.0,1.0,1.0,No,second born,"$50,000 - $74,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,1.0,,,1.0,1.0,White,Latino,Parents different race,Catholic,Catholic,No Religion,,
34591,,,,,,,,,,,1.0,,1.0,,1.0,,,,Living together,51.0,49.0,,,,,1.0,0.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Protestant,Protestant,Protestant,,
89972,,,,,1.0,,,,,,1.0,,,,1.0,,,,Living together,57.0,48.0,,,,,2.0,0.0,2.0,No,second born,"$200,000 - $249,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,No Religion,,
92552,,,1.0,,,,,,,,1.0,,,,,,1.0,,Living together,56.0,50.0,,,,,1.0,2.0,3.0,No,second born,"$100,000 - $149,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
73158,,,,1.0,,,,,,,1.0,,,,1.0,,1.0,,Living together,51.0,51.0,,,,,1.0,2.0,3.0,No,fourth born,"$75,000 - $99,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
45963,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,Living together,60.0,48.0,,,,,0.0,1.0,1.0,No,second born,"$75,000 - $99,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Other Religion,Catholic,Catholic,Catholic,Catholic
22138,,,,,,,,,,,,,1.0,,,,,,Living together,48.0,48.0,,,,,1.0,1.0,2.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,Catholic,No Religion
90136,1.0,,,1.0,,,,,,,,,,,1.0,,,,Living together,47.0,46.0,,,,,2.0,1.0,3.0,No,first born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
46744,,,,1.0,,,,,,,,,,,1.0,,1.0,,Living together,53.0,52.0,,,,,1.0,1.0,2.0,No,third born,"$150,000 - $199,999",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
77941,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,Living together,62.0,60.0,,,,,0.0,3.0,3.0,No,fourth born,"less than $25,000",Did not graduate from high school,College/Univeristy degree,1 parent no college,,1.0,,,,,,1.0,,,,,1.0,1.0,Asian-American,Asian-American,Both parents same race,Catholic,Catholic,Catholic,Catholic,Catholic
44873,,,1.0,,,,,,,,,,,,,,,,Divorced or living apart,59.0,49.0,,,,,3.0,3.0,6.0,No,third born,"$50,000 - $74,999",College/Univeristy degree,Postsecondary school  or some college,1 parent no college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Protestant,Catholic,Catholic,Catholic
36540,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,Divorced or living apart,45.0,41.0,,,,,2.0,1.0,3.0,No,second born,"$100,000 - $149,999",College/Univeristy degree,Graduate or professional degree,both parent college,,,,1.0,,,,,,1.0,,,1.0,1.0,Latino,Latino,Both parents same race,Catholic,Catholic,Catholic,,
14527,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,Living together,48.0,60.0,,,,,0.0,1.0,1.0,No,first born,"$250,000 or more",Graduate or professional degree,College/Univeristy degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,No Religion,Catholic,,
83005,1.0,,,,,,,,,,,,,,,,,,Living together,52.0,51.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Other Religion,Other Religion,No Religion,No Religion,Protestant
31439,,,,,,,,,,,,,,,1.0,,,,Living together,53.0,49.0,,,,,0.0,1.0,1.0,No,second born,"$250,000 or more",Graduate or professional degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Other Religion,,Catholic,
21899,,,,,,,,,,,,,,,1.0,,,,Divorced or living apart,59.0,52.0,,,,,3.0,0.0,3.0,No,third born,"$250,000 or more",College/Univeristy degree,Graduate or professional degree,both parent college,,,,,,1.0,,,,,,1.0,1.0,1.0,White,White,Both parents same race,Catholic,Catholic,Catholic,,
