egoid,Extraversion_1,Agreeableness_1,Conscientiousness_1,Neuroticism_1,Openness_1,Extraversion_2,Agreeableness_2,Conscientiousness_2,Neuroticism_2,Openness_2,Extraversion_6,Agreeableness_6,Conscientiousness_6,Neuroticism_6,Openness_6,Extraversion_8,Agreeableness_8,Conscientiousness_8,Neuroticism_8,Openness_8
44869,3.75,4.0,3.4444444,3.375,2.5999999,3.75,3.5555556,3.4444444,3.25,3.0,3.0,3.5555556,2.6666667,3.125,2.5555556,,,,,
43516,3.875,3.0,3.5555556,3.75,3.0,4.25,2.6666667,2.8888888,4.0,3.5555556,,,,,,,,,,
89411,4.5,5.0,4.0,2.5,4.3000002,,,,,,,,,,,,,,,
74285,2.875,3.0,3.6666667,3.125,3.2,,,,,,,,,,,,,,,
56527,3.5,3.5555556,3.2222223,3.875,3.3,,,,,,,,,,,,,,,
16819,4.0,2.8888888,3.8888888,3.25,3.8,3.625,3.3333333,4.4444447,3.25,4.5555553,,,,,,,,,,
34591,3.625,3.5555556,3.3333333,4.125,2.9000001,,,,,,,,,,,,,,,
89972,3.125,3.8888888,3.7777777,2.5,3.5999999,3.75,3.1111112,3.4444444,3.0,3.7777777,,,,,,,,,,
92552,4.25,4.5555553,4.2222223,3.0,3.5,3.875,4.1111112,4.4444447,2.75,3.5555556,3.5,4.2222223,4.2222223,2.875,3.4444444,3.5,4.0,3.8888888,2.25,3.8888888
73158,3.625,3.5555556,4.1111112,1.875,3.0,3.625,3.5555556,4.0,2.375,3.3333333,3.5,4.2222223,4.2222223,1.875,3.3333333,3.25,3.4444444,3.4444444,2.625,3.3333333
45963,3.75,3.1111112,3.5555556,4.0,2.7,3.625,3.8888888,3.4444444,4.625,3.1111112,3.75,4.5555553,3.4444444,3.75,3.8888888,4.0,4.0,3.7777777,3.75,4.3333335
22138,4.375,3.8888888,3.8888888,2.5,3.9000001,4.125,3.7777777,4.0,3.0,4.3333335,3.625,3.2222223,3.5555556,3.125,3.7777777,4.25,3.8888888,4.2222223,2.625,4.5555553
90136,3.625,3.4444444,3.5555556,2.375,2.5,,,,,,,,,,,,,,,
46744,2.375,4.1111112,3.5555556,3.625,3.0,3.0,3.8888888,3.2222223,3.5,3.1111112,,,,,,,,,,
77941,4.75,4.5555553,3.4444444,2.625,4.0,,,,,,4.25,4.5555553,3.8888888,2.0,4.4444447,4.75,4.0,3.4444444,1.875,4.7777777
44873,3.25,3.3333333,4.1111112,2.0,2.5999999,,,,,,3.75,4.0,4.0,2.125,2.8888888,3.125,3.4444444,3.7777777,2.25,2.5555556
36540,3.5,4.4444447,3.6666667,1.5,3.5999999,3.25,4.2222223,3.4444444,1.75,3.6666667,,,,,,,,,,
14527,4.875,3.7777777,4.6666665,2.875,3.2,,,,,,,,,,,,,,,
83005,3.375,3.6666667,3.1111112,3.75,3.3,,,,,,3.375,3.4444444,3.5555556,3.375,3.4444444,3.25,3.7777777,3.4444444,3.25,3.2222223
31439,4.0,3.8888888,2.3333333,2.875,2.8,3.5,3.4444444,2.2222223,3.75,3.4444444,3.0,2.8888888,3.0,3.125,3.0,,,,,
21899,2.25,3.4444444,3.5555556,2.75,2.8,,,,,,2.0,3.8888888,3.5555556,2.625,2.7777777,,,,,
29232,4.5,4.0,4.5555553,2.875,2.8,4.625,3.7777777,4.4444447,3.0,3.2222223,,,,,,,,,,
32249,3.125,3.6666667,3.7777777,2.125,3.0,,,,,,,,,,,,,,,
45375,3.5,3.3333333,2.6666667,2.375,3.2,3.625,3.2222223,1.8888888,2.625,4.0,,,,,,,,,,
25536,3.0,3.7777777,3.6666667,3.0,3.4000001,2.875,3.5555556,3.3333333,3.5,3.4444444,,,,,,,,,,
32037,3.625,4.0,4.6666665,2.25,2.5,3.875,4.5555553,4.0,1.875,3.6666667,,,,,,,,,,
90476,2.75,3.3333333,2.5555556,3.5,3.4000001,,,,,,,,,,,,,,,
46558,2.25,4.5555553,3.0,2.5,2.8,2.125,3.6666667,2.6666667,2.125,2.8888888,2.25,3.7777777,3.2222223,2.875,3.2222223,,,,,
24016,3.0,3.5555556,3.1111112,3.25,3.4000001,,,,,,,,,,,,,,,
52277,3.0,3.5555556,3.8888888,3.0,4.0,2.625,3.3333333,3.4444444,3.375,3.8888888,,,,,,,,,,
93699,3.375,3.5555556,2.4444444,3.25,3.2,2.625,3.4444444,2.7777777,3.625,3.7777777,3.0,3.8888888,2.8888888,3.75,3.6666667,3.25,3.6666667,2.7777777,3.25,3.8888888
36875,3.75,4.1111112,4.1111112,3.375,2.8,,,,,,3.25,4.5555553,4.7777777,3.0,3.3333333,3.375,4.4444447,4.7777777,3.25,3.2222223
84011,2.25,3.6666667,4.0,3.5,2.7,2.375,3.4444444,4.0,3.25,2.8888888,2.375,3.6666667,4.0,2.75,3.0,2.25,3.6666667,3.7777777,3.0,3.5555556
90646,4.875,4.6666665,4.1111112,4.125,3.9000001,,,,,,4.875,4.7777777,4.0,3.75,4.4444447,,,,,
88008,3.625,4.2222223,3.2222223,2.25,3.0,3.875,3.5555556,3.1111112,1.875,4.2222223,2.75,3.5555556,2.7777777,3.0,3.7777777,,,,,
