egoid,usetobacco_5,usebeer_5,usewine_5,usedrugs_5,usedrugs_prescr_5,usecaffine_5,useBed_5,useBedCharge_5
44869,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Frequently,Always
89411,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,,
34591,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,Frequently,Frequently
92552,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week,Occasionally,Frequently
73158,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Frequently,Always
45963,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Occasionally,Frequently
22138,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,Never,
77941,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Always
44873,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Less than 1-2 times a month,Occasionally,Occasionally
83005,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Frequently
31439,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all,Frequently,Frequently
21899,1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a month,Always,Frequently
32249,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more,Always,Always
45375,1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a month,Always,Frequently
25536,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a week,,
32037,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more,Frequently,Frequently
46558,Not at all,1-2 times a month,Not at all,Not at all,Not at all,Not at all,Occasionally,Frequently
93699,Not at all,Less than 1-2 times a month,Not at all,Not at all,Not at all,Three times a week or more,Frequently,Frequently
36875,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more,Frequently,Occasionally
