egoid,hs_1,hssex_1,hsgrade_1,apcourses_1,apexams_1,degreeintent_1,major1rc_1,major2rc_1,hrswork_1,hsclub1rc_1,hsclub2rc_1,hsclub3rc_1,hsclub4rc_1,hsclub5rc_1,ndfirst_1,majorevent_1
44869,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,507.0,,0-4,63900.0,17300.0,45100.0,42200.0,,Yes,no
43516,Public school,A mixture of boys and girls,A or A+,5 or more,3-4,"M.D., D.O., D.D.S., or D.V.M.",503.0,,None,12900.0,43900.0,42900.0,45200.0,,Yes,no
89411,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,5 or more,,,,,21300.0,21100.0,45100.0,45200.0,25200.0,No,
74285,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,45100.0,43100.0,43100.0,43500.0,43200.0,Yes,
56527,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,,,,,43100.0,41200.0,21100.0,21900.0,43100.0,No,
16819,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,Ph.D or Ed.D.,506.0,125.0,None,45200.0,45100.0,45100.0,42200.0,45100.0,No,no
34591,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21100.0,21100.0,21200.0,13200.0,44900.0,Yes,
89972,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",309.0,,None,13200.0,16900.0,13200.0,12200.0,45100.0,Yes,yes
92552,Private religious/parochial school,Same sex- male,A or A+,5 or more,3-4,Ph.D or Ed.D.,302.0,,16-20,13200.0,16900.0,13200.0,43100.0,43100.0,Yes,no
73158,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Bachelor's degree (B.A., B.S., etc.)",306.0,,None,13200.0,13200.0,45100.0,41200.0,43500.0,Yes,no
45963,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",503.0,,5-10,21300.0,43900.0,45100.0,11300.0,,Yes,no
22138,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,5 or more,"M.D., D.O., D.D.S., or D.V.M.",507.0,110.0,16-20,21200.0,21100.0,45100.0,41200.0,43400.0,No,no
90136,Private religious/parochial school,Same sex- male,A-,5 or more,5 or more,Ph.D or Ed.D.,302.0,309.0,0-4,11300.0,11100.0,12100.0,63900.0,45100.0,Yes,no
46744,Public school,A mixture of boys and girls,A or A+,5 or more,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",504.0,506.0,11-15,11300.0,13200.0,45100.0,45100.0,45100.0,No,no
77941,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,5 or more,,,,,21200.0,21100.0,41200.0,46100.0,34200.0,No,
44873,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,0,,,,,13200.0,16900.0,13200.0,13200.0,41100.0,No,
