egoid,major1rc_4,major2rc_4,majorevent_4
44869,507.0,,no
43516,,,
89411,,,
74285,,,
56527,,,
16819,,,
34591,109.0,128.0,no
89972,,,
92552,305.0,,no
73158,306.0,,no
45963,503.0,,no
22138,507.0,110.0,no
90136,,,
46744,,,
77941,302.0,,no
44873,,,no
36540,,,
14527,,,
83005,131.0,,no
31439,501.0,,no
21899,,,
29232,,,
32249,403.0,404.0,no
45375,,,
25536,,,
32037,,,
90476,,,
46558,301.0,,no
24016,128.0,109.0,no
52277,,,
93699,401.0,,no
36875,406.0,,no
84011,503.0,,no
90646,309.0,,yes
88008,303.0,,no
88967,,,
46701,,,
83566,134.0,,no
21090,305.0,,no
69419,,,
87032,200.0,,yes
94641,305.0,125.0,no
82728,510.0,104.0,no
45076,403.0,131.0,no
58437,309.0,,no
94862,403.0,506.0,no
14606,304.0,,no
64075,404.0,,no
39787,307.0,,no
82376,,,
44872,507.0,135.0,no
87783,404.0,125.0,no
22199,,,
47498,,,
57325,503.0,123.0,no
53776,,,
58633,309.0,,yes
27306,507.0,,no
80607,,,
73143,,,
35797,,,
46365,511.0,,no
30596,,,
31045,,,
74492,511.0,514.0,yes
76791,103.0,,no
21348,,,
23287,,,no
14763,,,
22066,,,
64058,,,
28247,200.0,,no
72873,,,
67544,,,
76810,,,
51760,306.0,,no
72806,109.0,,no
98766,403.0,112.0,no
23042,,,
60997,309.0,,no
36038,110.0,129.0,no
39146,503.0,,no
60963,304.0,,no
67918,303.0,,no
34467,507.0,,no
42132,,,
41268,,,
90692,102.0,109.0,no
32668,130.0,109.0,no
24079,,,
59673,303.0,,no
74899,509.0,,no
48891,,,
81807,,,
77187,,,
91176,,,
22292,,,
35011,406.0,128.0,no
76785,,,
60903,,,
10115,,,
35416,309.0,,yes
89710,132.0,128.0,no
97596,405.0,100.0,yes
39129,,,no
57359,503.0,,no
17308,503.0,,no
51851,403.0,,no
35855,,,
67334,,,
60230,,,
77838,403.0,,no
37371,,,
57292,,,
66406,,,
90447,,,
56798,128.0,,no
28827,,,
23115,,,
77872,304.0,,no
43114,302.0,,no
72348,507.0,,no
15707,,,
45776,,,
63122,,,
27169,,,
89607,305.0,,no
59900,511.0,,yes
28254,309.0,106.0,no
56480,309.0,,yes
11128,,,
47886,,,
28820,309.0,,no
35347,403.0,109.0,no
45641,302.0,507.0,no
25369,,,
64572,306.0,,no
31538,503.0,,no
73452,302.0,129.0,no
51475,129.0,134.0,no
28312,403.0,501.0,no
13486,405.0,403.0,no
56805,303.0,,no
57697,,,
54837,,,
29718,131.0,,no
26800,401.0,501.0,no
60493,507.0,,no
52051,,,
30972,,,
47142,128.0,117.0,no
69217,309.0,,no
69009,,,
84390,,,
74845,403.0,,no
90905,,,
39659,,,
62072,,,
60396,403.0,128.0,no
61084,305.0,,no
92412,117.0,506.0,no
92038,,,no
33388,401.0,405.0,no
31717,,,
18324,,,
86440,403.0,128.0,no
95585,,,
29792,508.0,501.0,no
14737,401.0,515.0,no
28223,502.0,,no
85708,,,
55452,,,
20179,,,
78339,,,
23696,,,
28653,405.0,,yes
84715,,,
95559,301.0,,no
30152,507.0,,no
68764,,,
60367,,,
36939,,,no
59592,503.0,,no
22897,309.0,,no
89652,510.0,137.0,no
