egoid,major1rc_6,major2rc_6,degreeintent_6,majorevent_6
44869,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
43516,,,,
89411,,,,
74285,,,,
56527,,,,
16819,,,,
34591,,,,
89972,,,,
92552,305.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
73158,306.0,,"Bachelor's degree (B.A., B.S., etc.)",no
45963,503.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
22138,507.0,110.0,"M.D., D.O., D.D.S., or D.V.M.",no
90136,,,,
46744,,,,
77941,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
44873,401.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36540,,,,
14527,,,,
83005,131.0,113.0,"Bachelor's degree (B.A., B.S., etc.)",no
31439,501.0,,"Bachelor's degree (B.A., B.S., etc.)",no
21899,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
29232,,,,
32249,,,,
45375,,,,
25536,,,,
32037,,,,
90476,,,,
46558,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no
24016,,,,
52277,,,,
93699,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
36875,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no
84011,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
90646,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
88008,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
88967,,,,
46701,,,,
83566,134.0,,Ph.D or Ed.D.,no
21090,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
69419,,,,
87032,,,,
94641,305.0,,Ph.D or Ed.D.,no
82728,510.0,104.0,"M.D., D.O., D.D.S., or D.V.M.",no
45076,405.0,,"Bachelor's degree (B.A., B.S., etc.)",no
58437,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
94862,,,,
14606,304.0,,"M.D., D.O., D.D.S., or D.V.M.",no
64075,402.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
39787,,,,
82376,,,,
44872,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
87783,,,,
22199,,,,
47498,,,,
57325,503.0,123.0,Other,yes
53776,,,"Bachelor's degree (B.A., B.S., etc.)",no
58633,,,,
27306,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
80607,,,,
73143,,,,
35797,,,,
46365,511.0,,"M.D., D.O., D.D.S., or D.V.M.",yes
30596,,,,
31045,,,,
74492,511.0,514.0,"Bachelor's degree (B.A., B.S., etc.)",no
76791,,,,
21348,,,,
23287,,,,
14763,,,,
22066,,,,
64058,,,,
28247,,,,
72873,,,,
67544,,,,
76810,,,,
51760,306.0,,Ph.D or Ed.D.,no
72806,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no
98766,403.0,112.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
23042,,,,
60997,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36038,110.0,129.0,"M.D., D.O., D.D.S., or D.V.M.",yes
39146,503.0,,Ph.D or Ed.D.,no
60963,,,,
67918,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
34467,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
42132,,,,
41268,,,,
90692,,,,
32668,109.0,130.0,J.D. (Law),no
24079,302.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
59673,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
74899,509.0,,Ph.D or Ed.D.,yes
48891,,,,
81807,302.0,,Ph.D or Ed.D.,no
77187,,,,
91176,508.0,506.0,Ph.D or Ed.D.,no
22292,,,,
35011,402.0,128.0,J.D. (Law),yes
76785,,,,
60903,,,,
10115,,,,
35416,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
89710,128.0,132.0,"Bachelor's degree (B.A., B.S., etc.)",no
97596,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
39129,,,,
57359,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
17308,503.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no
51851,,,,
35855,,,,
67334,,,,
60230,,,,
77838,,,,
37371,,,,
57292,,,,
66406,,,,
90447,,,,
56798,,,,
28827,,,,
23115,,,,
77872,304.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
43114,,,,
72348,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
15707,,,,
45776,,,,
63122,,,,
27169,,,,
89607,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
59900,,,,
28254,,,,
56480,,,,
11128,,,,
47886,,,,
28820,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
35347,403.0,109.0,J.D. (Law),yes
45641,302.0,507.0,"Bachelor's degree (B.A., B.S., etc.)",no
25369,,,,
64572,,,,
31538,,,,
73452,302.0,510.0,"M.D., D.O., D.D.S., or D.V.M.",no
51475,,,,
28312,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
13486,405.0,,"Bachelor's degree (B.A., B.S., etc.)",no
56805,303.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
57697,,,,
54837,,,,
29718,,,,
26800,401.0,501.0,"Bachelor's degree (B.A., B.S., etc.)",no
60493,507.0,,Ph.D or Ed.D.,no
52051,,,,
30972,,,,
47142,,,,
69217,,,,
69009,,,,
84390,402.0,104.0,"Bachelor's degree (B.A., B.S., etc.)",yes
74845,403.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
90905,,,,
39659,,,,
62072,,,,
60396,403.0,128.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
61084,,,,
92412,109.0,506.0,Ph.D or Ed.D.,no
92038,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
33388,,,,
31717,,,,
18324,,,,
86440,401.0,128.0,J.D. (Law),no
95585,109.0,,"Bachelor's degree (B.A., B.S., etc.)",no
29792,,,,
14737,403.0,,"Bachelor's degree (B.A., B.S., etc.)",no
28223,502.0,,"M.D., D.O., D.D.S., or D.V.M.",no
85708,,,,
55452,,,,
20179,308.0,,Ph.D or Ed.D.,no
78339,,,,
23696,,,,
28653,402.0,,"Bachelor's degree (B.A., B.S., etc.)",no
84715,,,,
95559,301.0,,"Bachelor's degree (B.A., B.S., etc.)",no
30152,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
68764,,,,
60367,402.0,,"Bachelor's degree (B.A., B.S., etc.)",no
36939,,,,
59592,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
22897,309.0,,"Bachelor's degree (B.A., B.S., etc.)",no
89652,510.0,137.0,"M.D., D.O., D.D.S., or D.V.M.",yes
28724,507.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
92895,,,,
69831,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
59178,,,,
50072,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
44927,502.0,131.0,"M.D., D.O., D.D.S., or D.V.M.",no
71894,305.0,,"Bachelor's degree (B.A., B.S., etc.)",no
76790,,,,
78428,,,,
66676,502.0,,Ph.D or Ed.D.,no
95930,401.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
70962,503.0,,"M.D., D.O., D.D.S., or D.V.M.",no
12738,,,,
29647,,,,
27111,,,,
30453,401.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
58219,,,,
28377,,,,
80177,,,,
18677,404.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
66047,,,,
58682,406.0,,"Bachelor's degree (B.A., B.S., etc.)",no
81199,,,,
85679,,,,
79834,507.0,,Ph.D or Ed.D.,yes
93471,510.0,,Other,no
19538,,,,
14595,,,,
38052,508.0,,Ph.D or Ed.D.,yes
33133,,,,
40021,,,,
27141,,,,
93858,,,,
47810,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",yes
58196,405.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
42773,,,,
72152,,,,
76663,,,,
48224,306.0,111.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
30137,403.0,128.0,"Bachelor's degree (B.A., B.S., etc.)",no
68318,507.0,,"M.D., D.O., D.D.S., or D.V.M.",no
62246,309.0,,"Master's Degree (M.A., M.S., MBA, etc.)",no
69496,,,,
61028,302.0,,"Bachelor's degree (B.A., B.S., etc.)",no
55424,401.0,109.0,"Master's Degree (M.A., M.S., MBA, etc.)",no
17581,,,,
23576,403.0,109.0,"Bachelor's degree (B.A., B.S., etc.)",no
57842,,,,
17522,,,,
55685,,,,
74079,,,,
97833,,,,
11992,,,,
93485,403.0,135.0,"Bachelor's degree (B.A., B.S., etc.)",no
34402,,,,
