egoid,SelfEsteem_1_1,SelfEsteem_2_1,SelfEsteem_3_1,SelfEsteem_4_1,SelfEsteem_5_1,SelfEsteem_6_1,SelfEsteem_7_1,SelfEsteem_8_1,SelfEsteem_9_1,SelfEsteem_10_1,SelfEsteem_1,Trust_1_1,Trust_2_1,Trust_3_1,Trust_4_1,Trust_5_1,Trust_6_1,Trust_1,SelfReg_Exercise_1_1,SelfReg_Exercise_2_1,SelfReg_Exercise_3_1,SelfReg_Exercise_4_1,SelfReg_Exercise_5_1,SelfReg_Exercise_6_1,SelfReg_Exercise_7_1,SelfReg_Exercise_8_1,SelfReg_Exercise_9_1,SelfReg_Exercise_10_1,SelfReg_Exercise_11_1,SelfReg_Exercise_12_1,SelfReg_Exercise_13_1,SelfReg_Exercise_14_1,SelfReg_Exercise_15_1,SelfReg_Exercise_16_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,SRQE_RAI_1,lonely_1_1,lonely_2_1,lonely_3_1,lonely_4_1,lonely_5_1,lonely_6_1,lonely_7_1,lonely_8_1,lonely_9_1,lonely_10_1,lonely_11_1,lonely_12_1,lonely_13_1,lonely_14_1,lonely_15_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_1_1,SelfEff_exercise_2_1,SelfEff_exercise_3_1,SelfEff_exercise_4_1,SelfEff_exercise_5_1,SelfEff_exercise_6_1,SelfEff_exercise_7_1,SelfEff_exercise_8_1,SelfEff_exercise_9_1,SelfEff_exercise_10_1,SelfEff_exercise_11_1,SelfEff_exercise_12_1,SelfEff_exercise_13_1,SelfEff_exercise_14_1,SelfEff_exercise_15_1,SelfEff_exercise_16_1,SelfEff_exercise_17_1,SelfEff_exercise_18_1,SelfEff_exercise_scale_1,SelfEff_diet_1_1,SelfEff_diet_2_1,SelfEff_diet_3_1,SelfEff_diet_4_1,SelfEff_diet_5_1,SelfEff_diet_6_1,SelfEff_diet_7_1,SelfEff_diet_8_1,SelfEff_diet_9_1,SelfEff_diet_10_1,SelfEff_diet_11_1,SelfEff_diet_12_1,SelfEff_diet_13_1,SelfEff_diet_14_1,SelfEff_diet_15_1,SelfEff_diet_16_1,SelfEff_diet_17_1,SelfEff_diet_18_1,SelfEff_diet_19_1,SelfEff_diet_20_1,SelfEff_diet_21_1,SelfEff_diet_22_1,SelfEff_diet_23_1,SelfEff_diet_24_1,SelfEff_diet_25_1,SelfEff_diet_26_1,SelfEff_diet_27_1,SelfEff_diet_28_1,SelfEff_diet_29_1,SelfEff_diet_scale_1,SelfReg_1_1,SelfReg_3_1,SelfReg_4_1,SelfReg_5_1,SelfReg_6_1,SelfReg_7_1,SelfReg_8_1,SelfReg_9_1,SelfReg_10_1,SelfReg_11_1,SelfReg_12_1,SelfReg_13_1,selfreg_scale_1
44869,Strongly Agree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Agree,42.0,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.5,Somewhat true,Not at all true,Not at all true,Not at all true,Somewhat true,Not at all true,Not at all true,5,5,Not at all true,Not at all true,Somewhat true,Not at all true,Not at all true,5,Somewhat true,1.0,1.75,4.25,3.0,6.5,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,0.68111545,-0.91735792,1.0176769,70.0,90.0,50.0,70.0,80.0,30.0,70.0,80.0,10.0,60.0,30.0,100.0,50.0,100.0,100.0,20.0,30.0,50.0,60.555557,90.0,20.0,5.0,10.0,100.0,100.0,100.0,40.0,0.0,80.0,20.0,10.0,100.0,30.0,100.0,10.0,100.0,30.0,10.0,80.0,100.0,40.0,10.0,10.0,100.0,40.0,10.0,100.0,30.0,50.862068,Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Agree,2.0
43516,Neither Agree nor Disagree,Disagree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,39.0,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,1.5,Somewhat true,Not at all true,5,6,Very true,Not at all true,Not at all true,Somewhat true,6,5,Not at all true,5,Very true,Not at all true,5,Very true,1.0,4.5,6.25,4.75,9.25,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Somewhat Agree,0.75797242,0.070971549,1.4356943,50.0,44.0,60.0,33.0,86.0,43.0,60.0,27.0,26.0,79.0,36.0,100.0,72.0,55.0,82.0,44.0,32.0,70.0,55.5,30.0,22.0,9.0,8.0,60.0,59.0,85.0,36.0,29.0,58.0,31.0,50.0,69.0,28.0,57.0,73.0,73.0,75.0,42.0,53.0,86.0,87.0,38.0,62.0,87.0,20.0,44.0,85.0,89.0,53.275864,Neutral,Disagree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,2.6666667
89411,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,47.0,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,3.8333333,6,Not at all true,Very true,Not at all true,Very true,Not at all true,Not at all true,Very true,Very true,Very true,Not at all true,Very true,Somewhat true,Not at all true,Very true,Very true,1.0,3.0,7.0,7.0,16.0,,,,,,,,,,,,,,,,,,,58.0,100.0,100.0,7.0,23.0,32.0,64.0,91.0,19.0,98.0,53.0,34.0,30.0,98.0,100.0,51.0,38.0,21.0,56.5,96.0,96.0,53.0,41.0,28.0,60.0,98.0,43.0,31.0,48.0,27.0,22.0,91.0,25.0,48.0,21.0,13.0,15.0,25.0,96.0,97.0,50.0,41.0,32.0,94.0,97.0,52.0,94.0,62.0,55.034481,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,2.1666667
74285,Agree,Disagree,Agree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,37.0,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,2.8333333,6,Not at all true,6,6,6,Not at all true,Not at all true,6,6,6,Not at all true,6,6,Not at all true,6,6,1.0,4.75,6.0,6.0,11.25,,,,,,,,,,,,,,,,,,,63.0,82.0,82.0,45.0,75.0,75.0,75.0,45.0,64.0,46.0,46.0,40.0,46.0,35.0,74.0,40.0,56.0,66.0,58.611111,49.0,14.0,17.0,22.0,51.0,66.0,84.0,30.0,19.0,23.0,28.0,24.0,25.0,26.0,27.0,25.0,37.0,34.0,34.0,33.0,27.0,28.0,24.0,24.0,27.0,67.0,28.0,89.0,13.0,34.310345,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,2.4166667
56527,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,32.0,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,3.0,Somewhat true,2,2,2,2,Somewhat true,2,2,2,Not at all true,2,5,Somewhat true,Somewhat true,Somewhat true,Somewhat true,2.5,3.5,3.25,2.25,-0.75,,,,,,,,,,,,,,,,,,,50.0,74.0,32.0,19.0,63.0,21.0,80.0,37.0,8.0,18.0,73.0,21.0,13.0,29.0,13.0,9.0,12.0,13.0,32.5,72.0,14.0,13.0,51.0,67.0,38.0,72.0,20.0,18.0,29.0,52.0,26.0,77.0,47.0,19.0,23.0,42.0,36.0,69.0,21.0,83.0,22.0,23.0,25.0,69.0,64.0,40.0,75.0,47.0,43.241379,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,2.75
16819,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,47.0,Disagree,Strongly Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,2.0,Very true,Not at all true,Very true,5,6,6,Not at all true,Very true,Very true,6,Not at all true,Very true,Very true,6,Very true,Very true,2.25,6.25,6.75,6.75,9.5,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,-1.2614833,-0.64127845,0.29967976,51.0,44.0,34.0,49.0,43.0,18.0,14.0,50.0,46.0,65.0,27.0,92.0,77.0,64.0,54.0,100.0,51.0,21.0,50.0,25.0,12.0,100.0,12.0,23.0,39.0,70.0,44.0,31.0,35.0,12.0,81.0,63.0,25.0,50.0,88.0,64.0,45.0,59.0,67.0,24.0,24.0,41.0,29.0,17.0,53.0,14.0,24.0,58.0,42.379311,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,2.3333333
34591,Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Disagree,22.0,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,2.3333333,6,2,3,Somewhat true,5,2,3,5,5,3,2,Somewhat true,5,2,5,Somewhat true,2.25,4.25,4.5,4.0,3.75,,,,,,,,,,,,,,,,,,,70.0,31.0,83.0,51.0,61.0,62.0,31.0,46.0,37.0,46.0,30.0,87.0,75.0,76.0,88.0,75.0,32.0,53.0,57.444443,30.0,30.0,11.0,51.0,68.0,90.0,90.0,48.0,31.0,49.0,74.0,29.0,59.0,37.0,61.0,45.0,60.0,60.0,83.0,67.0,83.0,37.0,23.0,48.0,80.0,80.0,50.0,93.0,75.0,56.620689,Agree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,3.0
89972,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,34.0,Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,2.5,3,3,5,5,5,3,3,5,5,5,3,5,3,2,3,5,2.75,3.5,5.0,4.5,5.0,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Agree,Disagree,Agree,Somewhat Agree,0.21756537,-0.11078782,1.7079203,60.0,61.0,61.0,70.0,84.0,38.0,38.0,39.0,41.0,43.0,42.0,47.0,39.0,81.0,92.0,30.0,29.0,93.0,54.888889,34.0,51.0,19.0,42.0,55.0,68.0,87.0,33.0,75.0,30.0,29.0,27.0,24.0,24.0,24.0,77.0,60.0,30.0,31.0,54.0,23.0,83.0,21.0,17.0,63.0,28.0,27.0,93.0,50.0,44.103447,Disagree,Strongly Disagree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,1.8333334
92552,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,46.0,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.6666667,2,Not at all true,Very true,3,Very true,Not at all true,Not at all true,Very true,Very true,Very true,Not at all true,Very true,5,Not at all true,5,Very true,1.0,2.75,7.0,6.5,15.25,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,-1.314765,-0.48796436,-0.24074088,51.0,42.0,75.0,61.0,100.0,100.0,100.0,52.0,56.0,100.0,49.0,42.0,72.0,100.0,97.0,100.0,46.0,100.0,74.611115,57.0,97.0,51.0,100.0,100.0,100.0,100.0,45.0,50.0,44.0,54.0,39.0,40.0,43.0,53.0,49.0,84.0,81.0,51.0,48.0,72.0,41.0,48.0,51.0,80.0,89.0,51.0,100.0,60.0,64.758621,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Agree,2.1666667
73158,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,49.0,Agree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree,3.8333333,Somewhat true,3,2,2,6,2,3,Somewhat true,5,3,Somewhat true,5,2,Not at all true,Somewhat true,5,2.75,2.5,5.25,3.25,3.75,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,-1.6086679,-0.73183388,-0.4253636,70.0,100.0,90.0,70.0,50.0,100.0,100.0,80.0,80.0,80.0,60.0,30.0,30.0,80.0,100.0,0.0,50.0,30.0,66.666664,100.0,100.0,25.0,100.0,25.0,80.0,100.0,50.0,100.0,25.0,81.0,25.0,50.0,75.0,51.0,25.0,50.0,25.0,75.0,10.0,100.0,10.0,25.0,100.0,80.0,10.0,50.0,50.0,80.0,57.827587,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,2.1666667
