egoid,sexorientation_1,sexcontacttype_1,sexattracttype_1
44869,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
43516,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
89411,,,
74285,,,
56527,,,
16819,Heterosexual or straight,Men only,Only attracted to males?
34591,,,
89972,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
92552,Heterosexual or straight,Women only,Only attracted to females?
73158,Heterosexual or straight,Women only,Only attracted to females?
45963,Heterosexual or straight,Men only,Only attracted to males?
22138,Heterosexual or straight,I have not had sexual contact,Not sure?
90136,Heterosexual or straight,Women only,Only attracted to females?
46744,Heterosexual or straight,Women only,Only attracted to females?
77941,,,
44873,,,
36540,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
14527,,,
83005,,,
31439,Heterosexual or straight,Men only,Only attracted to males?
21899,,,
29232,Heterosexual or straight,Men only,Only attracted to males?
32249,,,
45375,Heterosexual or straight,Women only,Only attracted to females?
25536,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
32037,Heterosexual or straight,Men only,Only attracted to males?
90476,,,
46558,Heterosexual or straight,Women only,Only attracted to females?
24016,,,
52277,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
93699,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
36875,,,
84011,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
90646,,,
88008,Heterosexual or straight,Women only,Only attracted to females?
88967,Heterosexual or straight,Women only,Only attracted to females?
46701,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
83566,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
21090,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
69419,,,
87032,Heterosexual or straight,Both men and women,Only attracted to males?
94641,Heterosexual or straight,Women only,Only attracted to females?
82728,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
45076,Heterosexual or straight,Men only,Only attracted to males?
58437,Heterosexual or straight,Women only,Mostly attracted to females?
94862,,,
14606,,,
64075,,,
39787,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
82376,Heterosexual or straight,Women only,Only attracted to females?
44872,Heterosexual or straight,Men only,Mostly attracted to males?
87783,Heterosexual or straight,Men only,Only attracted to males?
22199,,,
47498,Heterosexual or straight,Men only,Only attracted to males?
57325,,,
53776,Heterosexual or straight,Both men and women,Mostly attracted to females?
58633,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
27306,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
80607,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
73143,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
35797,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
46365,Heterosexual or straight,Women only,Only attracted to females?
30596,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
31045,Heterosexual or straight,Women only,Only attracted to females?
74492,,,
76791,,,
21348,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
23287,,I have not had sexual contact,Only attracted to females?
14763,,,
22066,Heterosexual or straight,Women only,Only attracted to females?
64058,Bisexual,I have not had sexual contact,Mostly attracted to males?
28247,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
72873,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
67544,,,
76810,Heterosexual or straight,I have not had sexual contact,Not sure?
51760,,,
72806,Heterosexual or straight,I have not had sexual contact,Mostly attracted to males?
98766,Heterosexual or straight,Women only,Only attracted to females?
60997,,,
36038,Heterosexual or straight,Women only,Only attracted to females?
39146,Bisexual,I have not had sexual contact,Mostly attracted to males?
60963,Heterosexual or straight,Women only,Only attracted to females?
67918,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
34467,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
42132,Heterosexual or straight,Women only,Only attracted to females?
41268,,,
90692,,,
32668,Heterosexual or straight,Women only,Mostly attracted to females?
24079,Heterosexual or straight,Women only,Only attracted to females?
59673,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
74899,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
48891,Heterosexual or straight,Women only,Only attracted to females?
81807,Heterosexual or straight,Women only,Only attracted to females?
77187,Heterosexual or straight,Men only,Only attracted to males?
91176,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
22292,,,
35011,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
76785,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
60903,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
10115,,,
35416,Heterosexual or straight,I have not had sexual contact,Only attracted to females?
89710,Heterosexual or straight,Men only,Only attracted to males?
97596,Heterosexual or straight,I have not had sexual contact,Only attracted to males?
39129,Heterosexual or straight,,
57359,Heterosexual or straight,Men only,Mostly attracted to males?
