egoid,majorevent_7,Dieting_7,BAIsum_7,BAIgroup_7,yourelig_7,SelfEsteem_7,usetobacco_7,usebeer_7,usewine_7,usedrugs_7,usedrugs_prescr_7,usecaffine_7,exercisealone_7,exerciseothers_7,clubsports_7,swimming_7
44869,no,No,5.0,low,Protestant,39.0,Not at all,Not at all,Less than 1-2 times a month,Not at all,Not at all,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,Not at all
43516,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
89411,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
74285,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
56527,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
16819,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
34591,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
89972,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
92552,yes,No,0.0,low,Catholic,46.0,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a week,Three times a week or more,1-2 times a week,Not at all,Not at all
73158,no,No,0.0,low,Catholic,49.0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Less than 1-2 times a month,Three times a week or more,Not at all,Less than 1-2 times a month
45963,no,No,1.0,low,Catholic,33.0,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,Not at all
22138,no,No,14.0,low,Catholic,43.0,Not at all,1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all,Not at all
90136,no,No,6.806818181818182,low,Catholic,38.111530403773585,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,Not at all
