egoid,usetobacco_8,usevape_8,usebeer_8,usewine_8,usedrugs_8,usedrugs_prescr_8,usecaffine_8
92552,1-2 times a month,Not at all,Three times a week or more,1-2 times a week,Not at all,Not at all,1-2 times a month
73158,Less than 1-2 times a month,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
45963,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Three times a week or more
22138,Not at all,Less than 1-2 times a month,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
77941,Not at all,1-2 times a week,1-2 times a week,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Three times a week or more
44873,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all,1-2 times a week
83005,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,Three times a week or more
93699,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
36875,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
84011,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
83566,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
21090,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,1-2 times a week
94641,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1-2 times a month
45076,Not at all,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,Not at all,Three times a week or more
44872,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
57325,Not at all,Not at all,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
27306,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Three times a week or more
46365,1-2 times a month,1-2 times a week,Three times a week or more,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Three times a week or more
74492,1-2 times a month,Less than 1-2 times a month,1-2 times a month,Three times a week or more,Not at all,Not at all,Three times a week or more
51760,Less than 1-2 times a month,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
72806,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,1-2 times a week
36038,Less than 1-2 times a month,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all,Not at all,Three times a week or more
67918,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
34467,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Less than 1-2 times a month
74899,Not at all,Not at all,Three times a week or more,1-2 times a month,Not at all,Not at all,Not at all
97596,Not at all,Not at all,1-2 times a month,1-2 times a week,Not at all,Not at all,Three times a week or more
57359,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
17308,Not at all,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Three times a week or more
72348,Not at all,Not at all,Not at all,1-2 times a month,Not at all,Not at all,1-2 times a week
89607,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
28820,Not at all,Not at all,1-2 times a week,1-2 times a week,Not at all,Not at all,1-2 times a week
51475,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
13486,Not at all,Not at all,Three times a week or more,Three times a week or more,Not at all,Not at all,Less than 1-2 times a month
60493,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all
84390,Not at all,Not at all,Not at all,1-2 times a week,Not at all,Not at all,Three times a week or more
92412,Not at all,Not at all,1-2 times a month,1-2 times a month,Not at all,Not at all,Not at all
92038,Not at all,Not at all,1-2 times a week,1-2 times a month,Not at all,Not at all,Not at all
86440,1-2 times a month,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,Not at all,Not at all
95585,Not at all,1-2 times a week,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,Three times a week or more
14737,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,1-2 times a month
28653,Not at all,Not at all,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,Not at all
95559,Not at all,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,Not at all,Three times a week or more
