egoid,hs_1,hssex_1,hsgrade_1,apexams_1,degreeintent_1,hrswork_1,ndfirst_1,majorevent_1,hsclubrc_1
44869,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
43516,Public school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
89411,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
74285,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
56527,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
16819,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
34591,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
89972,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
92552,Private religious/parochial school,Same sex- male,A or A+,3-4,Ph.D or Ed.D.,16-20,Yes,no,1
73158,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
45963,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
22138,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",16-20,No,no,1
90136,Private religious/parochial school,Same sex- male,A-,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
46744,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
77941,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
44873,Private religious/parochial school,A mixture of boys and girls,A or A+,0,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
36540,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
14527,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
83005,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
31439,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
21899,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
29232,Private religious/parochial school,Same sex- female,A or A+,5 or more,J.D. (Law),None,Yes,no,1
32249,Public magnet school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
45375,Public school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),16-20,Yes,no,1
25536,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,no,1
32037,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),0-4,No,yes,1
90476,Private religious/parochial school,Same sex- male,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
46558,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
24016,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
52277,Private religious/parochial school,Same sex- female,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
93699,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
36875,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
84011,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
90646,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
88008,Private religious/parochial school,A mixture of boys and girls,A or A+,0,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,no,1
88967,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,no,1
46701,Private religious/parochial school,Same sex- male,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
83566,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,0
21090,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,1
69419,Private religious/parochial school,A mixture of boys and girls,b,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
87032,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
94641,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,yes,1
82728,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
45076,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
58437,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,None,Yes,no,1
94862,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
14606,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64075,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
39787,Private independent college-prep school,Same sex- female,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
82376,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
44872,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,0
87783,Public school,A mixture of boys and girls,A-,5 or more,J.D. (Law),None,No,no,1
22199,Public magnet school,A mixture of boys and girls,A or A+,0,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
47498,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
57325,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
53776,Public school,A mixture of boys and girls,A or A+,3-4,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,no,1
58633,Public magnet school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,No,no,1
27306,Public school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
80607,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,yes,1
73143,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
