egoid,exercisealone_3,clubsports_3,exerciseothers_3,swimming_3,exercise_perceivedchange_3
44869,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
74285,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a good deal
56527,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,has stayed about the same
89972,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
92552,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
73158,1-2 times a month,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has stayed about the same
45963,1-2 times a month,Not at all,1-2 times a week,Not at all,has stayed about the same
22138,Not at all,Not at all,Three times a week or more,Not at all,increased a bit
46744,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
77941,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
44873,1-2 times a week,1-2 times a week,Three times a week or more,1-2 times a month,increased a bit
83005,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all,increased a good deal
31439,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
21899,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
45375,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
32037,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
46558,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all,increased a bit
24016,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
93699,1-2 times a month,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
36875,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more,has stayed about the same
90646,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month,has stayed about the same
88008,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
88967,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
83566,1-2 times a month,Not at all,1-2 times a week,Not at all,increased a bit
21090,1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
87032,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
94641,1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
82728,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more,increased a good deal
58437,Three times a week or more,Three times a week or more,Less than 1-2 times a month,Not at all,increased a good deal
94862,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,has stayed about the same
14606,1-2 times a week,Three times a week or more,Three times a week or more,Not at all,has stayed about the same
64075,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
39787,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
82376,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
44872,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
87783,Three times a week or more,Not at all,Three times a week or more,Not at all,has stayed about the same
47498,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a bit
57325,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
53776,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
58633,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,increased a bit
27306,Three times a week or more,Not at all,Three times a week or more,1-2 times a week,has stayed about the same
80607,Three times a week or more,Not at all,Not at all,Not at all,has stayed about the same
73143,1-2 times a week,1-2 times a month,Not at all,Not at all,increased a bit
35797,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
46365,Three times a week or more,Three times a week or more,1-2 times a month,Less than 1-2 times a month,increased a bit
30596,Less than 1-2 times a month,Not at all,Not at all,Not at all,has stayed about the same
74492,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
76791,1-2 times a month,Not at all,1-2 times a month,Not at all,increased a bit
23287,Less than 1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all,has stayed about the same
28247,Less than 1-2 times a month,Not at all,Not at all,Not at all,increased a good deal
67544,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
51760,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Less than 1-2 times a month,has stayed about the same
72806,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a bit
98766,Three times a week or more,Three times a week or more,1-2 times a week,Not at all,increased a bit
60997,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all,increased a bit
36038,Three times a week or more,Not at all,Less than 1-2 times a month,1-2 times a month,increased a bit
39146,1-2 times a week,Not at all,Not at all,Not at all,increased a bit
60963,Not at all,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
67918,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
34467,1-2 times a week,Not at all,Three times a week or more,Not at all,has stayed about the same
90692,Less than 1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
32668,1-2 times a week,1-2 times a month,Not at all,Not at all,increased a bit
59673,1-2 times a month,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
74899,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a month,increased a bit
81807,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,increased a good deal
91176,Not at all,Not at all,Not at all,Not at all,has stayed about the same
35011,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
35416,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
97596,Three times a week or more,1-2 times a month,Three times a week or more,Not at all,has stayed about the same
39129,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
57359,Three times a week or more,1-2 times a month,Not at all,Not at all,has stayed about the same
17308,Three times a week or more,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
51851,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
67334,Not at all,Not at all,Less than 1-2 times a month,Not at all,has stayed about the same
77838,1-2 times a week,Not at all,1-2 times a week,Not at all,increased a bit
56798,1-2 times a week,1-2 times a week,1-2 times a month,Less than 1-2 times a month,increased a bit
77872,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month,has stayed about the same
43114,Three times a week or more,1-2 times a week,Less than 1-2 times a month,Not at all,increased a bit
72348,1-2 times a week,Not at all,1-2 times a month,Not at all,increased a good deal
89607,Not at all,Not at all,Not at all,Not at all,increased a good deal
59900,Not at all,1-2 times a month,1-2 times a month,Not at all,has stayed about the same
28254,1-2 times a week,1-2 times a month,1-2 times a month,Not at all,increased a bit
56480,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
47886,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
28820,1-2 times a week,1-2 times a week,Three times a week or more,Not at all,has stayed about the same
35347,Less than 1-2 times a month,Not at all,1-2 times a month,Not at all,has stayed about the same
45641,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,increased a good deal
64572,1-2 times a week,1-2 times a week,1-2 times a week,Not at all,increased a bit
73452,Three times a week or more,1-2 times a month,Three times a week or more,Less than 1-2 times a month,has stayed about the same
51475,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
28312,1-2 times a month,1-2 times a week,Three times a week or more,Not at all,increased a bit
13486,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a good deal
56805,Three times a week or more,Three times a week or more,Three times a week or more,1-2 times a month,has stayed about the same
29718,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
26800,1-2 times a month,1-2 times a month,1-2 times a month,Less than 1-2 times a month,increased a bit
60493,Not at all,Not at all,Less than 1-2 times a month,Not at all,increased a bit
30972,Three times a week or more,1-2 times a week,Three times a week or more,Less than 1-2 times a month,has stayed about the same
47142,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all,increased a good deal
69217,Three times a week or more,Not at all,1-2 times a month,Not at all,increased a good deal
84390,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a good deal
74845,Three times a week or more,1-2 times a month,1-2 times a month,Less than 1-2 times a month,has stayed about the same
39659,1-2 times a month,Three times a week or more,1-2 times a week,Not at all,increased a good deal
60396,1-2 times a week,1-2 times a week,Three times a week or more,Less than 1-2 times a month,has stayed about the same
61084,1-2 times a month,Not at all,Three times a week or more,Less than 1-2 times a month,has stayed about the same
92412,1-2 times a month,1-2 times a month,Three times a week or more,Not at all,has decreased a bit
92038,Three times a week or more,Three times a week or more,Three times a week or more,Not at all,increased a bit
33388,Three times a week or more,Not at all,1-2 times a week,Not at all,has decreased a bit
31717,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all,has stayed about the same
95585,Three times a week or more,Not at all,1-2 times a week,Not at all,increased a bit
29792,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
14737,1-2 times a month,Not at all,Less than 1-2 times a month,Not at all,increased a good deal
28223,Not at all,1-2 times a week,1-2 times a week,Not at all,has stayed about the same
55452,Three times a week or more,Not at all,1-2 times a week,Not at all,has stayed about the same
23696,Three times a week or more,1-2 times a week,1-2 times a week,Not at all,increased a bit
