egoid,exercisealone_8,exerciseothers_8,clubsports_8,swimming_8
92552,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
73158,Less than 1-2 times a month,Three times a week or more,Not at all,Not at all
45963,1-2 times a week,1-2 times a week,Not at all,Not at all
22138,1-2 times a month,Three times a week or more,Not at all,Not at all
77941,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
44873,1-2 times a week,Three times a week or more,Less than 1-2 times a month,Not at all
83005,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
93699,Less than 1-2 times a month,1-2 times a week,1-2 times a month,Not at all
36875,Three times a week or more,Three times a week or more,Not at all,Not at all
84011,1-2 times a week,Three times a week or more,Three times a week or more,Three times a week or more
83566,Not at all,Not at all,Not at all,Not at all
21090,Not at all,Not at all,Not at all,Not at all
94641,Less than 1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
45076,Three times a week or more,Three times a week or more,Three times a week or more,Three times a week or more
44872,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
57325,1-2 times a week,Not at all,Not at all,Not at all
27306,Three times a week or more,Three times a week or more,Not at all,Less than 1-2 times a month
46365,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
74492,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
51760,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
72806,Three times a week or more,1-2 times a month,Not at all,Not at all
36038,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
67918,1-2 times a week,Not at all,1-2 times a month,Not at all
34467,1-2 times a week,Three times a week or more,Not at all,1-2 times a week
74899,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
97596,Three times a week or more,Three times a week or more,Not at all,Not at all
57359,Three times a week or more,Not at all,1-2 times a month,Not at all
17308,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
72348,1-2 times a week,1-2 times a month,Not at all,Not at all
89607,Not at all,Not at all,Not at all,Not at all
28820,1-2 times a month,Three times a week or more,1-2 times a month,Less than 1-2 times a month
51475,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
13486,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
60493,Not at all,Not at all,Not at all,Not at all
84390,Three times a week or more,Three times a week or more,Not at all,Not at all
92412,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
92038,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
86440,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
95585,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
14737,1-2 times a week,1-2 times a month,Not at all,Not at all
28653,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
95559,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
60367,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
59592,Three times a week or more,Not at all,Not at all,Not at all
22897,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
89652,Less than 1-2 times a month,Not at all,Not at all,Not at all
50072,Not at all,Less than 1-2 times a month,Not at all,Not at all
44927,1-2 times a month,Less than 1-2 times a month,1-2 times a week,Not at all
66676,1-2 times a week,Three times a week or more,Not at all,1-2 times a week
95930,1-2 times a month,Three times a week or more,1-2 times a week,Less than 1-2 times a month
70962,1-2 times a week,1-2 times a week,Not at all,Not at all
30453,Three times a week or more,Three times a week or more,Not at all,Not at all
58219,Not at all,Not at all,Not at all,Not at all
80177,Not at all,Three times a week or more,Three times a week or more,Not at all
58682,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
79834,Less than 1-2 times a month,Not at all,Not at all,Not at all
38052,Not at all,Three times a week or more,1-2 times a week,Not at all
58196,Three times a week or more,1-2 times a week,Not at all,Not at all
48224,1-2 times a month,1-2 times a month,Not at all,Not at all
68318,Three times a week or more,1-2 times a week,Not at all,Not at all
62246,1-2 times a week,1-2 times a week,Three times a week or more,Less than 1-2 times a month
57842,1-2 times a week,1-2 times a week,1-2 times a month,Not at all
17522,Three times a week or more,Not at all,Not at all,Not at all
62617,Three times a week or more,1-2 times a month,Less than 1-2 times a month,1-2 times a month
48013,Three times a week or more,1-2 times a week,Less than 1-2 times a month,1-2 times a month
14571,1-2 times a week,Not at all,Not at all,Not at all
69057,Three times a week or more,Not at all,Less than 1-2 times a month,Not at all
49125,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
83542,1-2 times a week,Not at all,Less than 1-2 times a month,Not at all
26858,1-2 times a month,1-2 times a week,Not at all,Not at all
93504,1-2 times a week,Not at all,Not at all,Not at all
64232,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
37404,Three times a week or more,1-2 times a month,Not at all,Not at all
82248,Not at all,Not at all,Not at all,Not at all
70492,Three times a week or more,1-2 times a month,Not at all,Not at all
95543,1-2 times a week,Not at all,Not at all,1-2 times a week
21380,1-2 times a week,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
25495,1-2 times a week,Not at all,Not at all,1-2 times a week
83612,Three times a week or more,1-2 times a week,Not at all,Not at all
99978,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
92566,Three times a week or more,Not at all,Not at all,Not at all
67608,1-2 times a week,Not at all,1-2 times a month,Not at all
13647,Three times a week or more,1-2 times a month,Not at all,Not at all
59207,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
71089,1-2 times a month,Not at all,Not at all,Not at all
98462,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
64302,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month
72885,Less than 1-2 times a month,Not at all,Not at all,Not at all
71193,1-2 times a month,Not at all,Not at all,Not at all
98117,Three times a week or more,Not at all,Not at all,Not at all
24883,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
20650,1-2 times a month,Not at all,Not at all,Not at all
66815,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
14847,1-2 times a month,1-2 times a month,Not at all,Less than 1-2 times a month
94215,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
98700,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
99733,1-2 times a month,1-2 times a month,1-2 times a month,Not at all
27407,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
43794,1-2 times a week,Less than 1-2 times a month,1-2 times a month,Not at all
73918,Three times a week or more,1-2 times a week,Not at all,Not at all
51437,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
21932,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
49800,Less than 1-2 times a month,Not at all,Not at all,Not at all
34062,Three times a week or more,1-2 times a month,Not at all,Three times a week or more
42646,Three times a week or more,1-2 times a week,1-2 times a month,Not at all
21971,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
84502,Less than 1-2 times a month,Three times a week or more,1-2 times a month,Not at all
25197,Three times a week or more,1-2 times a month,Not at all,Not at all
23270,Three times a week or more,1-2 times a week,1-2 times a week,1-2 times a week
70745,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
93856,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
10237,1-2 times a month,Three times a week or more,Not at all,Not at all
97448,Three times a week or more,1-2 times a month,Not at all,Not at all
66156,1-2 times a month,1-2 times a week,1-2 times a week,Not at all
87328,1-2 times a week,Not at all,Not at all,Not at all
57045,Three times a week or more,Three times a week or more,1-2 times a month,Not at all
17183,1-2 times a month,1-2 times a month,Not at all,Not at all
22408,Three times a week or more,Three times a week or more,Three times a week or more,Not at all
38293,1-2 times a week,Three times a week or more,Three times a week or more,Not at all
33785,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
44310,Less than 1-2 times a month,1-2 times a week,1-2 times a week,Not at all
31294,Three times a week or more,1-2 times a week,Not at all,Not at all
63419,1-2 times a month,1-2 times a week,1-2 times a month,Not at all
48969,Three times a week or more,Not at all,Not at all,Not at all
64296,Three times a week or more,1-2 times a month,1-2 times a month,Not at all
17569,Less than 1-2 times a month,Three times a week or more,Three times a week or more,Not at all
77036,1-2 times a week,Not at all,1-2 times a week,Not at all
82986,1-2 times a week,1-2 times a week,1-2 times a week,Not at all
38610,Three times a week or more,1-2 times a month,1-2 times a week,Not at all
96610,Three times a week or more,Three times a week or more,Not at all,Not at all
77711,Three times a week or more,Not at all,1-2 times a week,Not at all
48676,1-2 times a week,1-2 times a month,Not at all,Not at all
79167,Three times a week or more,Three times a week or more,1-2 times a month,1-2 times a month
43710,1-2 times a week,Three times a week or more,Not at all,Three times a week or more
22455,Three times a week or more,Not at all,Not at all,Not at all
57443,1-2 times a week,1-2 times a month,Not at all,Not at all
96469,Three times a week or more,Not at all,Not at all,Not at all
94579,Three times a week or more,1-2 times a week,Not at all,Not at all
29257,1-2 times a week,1-2 times a month,Not at all,Not at all
63904,1-2 times a week,1-2 times a week,Not at all,Not at all
20335,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
88185,1-2 times a week,1-2 times a month,Not at all,Not at all
35344,Three times a week or more,1-2 times a month,Not at all,Not at all
31175,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
50666,1-2 times a week,1-2 times a week,Not at all,Not at all
42617,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
25548,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
91551,Three times a week or more,1-2 times a month,Not at all,Not at all
33657,Not at all,1-2 times a week,Not at all,Not at all
65656,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
36117,Not at all,1-2 times a week,Not at all,Not at all
82587,Three times a week or more,Not at all,Not at all,Not at all
26320,Three times a week or more,1-2 times a month,Less than 1-2 times a month,Not at all
77532,Three times a week or more,1-2 times a month,Not at all,Not at all
92515,1-2 times a month,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
97844,Less than 1-2 times a month,1-2 times a month,Not at all,Not at all
81647,1-2 times a week,Not at all,1-2 times a week,Not at all
49790,1-2 times a month,Not at all,Not at all,Not at all
15181,Three times a week or more,Less than 1-2 times a month,1-2 times a month,Not at all
78657,1-2 times a week,1-2 times a week,Not at all,Not at all
48154,1-2 times a week,1-2 times a month,1-2 times a week,Not at all
51495,Not at all,1-2 times a week,1-2 times a week,Not at all
17932,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
80429,Less than 1-2 times a month,1-2 times a month,Less than 1-2 times a month,Not at all
75149,Less than 1-2 times a month,Not at all,Not at all,Not at all
33740,Not at all,Not at all,Not at all,Not at all
67709,1-2 times a week,1-2 times a month,Not at all,Not at all
36552,Three times a week or more,Less than 1-2 times a month,Not at all,Not at all
14301,1-2 times a week,1-2 times a month,1-2 times a month,Not at all
63138,1-2 times a week,1-2 times a week,Not at all,Not at all
51298,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
74632,Less than 1-2 times a month,Less than 1-2 times a month,Not at all,Not at all
49086,Three times a week or more,Not at all,Not at all,Not at all
85503,Not at all,1-2 times a month,Not at all,Not at all
23253,Three times a week or more,1-2 times a week,Not at all,Not at all
47584,1-2 times a week,Less than 1-2 times a month,Not at all,Not at all
91429,1-2 times a week,1-2 times a month,Not at all,Not at all
22842,1-2 times a week,1-2 times a month,1-2 times a week,Less than 1-2 times a month
14279,1-2 times a week,Less than 1-2 times a month,1-2 times a week,Not at all
26857,1-2 times a week,Three times a week or more,Three times a week or more,1-2 times a month
28327,1-2 times a month,Not at all,Not at all,Not at all
52302,1-2 times a week,Three times a week or more,1-2 times a month,Not at all
93002,1-2 times a week,Three times a week or more,1-2 times a week,Not at all
51723,Three times a week or more,1-2 times a month,Not at all,Not at all
79352,1-2 times a month,1-2 times a month,Not at all,Not at all
76485,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
33239,Three times a week or more,Less than 1-2 times a month,Less than 1-2 times a month,Not at all
67574,Three times a week or more,1-2 times a month,1-2 times a month,Less than 1-2 times a month
88882,Three times a week or more,1-2 times a week,1-2 times a week,Not at all
49915,1-2 times a month,1-2 times a month,1-2 times a month,1-2 times a month
93787,Three times a week or more,1-2 times a month,Not at all,Not at all
63347,1-2 times a week,1-2 times a month,Not at all,Not at all
35824,1-2 times a week,Not at all,Not at all,Not at all
