egoid,gender_1,momdec_1,momusa_1,daddec_1,dadusa_1,parentstatus_1,dadage_1,momage_1,numsib_1,birthorder_1,parentincome_1,parenteduc_1,momrace_1,dadrace_1,momrelig_1,dadrelig_1,yourelig_1
44869,Female,0.0,1.0,0.0,1.0,Living together,54.0,53.0,3.0,fourth born,"less than $25,000",1 parent no college,Black,Black,Protestant,Protestant,Protestant
43516,Female,0.0,1.0,0.0,0.0,Living together,50.0,46.0,1.0,first born,"$100,000 - $149,999",both parent college,Latino,multiracial,Catholic,No Religion,Catholic
89411,Female,0.0,1.0,0.0,0.0,Living together,51.0,55.0,0.0,only child,"$250,000 or more",both parent college,Asian-American,multiracial,Catholic,Catholic,Catholic
74285,Female,0.0,0.0,0.0,0.0,Divorced or living apart,43.0,43.0,1.0,first born,"$50,000 - $74,999",Both no college,White,White,Protestant,Protestant,Protestant
56527,Male,0.0,0.0,0.0,0.0,Living together,46.0,44.0,2.0,first born,"$200,000 - $249,999",1 parent no college,Latino,Latino,Catholic,Catholic,Catholic
16819,Female,0.0,1.0,0.0,0.0,Divorced or living apart,51.0,50.0,1.0,second born,"$50,000 - $74,999",both parent college,White,Latino,Catholic,Catholic,No Religion
34591,Female,0.0,0.0,0.0,0.0,Living together,51.0,49.0,1.0,second born,"$250,000 or more",both parent college,White,White,Protestant,Protestant,Protestant
89972,Female,0.0,0.0,0.0,0.0,Living together,57.0,48.0,2.0,second born,"$200,000 - $249,999",both parent college,White,White,Catholic,Catholic,No Religion
92552,Male,0.0,0.0,0.0,0.0,Living together,56.0,50.0,3.0,second born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
73158,Male,0.0,0.0,0.0,0.0,Living together,51.0,51.0,3.0,fourth born,"$75,000 - $99,999",both parent college,White,White,Catholic,Catholic,Catholic
45963,Female,0.0,0.0,0.0,0.0,Living together,60.0,48.0,1.0,second born,"$75,000 - $99,999",both parent college,White,White,Other Religion,Catholic,Catholic
22138,Male,0.0,0.0,0.0,0.0,Living together,48.0,48.0,2.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
90136,Male,0.0,0.0,0.0,0.0,Living together,47.0,46.0,3.0,first born,"$100,000 - $149,999",both parent college,White,White,Catholic,Catholic,Catholic
46744,Male,0.0,0.0,0.0,0.0,Living together,53.0,52.0,2.0,third born,"$150,000 - $199,999",both parent college,White,White,Catholic,Catholic,Catholic
