egoid,yourelig_8
92552,Catholic
73158,Catholic
45963,Catholic
22138,No Religion
77941,Catholic
44873,Catholic
83005,Protestant
93699,No Religion
36875,Catholic
84011,Catholic
83566,Catholic
21090,Catholic
94641,No Religion
45076,Catholic
44872,Protestant
57325,Catholic
27306,Catholic
46365,Catholic
74492,Catholic
51760,Catholic
72806,No Religion
36038,Catholic
67918,Catholic
34467,Catholic
74899,Catholic
97596,Catholic
57359,No Religion
17308,Catholic
72348,Catholic
89607,No Religion
28820,Catholic
51475,Catholic
13486,Catholic
60493,Catholic
84390,Protestant
92412,Catholic
92038,Catholic
86440,Catholic
95585,Protestant
14737,Catholic
28653,Other Religion
95559,Catholic
60367,Protestant
59592,Catholic
22897,No Religion
89652,Catholic
50072,Catholic
44927,Protestant
66676,Catholic
95930,Catholic
70962,No Religion
30453,Catholic
58219,Catholic
80177,No Religion
58682,Catholic
79834,Catholic
38052,Protestant
58196,Catholic
48224,Catholic
68318,Catholic
62246,Catholic
57842,Catholic
17522,Protestant
62617,Catholic
48013,No Religion
14571,No Religion
69057,Catholic
49125,Catholic
83542,Catholic
26858,Catholic
93504,Catholic
64232,Catholic
37404,Protestant
82248,Catholic
70492,Catholic
95543,Catholic
21380,Catholic
25495,Catholic
83612,Catholic
99978,Catholic
92566,Catholic
67608,Catholic
13647,Catholic
59207,Catholic
71089,Protestant
98462,Catholic
64302,Catholic
72885,No Religion
71193,No Religion
98117,No Religion
24883,Catholic
20650,Catholic
66815,Catholic
14847,No Religion
94215,Catholic
98700,Catholic
99733,Catholic
27407,Catholic
43794,No Religion
73918,Catholic
51437,Catholic
21932,Catholic
49800,Catholic
34062,Catholic
42646,Catholic
21971,Catholic
84502,Catholic
25197,Catholic
23270,No Religion
70745,Catholic
93856,Protestant
10237,No Religion
97448,Protestant
66156,Other Religion
87328,Catholic
57045,Catholic
17183,Catholic
22408,Catholic
38293,Catholic
33785,Catholic
44310,Catholic
31294,Catholic
63419,Catholic
48969,Catholic
64296,Catholic
17569,Catholic
77036,Catholic
82986,Catholic
38610,Catholic
96610,Catholic
77711,Protestant
48676,Catholic
79167,Catholic
43710,Catholic
22455,Protestant
57443,Catholic
96469,Catholic
94579,Catholic
29257,Catholic
63904,Other Religion
20335,No Religion
88185,Catholic
35344,Catholic
31175,Catholic
50666,Catholic
42617,Catholic
25548,Catholic
91551,Protestant
33657,Catholic
65656,Catholic
36117,Catholic
82587,Protestant
26320,Catholic
77532,Protestant
92515,Catholic
97844,Catholic
81647,Catholic
49790,Catholic
15181,Catholic
78657,Catholic
48154,Other Religion
51495,Catholic
17932,Catholic
80429,Catholic
75149,Other Religion
33740,No Religion
67709,No Religion
36552,Catholic
14301,Catholic
63138,Other Religion
51298,Catholic
74632,Protestant
49086,No Religion
85503,Catholic
23253,Catholic
47584,Catholic
91429,Protestant
22842,Catholic
14279,Catholic
26857,Catholic
28327,Catholic
52302,Catholic
93002,Protestant
51723,Protestant
79352,Catholic
76485,Protestant
33239,No Religion
67574,Catholic
88882,Catholic
49915,Catholic
93787,Other Religion
63347,Catholic
35824,Catholic
