egoid,SelfEsteem_1,Trust_1,SRQE_Ext_1,SRQE_Introj_1,SRQE_Ident_1,SRQE_Intrin_1,selsa_rom_1,selsa_fam_1,selsa_soc_1,SelfEff_exercise_scale_1,SelfEff_diet_scale_1,selfreg_scale_1
44869,42.0,3.5,1.0,1.75,4.25,3.0,0.68111545,-0.91735792,1.0176769,60.555557,50.862068,2.0
43516,39.0,1.5,1.0,4.5,6.25,4.75,0.75797242,0.070971549,1.4356943,55.5,53.275864,2.6666667
89411,47.0,3.8333333,1.0,3.0,7.0,7.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,56.5,55.034481,2.1666667
74285,37.0,2.8333333,1.0,4.75,6.0,6.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,58.611111,34.310345,2.4166667
56527,32.0,3.0,2.5,3.5,3.25,2.25,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,32.5,43.241379,2.75
16819,47.0,2.0,2.25,6.25,6.75,6.75,-1.2614833,-0.64127845,0.29967976,50.0,42.379311,2.3333333
34591,22.0,2.3333333,2.25,4.25,4.5,4.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,57.444443,56.620689,3.0
89972,34.0,2.5,2.75,3.5,5.0,4.5,0.21756537,-0.11078782,1.7079203,54.888889,44.103447,1.8333334
92552,46.0,3.6666667,1.0,2.75,7.0,6.5,-1.314765,-0.48796436,-0.24074088,74.611115,64.758621,2.1666667
73158,49.0,3.8333333,2.75,2.5,5.25,3.25,-1.6086679,-0.73183388,-0.4253636,66.666664,57.827587,2.1666667
45963,29.0,2.3333333,1.0,4.75,6.25,4.0,-1.1820763,2.5519235,-0.98673356,51.666668,34.413792,3.25
22138,42.0,3.6666667,1.25,3.75,6.5,6.0,0.70723289,-0.79340422,-0.25424638,62.611111,63.827587,2.0833333
90136,37.0,3.6666667,3.5,4.0,5.75,5.75,-0.60262674,0.11658423,-0.36180547,61.944443,27.310345,2.4166667
46744,38.0,2.6666667,3.25,4.75,5.5,5.0,-1.2222689,0.07264556,0.18468015,59.722221,28.620689,2.5
77941,46.0,3.5,2.0,4.75,6.75,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,23.555555,36.18182,2.5833333
44873,39.0,3.5,2.0,3.25,5.5,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,94.444443,71.103447,1.8333334
36540,49.0,3.3333333,1.5,1.75,6.0,6.75,0.80802733,-0.21441282,-0.66408503,69.722221,69.551727,1.8333334
14527,47.0,2.8333333,1.25,5.0,7.0,6.5,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,59.722221,40.172413,1.4166666
83005,30.0,3.0,1.0,3.25,3.75,2.75,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,40.0,35.137932,2.9166667
31439,43.0,3.8333333,1.0,5.75,5.0,2.75,-0.60249043,-0.15688752,-0.39119491,50.277779,71.310349,3.4166667
21899,34.0,2.6666667,1.0,3.25,4.0,3.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,27.166666,14.862069,2.4166667
29232,41.0,3.3333333,1.0,4.75,7.0,7.0,-1.6882315,-0.37830693,-0.47948572,85.277779,67.241379,1.3333334
32249,48.0,3.5,1.0,3.25,6.75,5.0,1.511670005804676e-09,-1.2259557304047914e-09,3.637826958962293e-10,66.833336,48.379311,2.5
45375,45.0,2.8333333,1.0,1.0,6.0,5.0,0.95339501,1.8527316,-0.27126026,32.888889,40.068966,3.4166667
