egoid,SelfEsteem_3,SRQE_Ext_3,SRQE_Introj_3,SRQE_Ident_3,SRQE_Intrin_3,selsa_rom_3,selsa_fam_3,selsa_soc_3,selfreg_scale_3
44869,43.0,1.0,1.0,4.0,3.25,0.10970155,-0.62979275,-0.54389977,1.9166666
74285,40.0,2.0,3.0,5.25,5.25,-1.6999776,-0.60923529,-0.69704527,3.25
56527,35.0,2.0,2.5,4.25,3.5,-1.5432444,0.68669868,-1.0439221,2.25
89972,32.0,2.0,4.25,6.0,5.25,-0.57983482,0.60278118,-0.50754601,2.25
92552,43.0,1.0,2.75,5.75,5.5,-1.7603319,0.25053638,0.33564624,1.9166666
73158,46.0,4.5,4.5,3.5,3.0,-1.6999776,-0.60923529,-0.69704527,2.5
45963,32.0,1.0,2.75,5.25,4.75,1.0445633,0.76113713,-0.89381343,2.9166667
22138,45.0,1.0,1.0,6.25,6.5,0.68698066,-0.86536407,0.47960809,1.9166666
46744,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
77941,44.0,1.75,2.75,6.25,6.5,0.66965252,-0.82221389,0.25449437,2.25
44873,42.0,2.25,4.0,6.25,6.75,-0.13202108,-0.59075522,-0.82476974,1.6666666
83005,29.0,1.5,2.5,2.5,1.25,0.76535004,0.28571111,0.13827336,3.25
31439,31.0,1.0,4.0,4.0,2.5,-1.8119078,1.3274338,0.73155445,3.75
21899,38.0,1.0,1.0,3.5,3.75,0.21652189,0.26366004,0.19151723,2.5
45375,40.0,1.0,2.0,6.5,6.0,0.40368864,1.5643866,-0.13408141,3.0
32037,45.0,1.0,1.0,5.0,2.5,0.64027292,-0.64458144,-0.74271947,1.6666666
46558,33.0,1.25,3.25,5.25,4.75,-1.4171424,-0.082494758,1.089275,2.25
24016,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
93699,30.0,4.0,3.0,4.25,3.25,0.8434872,-0.63758081,0.17611675,2.75
36875,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
84011,33.0,3.0,4.25,5.25,5.0,0.42464647,0.23855853,0.2574766,2.3333333
90646,40.0,1.0,3.5,6.25,6.25,0.35508308,-0.56920236,-0.8749944,1.6666666
88008,31.0,2.0,4.0,6.25,5.25,-1.7760235,-0.30160311,1.3981763,2.9166667
88967,39.0,1.0,3.75,7.0,6.25,0.75598615,-0.66555238,-0.52245456,2.75
83566,33.0,1.5,1.25,3.25,3.25,0.44581467,0.82462764,1.2026645,2.3333333
21090,40.0,1.25,2.75,5.75,3.0,0.51019657,-0.56349957,-0.88375127,2.6666667
87032,33.0,1.0,2.75,6.25,6.25,0.48381963,0.79229766,0.14243898,2.1666667
94641,24.0,1.5,5.5,2.0,2.75,0.87627769,4.1661477,1.0910378,2.8333333
82728,36.0,1.0,4.0,6.75,6.5,0.78028041,-0.61347842,-0.86083257,1.75
45076,49.0,1.0,3.0,6.75,7.0,-0.19887163,-0.63819158,-0.67951554,1.4166666
58437,47.0,1.75,4.25,7.0,5.25,0.20947546,-0.65666521,-0.67855614,2.0
94862,38.0,1.75,3.75,6.25,6.25,0.097573824,0.14047121,-0.16580948,2.1666667
14606,50.0,1.0,1.0,5.5,6.0,0.78028041,-0.61347842,-0.86083257,1.25
64075,48.0,1.75,2.75,7.0,6.75,1.0412574,-0.64031315,-0.76140922,1.5
39787,50.0,1.0,1.0,6.25,4.0,0.71992618,0.24629323,0.17185889,1.8333334
82376,40.0,1.75,2.75,6.5,5.75,-1.2839866,-0.012998642,0.38790944,2.1666667
44872,30.0,1.0,4.0,5.75,6.0,1.0670238,0.31621733,0.23544767,2.3333333
87783,39.0,3.25,2.75,6.75,6.75,0.81587279,-0.68664819,0.2650604,2.0
47498,48.0,1.0,1.5,6.75,6.75,-0.30690977,-0.59421688,-0.79435003,1.5833334
57325,37.0,1.25,2.25,7.0,5.75,-1.6173123,-0.60315299,-0.70905489,1.4166666
53776,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
58633,46.0,1.75,3.0,6.5,6.75,0.65722704,-0.5348745,2.1088953,2.0833333
27306,50.0,1.0,2.25,5.25,6.25,1.0945992,-0.70407128,-0.40678349,1.4166666
80607,34.0,1.5,4.5,5.5,4.75,0.80889666,2.8002973,0.89733005,2.0
73143,40.0,1.75,3.5,4.75,4.0,0.55270994,-0.42168176,-0.82136935,2.6666667
35797,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
46365,45.0,3.25,4.75,6.5,5.75,-1.7462853,0.10267133,-0.23775278,2.3333333
30596,33.0,1.0,1.0,5.5,2.0,0.43409356,1.6143636,0.91641659,2.6666667
74492,38.8472553699284,1.7661870503597121,3.0641486810551557,5.505421686746988,5.023980815347722,8.261390931863434e-10,1.1011990381643354e-09,-1.111750598855335e-09,2.261091776076555
76791,42.0,1.0,1.5,3.25,3.0,0.76788855,-0.60850298,-0.85222441,2.4166667
