egoid,SelfEsteem_4,Trust_4,selfreg_scale_4
44869,40.0,3.0,2.1666667
34591,25.0,2.6666667,2.4166667
92552,44.0,3.1666667,2.1666667
73158,50.0,3.3333333,2.0
45963,30.0,3.5,3.3333333
22138,42.0,2.8333333,1.9166666
77941,45.0,3.0,2.0
44873,41.0,3.0,2.1666667
83005,27.0,3.0,2.75
31439,39.0,2.5,2.9166667
32249,49.0,3.5,2.9166667
46558,35.0,3.5,2.25
24016,33.0,3.0,2.6666667
93699,35.0,3.0,2.1666667
36875,36.0,3.1666667,1.5
84011,33.0,2.8333333,2.0833333
90646,44.0,3.5,2.0
88008,33.0,2.8333333,2.9166667
83566,29.0,3.3333333,2.8333333
21090,48.0,4.3333335,2.3333333
87032,36.0,3.1666667,2.75
94641,32.0,2.8333333,2.0
82728,37.0,3.3333333,2.1666667
45076,48.0,3.6666667,1.4166666
58437,49.0,3.3333333,2.25
94862,42.0,3.1666667,2.0
14606,50.0,3.8333333,1.1666666
64075,43.0,3.8333333,2.25
39787,50.0,3.3333333,1.6666666
44872,43.0,3.5,1.9166666
87783,41.0,3.6666667,1.1666666
57325,39.0,2.6666667,1.5833334
58633,43.0,2.1666667,3.0
27306,50.0,3.8333333,1.25
46365,40.0,3.0,3.0
74492,25.0,3.0,1.8333334
76791,45.0,3.6666667,2.5
23287,38.0,3.6666667,2.1666667
28247,31.0,2.6666667,2.75
51760,49.0,3.0,1.6666666
72806,39.0,3.6666667,2.75
98766,50.0,3.3333333,1.0
60997,29.0,2.1666667,3.0
36038,31.0,3.6666667,2.75
39146,43.0,3.3333333,2.6666667
60963,30.0,3.6666667,2.1666667
67918,48.0,3.3333333,2.4166667
34467,40.0,3.3333333,2.0
90692,46.0,4.3333335,2.5833333
32668,31.0,2.1666667,2.5
59673,50.0,3.8333333,1.9166666
74899,32.0,4.1666665,2.6666667
35011,45.0,3.1666667,2.5
35416,33.0,3.1666667,3.5
89710,25.0,2.3333333,2.25
97596,36.0,2.8333333,2.1666667
