egoid,Trust_5,selsa_rom_5,selsa_fam_5,selsa_soc_5,SelfEff_exercise_scale_5
44869,3.0,-0.78706795,0.4029946,0.18574281,2.5555556
89411,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
34591,3.1666667,0.81352681,0.36771193,0.10367561,69.5
92552,3.5,-1.5315008,0.42783058,0.13895428,69.0
73158,3.3333333,-1.4706868,-0.51952112,-0.78279209,50.5
45963,3.8333333,1.0564176,0.09799435,-1.0675098,40.611111
22138,3.3333333,1.1645697,-0.87129599,0.39836735,52.888889
77941,4.1666665,-0.34638208,-0.66948116,-0.1719657,32.857143
44873,3.5,-0.095675349,-0.81153601,0.38177595,92.555557
83005,3.0,0.68186384,-0.16078593,0.39212456,48.888889
31439,3.0,-1.5305954,0.48183995,-0.13820629,11.444445
21899,2.8333333,0.67581314,0.37411806,0.076753482,25.388889
32249,4.0,0.1688177,-0.58432037,-0.7597155,52.833332
45375,3.0,-0.50318712,1.9663379,-1.2407986,39.166668
25536,3.6666667,0.99906212,-0.57564819,-0.8924318,24.888889
32037,3.0,0.80281496,-0.71532357,-0.21727741,57.055557
46558,3.3333333,-0.34469497,0.10069946,0.23777704,50.388889
93699,3.6666667,1.1820039,-0.61221123,0.37903929,27.555555
36875,2.8333333,-1.5735527,-1.1485006,2.0114989,51.444443
84011,2.8333333,0.64674306,0.0063678836,0.48048827,60.722221
90646,3.5,0.39941096,-0.50880903,-0.91666687,65.944443
88008,2.8333333,-1.5463121,-0.29521796,1.240205,63.555557
83566,3.3333333,0.95630431,0.84418494,0.76755869,44.058823
21090,3.8333333,-0.8436414,-0.52337581,-0.81562895,5.0
87032,2.8333333,-0.89043528,0.35210904,1.3288023,32.333332
94641,2.3333333,0.81434721,5.3855996,1.5352206,13.888889
82728,3.6666667,0.4443188,-0.52781683,-0.93687642,48.888889
45076,3.6666667,0.7742275,0.16655079,1.0169977,49.0
58437,3.0,1.0115421,0.14289701,0.11162633,84.333336
94862,3.3333333,-0.64259547,-0.82640415,0.44005135,77.611115
14606,3.3333333,0.99815667,-0.62965751,-0.61527127,87.111115
64075,3.3333333,1.3433464,-0.59166348,-0.82512647,50.722221
39787,3.3333333,1.0830195,1.1272261,0.74608201,35.0
44872,3.6666667,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,75.444443
87783,3.5,-0.16908376,0.91630483,-0.11737218,20.777779
57325,3.3333333,-1.40183,-0.52272415,-0.76933098,72.5
27306,4.1666665,-0.065601304,-0.5341658,-0.83670896,92.333336
46365,3.3333333,-1.5351634,-0.55198103,0.35513851,13.333333
74492,3.3333333,0.66443586,-0.76329398,0.0048898095,89.5
23287,3.3333333,0.32609218,1.5682296,0.87894666,36.777779
28247,2.8333333,-0.1074551,0.37667108,-0.22248618,38.055557
51760,3.3333333,-1.1981502,0.77599031,-0.54186845,95.0
72806,3.5,-0.12448425,0.3917594,0.11778708,39.944443
98766,3.6666667,-0.91155946,-0.53042364,-0.81530488,58.888889
60997,2.3333333,0.8550055,1.3200256,-0.26614192,23.888889
39146,3.3333333,1.1018984,0.39707053,0.95509523,18.777779
60963,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
67918,3.1666667,0.52812415,0.37728944,0.070224896,38.833332
34467,3.8333333,1.2346225,-0.65007162,0.34470227,82.555557
90692,4.1666665,0.97832197,-0.63255042,-0.59897262,45.333332
32668,1.8333334,0.079956986,-1.2294768,2.9597745,45.333332
24079,3.3333333,-1.1241161,-0.33394265,0.27115706,65.944443
59673,4.5,1.0420015,-0.55973232,-0.88283134,50.944443
74899,4.3333335,1.1016779,-0.35744593,0.23529945,63.888889
81807,4.0,-0.89689815,-0.55147034,-0.6935668,61.833332
91176,3.3333333,-0.36647737,1.5425847,-0.50818604,0.0
35011,3.1666667,0.78395987,1.4611499,-1.4257207,14.166667
35416,2.8333333,1.1853099,-0.81439376,0.10490816,24.388889
89710,3.0,-0.71040672,2.8540227,-1.0495409,65.055557
97596,3.0,-1.0634007,0.36179751,0.40905911,67.555557
39129,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
57359,3.3333333,0.73591727,1.314858,-0.19005625,49.888889
17308,3.0,0.54634917,-0.17602056,0.1899619,57.0
77838,3.0,0.67346883,-0.53524703,-0.93354237,36.777779
56798,3.3333333,0.95617765,-0.57579297,-0.83318144,56.888889
77872,3.3333333,0.23055246,0.44685915,-0.2178282,54.777779
43114,3.3333333,-1.1626291,-0.5135569,-0.80482668,26.833334
72348,3.5,0.34155911,0.40913919,0.057905428,29.611111
89607,2.8333333,-0.19682635,2.5125654,1.2336923,59.0
59900,3.5,0.94319767,-0.58284283,-0.80460966,10.222222
28254,3.1666667,0.552742,1.0730801,-1.3445854,46.166668
28820,3.1666667,-1.0751926,0.86822498,0.010485627,65.444443
35347,2.1666667,-0.56806135,-0.81143302,0.40892604,25.611111
73452,3.0,-0.35211006,0.64647716,-0.01030481,78.111115
51475,3.0,0.75450516,-0.92343843,0.54349816,38.055557
28312,2.8333333,1.1741078,-0.23734865,1.6137648,39.777779
13486,4.0,1.2744895,-0.58846045,-0.83858752,30.777779
29718,3.2009963703804347,4.16994535562027e-09,6.633879796432701e-10,-2.1939891069667014e-10,52.29239339373298
26800,3.5,-1.3319933,-0.55192298,0.14845586,25.722221
60493,2.6666667,-1.1390182,1.4272566,1.0420092,13.611111
