egoid,SelfEsteem_6,Trust_6,SRQE_Ext_6,SRQE_Introj_6,SRQE_Ident_6,SRQE_Intrin_6,selsa_rom_6,selsa_fam_6,selsa_soc_6,selfreg_scale_6
44869,37.0,2.8333333,1.0,1.0,1.0,1.0,1.021077,-0.39812726,-0.57608187,2.4166667
92552,26.0,3.0,2.25,3.5,5.75,5.75,1.0757484,0.20900574,0.11048678,2.0833333
73158,49.0,3.8333333,3.75,3.75,4.75,4.25,-1.5321637,-0.59473771,-0.65979803,2.5
45963,35.0,3.3333333,1.0,3.25,6.0,5.25,0.84442753,0.07618662,-1.0279078,2.25
22138,38.0,2.3333333,1.0,5.5,6.25,6.5,0.98360974,-0.87134421,0.46429136,2.0833333
77941,50.0,3.8333333,1.0,2.5,4.25,3.75,1.1042892,-0.57787466,-0.53498989,1.5833334
44873,39.0,3.6666667,1.5,4.5,5.25,5.5,-0.081820361,0.17565541,0.16995631,2.0
83005,30.0,3.1666667,1.0,3.75,5.0,3.75,0.63536209,-0.018072793,0.17134918,2.9166667
31439,30.0,3.0,4.0,4.0,4.0,4.0,-0.5992462,1.6933686,1.7403423,3.0833333
21899,34.0,3.3333333,1.0,1.25,1.5,1.75,0.61280805,0.19483306,0.13730486,2.6666667
46558,31.0,3.5,2.0,5.0,5.75,5.25,0.88685697,-0.53710341,2.4966984,2.4166667
93699,35.0,3.0,3.0,2.25,4.75,3.25,1.1486052,-0.43406031,-0.53017682,2.3333333
36875,41.0,3.1666667,1.0,3.25,7.0,6.5,0.97575188,-0.51703864,-0.83618802,1.9166666
84011,35.0,3.1666667,3.5,4.75,5.75,6.0,0.60547477,-0.25498724,0.29242063,2.0833333
90646,42.0,3.1666667,1.0,3.75,6.25,5.75,-1.5995954,-0.59657198,-0.66366839,1.8333334
88008,27.0,2.5,1.75,5.25,5.75,5.0,-1.578374,-0.10813519,0.37873659,2.9166667
83566,40.0,3.5,1.0,1.0,4.0,2.5,0.9869743,2.1087201,-0.51892442,2.6666667
21090,40.0,4.1666665,1.0,2.75,5.75,3.5,0.37135559,-0.45656163,-0.88634068,2.0
94641,34.0,2.1666667,1.0,3.5,4.5,4.75,0.51837301,4.6636086,-1.129254,2.4166667
82728,38.0,3.8333333,1.0,4.25,6.25,5.5,0.068004683,-0.52919388,-0.81834596,1.5833334
45076,40.0,3.6666667,3.0,5.0,6.0,5.75,-0.1325188,-0.56474489,-0.73705399,1.4166666
58437,48.0,2.6666667,2.25,6.25,5.75,6.5,0.81772679,-0.76499945,0.73548365,2.5
14606,49.0,3.5,1.75,1.75,4.0,4.5,0.77345693,-0.52254146,-0.84779918,1.5
64075,42.0,3.8333333,1.5,5.75,7.0,6.75,1.1780468,-0.51153588,-0.82457685,1.75
44872,38.0,3.5,1.0,3.25,5.75,5.25,0.30593628,0.48554662,-0.46108854,2.0833333
57325,40.0,3.3333333,1.25,2.75,7.0,6.25,-0.44477868,-0.57629114,-0.72817868,1.8333334
27306,49.0,4.0,4.25,3.25,6.25,6.25,-0.55475217,-0.73851818,-0.085643478,1.6666666
